Candidate: 0xfb, Correlation: -0.7049115186418503
Candidate: 0x74, Correlation: -0.6325759124438617
Candidate: 0x7c, Correlation: -0.6049898499744567
Candidate: 0xf4, Correlation: -0.5942604578339782
Candidate: 0xdb, Correlation: -0.5932103437183017
Candidate: 0xfc, Correlation: -0.5745866849044624
Candidate: 0xb, Correlation: -0.5388258223570109
Candidate: 0xf3, Correlation: -0.5362621574129207
Candidate: 0xfd, Correlation: -0.531779724906292
Candidate: 0x7b, Correlation: -0.5183279631266152
Candidate: 0xff, Correlation: -0.5175360938697986
Candidate: 0xbb, Correlation: -0.4961484477518289
Candidate: 0xfa, Correlation: -0.4867874170645036
Candidate: 0x78, Correlation: -0.4744419335703632
Candidate: 0x80, Correlation: -0.4531865915526365
Candidate: 0x84, Correlation: -0.44791891838770126
Candidate: 0x54, Correlation: -0.43875148094051375
Candidate: 0xf8, Correlation: -0.4372612708142029
Candidate: 0xd3, Correlation: -0.43477978520081006
Candidate: 0xeb, Correlation: -0.4331375942055943
Candidate: 0x8c, Correlation: -0.42405889848769557
Candidate: 0x0, Correlation: -0.4216400485307732
Candidate: 0xdd, Correlation: -0.415265894057212
Candidate: 0xdf, Correlation: -0.4135356396403165
Candidate: 0x34, Correlation: -0.41258007221583004
Candidate: 0x5c, Correlation: -0.4122281257893298
Candidate: 0x4, Correlation: -0.4110766863064424
Candidate: 0x5b, Correlation: -0.4092309052520005
Candidate: 0x72, Correlation: -0.40009369482216234
Candidate: 0xd4, Correlation: -0.3996330640968632
Candidate: 0xe7, Correlation: -0.3989069753044291
Candidate: 0x75, Correlation: -0.39509923145596215
Candidate: 0xc, Correlation: -0.3926942769423257
Candidate: 0x3c, Correlation: -0.39167404734724365
Candidate: 0x9b, Correlation: -0.3857658334469582
Candidate: 0xda, Correlation: -0.38137414013749377
Candidate: 0x7a, Correlation: -0.37898119017498116
Candidate: 0xdc, Correlation: -0.3788210317325831
Candidate: 0x3, Correlation: -0.3772482141659906
Candidate: 0x7d, Correlation: -0.37428248797396835
Candidate: 0xb4, Correlation: -0.37332325070569283
Candidate: 0xd, Correlation: -0.36818985145562244
Candidate: 0xf5, Correlation: -0.3639593704797233
Candidate: 0xef, Correlation: -0.35829271990086553
Candidate: 0xf2, Correlation: -0.3580879881788554
Candidate: 0xf, Correlation: -0.35758345544248193
Candidate: 0xbc, Correlation: -0.35736392626413604
Candidate: 0xd7, Correlation: -0.3563156572965357
Candidate: 0x73, Correlation: -0.3553105409119107
Candidate: 0xf7, Correlation: -0.3537291590003491
Candidate: 0x8b, Correlation: -0.3536300280119642
Candidate: 0xe3, Correlation: -0.35141895313965915
Candidate: 0x7, Correlation: -0.3443447085743818
Candidate: 0x1, Correlation: -0.3425775674820923
Candidate: 0xa9, Correlation: -0.33983520071912426
Candidate: 0xcb, Correlation: -0.33500102902438256
Candidate: 0x3d, Correlation: -0.33482003606709526
Candidate: 0x7f, Correlation: -0.3315151431295686
