Candidate: 0xc0, Correlation: -0.8101744841412151
Candidate: 0xd1, Correlation: -0.8003709186597562
Candidate: 0xc4, Correlation: -0.6904953730505049
Candidate: 0x40, Correlation: -0.650872080562994
Candidate: 0xbf, Correlation: -0.6377347932220921
Candidate: 0xcf, Correlation: -0.6351432972028624
Candidate: 0xc2, Correlation: -0.6252647708882709
Candidate: 0xd2, Correlation: -0.6250657005932373
Candidate: 0xc8, Correlation: -0.6141535485074158
Candidate: 0x4, Correlation: -0.6131910316892344
Candidate: 0x0, Correlation: -0.6038397940361282
Candidate: 0xc1, Correlation: -0.5999502804084694
Candidate: 0xa0, Correlation: -0.5961811034188006
Candidate: 0xb1, Correlation: -0.594441073837374
Candidate: 0xa4, Correlation: -0.5859310493604796
Candidate: 0x51, Correlation: -0.5813402616454549
Candidate: 0x11, Correlation: -0.5786565096738947
Candidate: 0xd0, Correlation: -0.5714678254973432
Candidate: 0xcd, Correlation: -0.5662113804790255
Candidate: 0xd9, Correlation: -0.5660212462148039
Candidate: 0xbc, Correlation: -0.5495671230134388
Candidate: 0x8, Correlation: -0.5389524293393669
Candidate: 0xc3, Correlation: -0.5170352451852739
Candidate: 0xe4, Correlation: -0.5097967034090086
Candidate: 0xd4, Correlation: -0.5057044806540701
Candidate: 0xa8, Correlation: -0.5024816276408041
Candidate: 0xca, Correlation: -0.49783492620699277
Candidate: 0xc6, Correlation: -0.480299323534672
Candidate: 0x3f, Correlation: -0.4735476886838414
Candidate: 0xaa, Correlation: -0.46063121527211054
Candidate: 0x42, Correlation: -0.459897296436272
Candidate: 0xe8, Correlation: -0.4563210370310206
Candidate: 0x48, Correlation: -0.4545863580707281
Candidate: 0xc7, Correlation: -0.45436038761601405
Candidate: 0xa, Correlation: -0.4539070672092672
Candidate: 0x80, Correlation: -0.45318634044614137
Candidate: 0x20, Correlation: -0.4501338774084413
Candidate: 0xa2, Correlation: -0.449358298362977
Candidate: 0x2, Correlation: -0.44635942110354276
Candidate: 0xfc, Correlation: -0.44458166906328417
Candidate: 0xe0, Correlation: -0.4431112604884417
Candidate: 0xaf, Correlation: -0.4421706102576379
Candidate: 0x3, Correlation: -0.4377232688726495
Candidate: 0x14, Correlation: -0.4317452093879115
Candidate: 0xff, Correlation: -0.43063666659646344
Candidate: 0x4f, Correlation: -0.4292605417829168
Candidate: 0x9f, Correlation: -0.4291024785652617
Candidate: 0xa7, Correlation: -0.42605009726915183
Candidate: 0xd8, Correlation: -0.4246160145801287
Candidate: 0xb2, Correlation: -0.4218058977460983
Candidate: 0x50, Correlation: -0.42050420166438535
Candidate: 0xc9, Correlation: -0.42030982030891895
Candidate: 0xf, Correlation: -0.41848978849893154
Candidate: 0xea, Correlation: -0.4176802955741439
Candidate: 0x52, Correlation: -0.41726664839294686
Candidate: 0x9c, Correlation: -0.412632828597744
Candidate: 0xa3, Correlation: -0.41253929704952474
Candidate: 0x7, Correlation: -0.4094737262827849
Candidate: 0x12, Correlation: -0.40681682435740135
Candidate: 0xd7, Correlation: -0.4058625510839276
Candidate: 0xe2, Correlation: -0.4049670780145237
