Candidate: 0x63, Correlation: -0.3769976644431708
Candidate: 0x62, Correlation: -0.35714029690760296
Candidate: 0x64, Correlation: -0.3272829400833701
Candidate: 0x61, Correlation: -0.2997786013889431
Candidate: 0x66, Correlation: -0.29943501273275985
Candidate: 0x60, Correlation: -0.2887227999874933
Candidate: 0x65, Correlation: -0.2792113783067765
Candidate: 0xc4, Correlation: -0.2741426236524194
Candidate: 0x5f, Correlation: -0.2654736417910527
Candidate: 0x5e, Correlation: -0.2638269178685302
Candidate: 0x67, Correlation: -0.2599882139102334
Candidate: 0x6f, Correlation: -0.25735312587024534
Candidate: 0x68, Correlation: -0.24461315021883748
Candidate: 0xc6, Correlation: -0.2401531514070721
Candidate: 0xa6, Correlation: -0.23850245619396293
Candidate: 0x4f, Correlation: -0.23546575835908087
Candidate: 0xe3, Correlation: -0.23517203971572292
Candidate: 0xa4, Correlation: -0.23400437169177424
Candidate: 0x2b, Correlation: -0.2304956159686359
Candidate: 0x6d, Correlation: -0.22556613871967598
Candidate: 0x8b, Correlation: -0.22463720970627984
Candidate: 0xa2, Correlation: -0.2236730812359348
Candidate: 0x4b, Correlation: -0.22260735827114445
Candidate: 0xc2, Correlation: -0.22227028537316426
Candidate: 0x6a, Correlation: -0.22187131581947947
Candidate: 0xb, Correlation: -0.22153221846466398
Candidate: 0xe2, Correlation: -0.2197377271865681
Candidate: 0x3, Correlation: -0.21871284971338154
Candidate: 0x44, Correlation: -0.21687772978827655
Candidate: 0x98, Correlation: -0.21470210190641095
Candidate: 0xa3, Correlation: -0.2145233769263097
Candidate: 0x5d, Correlation: -0.21350296111054465
Candidate: 0xb3, Correlation: -0.21316999764298963
Candidate: 0x46, Correlation: -0.2113906355832173
Candidate: 0x83, Correlation: -0.20693980503118323
Candidate: 0xf3, Correlation: -0.2066437752337872
Candidate: 0x73, Correlation: -0.20661645687308697
Candidate: 0xc3, Correlation: -0.20600045601436479
Candidate: 0xb4, Correlation: -0.20449916145519426
Candidate: 0x69, Correlation: -0.2043840988218958
Candidate: 0x5c, Correlation: -0.204198458654803
Candidate: 0x13, Correlation: -0.20409653679848802
Candidate: 0x3b, Correlation: -0.20377319159007923
Candidate: 0xd3, Correlation: -0.2022472340101981
Candidate: 0x86, Correlation: -0.20194874428983808
Candidate: 0x93, Correlation: -0.20134892931388282
Candidate: 0x84, Correlation: -0.1992549610599086
Candidate: 0x5b, Correlation: -0.19922361786253415
Candidate: 0x59, Correlation: -0.1987964737284877
Candidate: 0x38, Correlation: -0.19718171431533663
Candidate: 0x23, Correlation: -0.19706362230500477
Candidate: 0x33, Correlation: -0.19697409946954791
Candidate: 0x94, Correlation: -0.19656923409473132
Candidate: 0xed, Correlation: -0.19557733554060555
Candidate: 0x9e, Correlation: -0.19473448081132372
Candidate: 0xe4, Correlation: -0.19275254406009834
Candidate: 0xbe, Correlation: -0.19262826082558987
Candidate: 0x53, Correlation: -0.19248513160314665
Candidate: 0x43, Correlation: -0.19112114099382677
Candidate: 0xab, Correlation: -0.19064067557497763
Candidate: 0x6b, Correlation: -0.18961031309551016
Candidate: 0x9a, Correlation: -0.18928868343102997
Candidate: 0x5a, Correlation: -0.18441094480186754
Candidate: 0x42, Correlation: -0.18430828774458044
Candidate: 0xd8, Correlation: -0.18374923601740928
Candidate: 0x57, Correlation: -0.183485450177226
Candidate: 0xbc, Correlation: -0.18273763795504058
Candidate: 0x55, Correlation: -0.18174426659007273
Candidate: 0x58, Correlation: -0.18127765123115788
Candidate: 0x7b, Correlation: -0.18090026310943352
Candidate: 0x96, Correlation: -0.18050665945147218
Candidate: 0xe6, Correlation: -0.1796927345632513
Candidate: 0xd4, Correlation: -0.17804305929654185
Candidate: 0xac, Correlation: -0.17632437369192716
Candidate: 0x25, Correlation: -0.17597419608269807
Candidate: 0xaa, Correlation: -0.17563160716357962
Candidate: 0x1, Correlation: -0.17524636812916336
Candidate: 0x26, Correlation: -0.17502085201771844
Candidate: 0x77, Correlation: -0.17482153931351907
Candidate: 0xd9, Correlation: -0.174556948067494
Candidate: 0x2f, Correlation: -0.17443642531966175
Candidate: 0x1b, Correlation: -0.174132252705691
Candidate: 0xdd, Correlation: -0.17392123942214865
Candidate: 0x2, Correlation: -0.17269184482754707
Candidate: 0x88, Correlation: -0.17267554740195548
Candidate: 0xba, Correlation: -0.1726444579984133
Candidate: 0x3f, Correlation: -0.17214433445743418
Candidate: 0x1e, Correlation: -0.1717181840932022
Candidate: 0x21, Correlation: -0.1701375721054172
Candidate: 0xb2, Correlation: -0.16947370550541752
Candidate: 0x7f, Correlation: -0.1691383448287432
Candidate: 0x22, Correlation: -0.16882509088188485
Candidate: 0x71, Correlation: -0.1680290448863745
Candidate: 0x54, Correlation: -0.16798190352092404
Candidate: 0x82, Correlation: -0.16751313010994653
Candidate: 0x9c, Correlation: -0.16712304044022022
Candidate: 0x3a, Correlation: -0.1670970443203664
Candidate: 0xa0, Correlation: -0.16578609584648288
Candidate: 0xa8, Correlation: -0.16556828943706092
Candidate: 0xc0, Correlation: -0.1650089861955135
Candidate: 0x4d, Correlation: -0.16473033487887506
Candidate: 0xc8, Correlation: -0.16424114596151626
Candidate: 0x8a, Correlation: -0.16393087727574918
Candidate: 0x92, Correlation: -0.16355554088835333
Candidate: 0xb8, Correlation: -0.16338326754397103
Candidate: 0xa7, Correlation: -0.1632160822326789
Candidate: 0xf, Correlation: -0.16270344226668979
Candidate: 0x99, Correlation: -0.16217411042437246
Candidate: 0x3c, Correlation: -0.16216567881998056
Candidate: 0x47, Correlation: -0.16162985236461136
Candidate: 0x80, Correlation: -0.16149100794242274
Candidate: 0xca, Correlation: -0.16143054449165828
Candidate: 0xcc, Correlation: -0.16130854115947796
Candidate: 0x45, Correlation: -0.1591222533057769
Candidate: 0x30, Correlation: -0.15883417196378916
Candidate: 0xe9, Correlation: -0.1574402164329507
Candidate: 0xc1, Correlation: -0.1573783513738576
Candidate: 0x36, Correlation: -0.15709501777828258
Candidate: 0x24, Correlation: -0.1568299536023336
Candidate: 0xa5, Correlation: -0.15656250310729689
Candidate: 0xb6, Correlation: -0.1562322273787714
Candidate: 0xcb, Correlation: -0.15567061308818006
Candidate: 0x51, Correlation: -0.1549006894429645
Candidate: 0xe1, Correlation: -0.15459779651988678
Candidate: 0xe0, Correlation: -0.15446384494954288
Candidate: 0x6c, Correlation: -0.1537989047847816
Candidate: 0x8f, Correlation: -0.15359941009173547
Candidate: 0x3e, Correlation: -0.1533042112088893
Candidate: 0xde, Correlation: -0.15322028012588507
Candidate: 0xd6, Correlation: -0.1527326663555226
Candidate: 0x40, Correlation: -0.15257592105109555
Candidate: 0x75, Correlation: -0.1522841781679741
Candidate: 0x18, Correlation: -0.15198862558553533
Candidate: 0xfb, Correlation: -0.1515821520080421
Candidate: 0xd5, Correlation: -0.15048420359028622
Candidate: 0x9b, Correlation: -0.15005933306349245
Candidate: 0x32, Correlation: -0.14977876073181692
Candidate: 0x39, Correlation: -0.14960418306287215
Candidate: 0xe5, Correlation: -0.1495500840436749
Candidate: 0xef, Correlation: -0.1488620533280392
Candidate: 0xbb, Correlation: -0.14792609160914819
