Candidate: 0xb4, Correlation: -0.41253912965383716
Candidate: 0x5f, Correlation: -0.4000515004026548
Candidate: 0xb5, Correlation: -0.39677369741452406
Candidate: 0xdf, Correlation: -0.3814576792126733
Candidate: 0x5b, Correlation: -0.35434734362589837
Candidate: 0x34, Correlation: -0.3427046529427136
Candidate: 0x9b, Correlation: -0.3392330243897298
Candidate: 0xb6, Correlation: -0.33881391571545705
Candidate: 0xa3, Correlation: -0.3337486136171904
Candidate: 0x1f, Correlation: -0.3323563935440813
Candidate: 0xa5, Correlation: -0.327379667354514
Candidate: 0x8d, Correlation: -0.32699885786934607
Candidate: 0x93, Correlation: -0.3242904223624661
Candidate: 0x9d, Correlation: -0.32308866794737406
Candidate: 0x5d, Correlation: -0.3217965216458902
Candidate: 0x35, Correlation: -0.318909160622782
Candidate: 0x6d, Correlation: -0.3187587712854179
Candidate: 0x91, Correlation: -0.3100346298284504
Candidate: 0x60, Correlation: -0.3091943177665105
Candidate: 0x63, Correlation: -0.30577459762556014
Candidate: 0x73, Correlation: -0.3020975225298265
Candidate: 0x65, Correlation: -0.2992383033783474
Candidate: 0x3f, Correlation: -0.2979836976811738
Candidate: 0x94, Correlation: -0.2973214431940807
Candidate: 0xdb, Correlation: -0.2928167746170244
Candidate: 0xb2, Correlation: -0.29230961467009403
Candidate: 0x71, Correlation: -0.29198108273912093
Candidate: 0x8f, Correlation: -0.28679017243984783
Candidate: 0x95, Correlation: -0.2852785707925917
Candidate: 0xc4, Correlation: -0.2841171134631174
Candidate: 0x25, Correlation: -0.2809716971829962
Candidate: 0x23, Correlation: -0.28009128691660085
Candidate: 0x9f, Correlation: -0.27822607673990735
Candidate: 0x6f, Correlation: -0.27716921713527376
Candidate: 0x1b, Correlation: -0.2747469051023508
Candidate: 0x61, Correlation: -0.27396612347961935
Candidate: 0x6c, Correlation: -0.27367009502639694
Candidate: 0x74, Correlation: -0.2730750547669533
Candidate: 0x8c, Correlation: -0.27264364880516134
Candidate: 0x85, Correlation: -0.27154963326570364
Candidate: 0xe1, Correlation: -0.2652616983949746
Candidate: 0xdd, Correlation: -0.26405300337271986
Candidate: 0x5e, Correlation: -0.26377346405934876
Candidate: 0xb1, Correlation: -0.26354634032655333
Candidate: 0xe0, Correlation: -0.2615434339802881
Candidate: 0x59, Correlation: -0.2608446669758449
Candidate: 0xb8, Correlation: -0.2601077711098698
Candidate: 0x36, Correlation: -0.2595431108041809
Candidate: 0x75, Correlation: -0.2578172622259231
Candidate: 0x1d, Correlation: -0.2566645362440357
Candidate: 0xc5, Correlation: -0.2546807565476975
Candidate: 0x78, Correlation: -0.25360678539514714
Candidate: 0xa7, Correlation: -0.2530875962818981
Candidate: 0xbf, Correlation: -0.25246078606802375
Candidate: 0xb0, Correlation: -0.24921469784459577
Candidate: 0x5a, Correlation: -0.24787357501345197
Candidate: 0xe3, Correlation: -0.24661250564968756
Candidate: 0x3b, Correlation: -0.24515275053705377
Candidate: 0x84, Correlation: -0.24396731673313968
Candidate: 0xff, Correlation: -0.24394599440366513
Candidate: 0x8b, Correlation: -0.243800250428863
Candidate: 0xa1, Correlation: -0.24379486632276925
Candidate: 0xb3, Correlation: -0.2429916654589999
Candidate: 0xa4, Correlation: -0.2418381854389257
Candidate: 0x6b, Correlation: -0.24147547396011126
Candidate: 0x64, Correlation: -0.24041529263186892
Candidate: 0x99, Correlation: -0.23944711286417497
Candidate: 0xf5, Correlation: -0.23924274548690935
Candidate: 0xf8, Correlation: -0.23731953833665828
Candidate: 0x57, Correlation: -0.23534654251687628
Candidate: 0xbb, Correlation: -0.23519679171847085
Candidate: 0x7f, Correlation: -0.23495707697393012
Candidate: 0xe5, Correlation: -0.2348600535270244
Candidate: 0x20, Correlation: -0.23428170031936885
Candidate: 0x2f, Correlation: -0.23407504202291826
Candidate: 0xa2, Correlation: -0.23229148829545537
Candidate: 0x21, Correlation: -0.23191191383272508
Candidate: 0x4f, Correlation: -0.23101232751004627
Candidate: 0xef, Correlation: -0.23063702587132834
Candidate: 0xa6, Correlation: -0.22968857091544959
Candidate: 0x90, Correlation: -0.2292591290099563
Candidate: 0xf4, Correlation: -0.2277779825733609
Candidate: 0x40, Correlation: -0.2260013164841842
Candidate: 0x9a, Correlation: -0.22518509550651183
Candidate: 0x32, Correlation: -0.2241426100430171
Candidate: 0x88, Correlation: -0.2229541101203552
Candidate: 0x67, Correlation: -0.21982919345803037
Candidate: 0x45, Correlation: -0.21931471654259
Candidate: 0x24, Correlation: -0.21660436445380812
Candidate: 0x9e, Correlation: -0.21624143442019775
Candidate: 0x80, Correlation: -0.21599111316273223
Candidate: 0x79, Correlation: -0.21540963499272067
Candidate: 0x66, Correlation: -0.21537587614394915
Candidate: 0x87, Correlation: -0.2145435365374792
Candidate: 0x70, Correlation: -0.21449858051490384
Candidate: 0xe7, Correlation: -0.21434384407404616
Candidate: 0x8, Correlation: -0.21410980313205052
Candidate: 0x5c, Correlation: -0.21324014528585195
Candidate: 0xd9, Correlation: -0.21287206946149687
Candidate: 0x68, Correlation: -0.21272487150065622
Candidate: 0xf1, Correlation: -0.2127243961431197
Candidate: 0x16, Correlation: -0.2122762375116746
Candidate: 0x86, Correlation: -0.2120684117695048
Candidate: 0x51, Correlation: -0.21158344757551412
Candidate: 0xde, Correlation: -0.21139392961654968
Candidate: 0xc0, Correlation: -0.21126764902456116
Candidate: 0x69, Correlation: -0.2108996845883226
Candidate: 0xa9, Correlation: -0.21050163195997132
Candidate: 0x37, Correlation: -0.20909887796564136
Candidate: 0xe8, Correlation: -0.20866471523644567
Candidate: 0x3d, Correlation: -0.2084467672634172
Candidate: 0x12, Correlation: -0.2078577804105235
Candidate: 0x96, Correlation: -0.20765847585905947
Candidate: 0xad, Correlation: -0.20730780270008792
Candidate: 0x0, Correlation: -0.2065247143842009
Candidate: 0x27, Correlation: -0.20616741973396097
Candidate: 0x62, Correlation: -0.2051359522689677
Candidate: 0xab, Correlation: -0.20444388822856366
Candidate: 0xf9, Correlation: -0.2038277569575873
Candidate: 0x89, Correlation: -0.20374648855868788
Candidate: 0x83, Correlation: -0.20322361102618736
Candidate: 0x56, Correlation: -0.20281272902935096
Candidate: 0xbd, Correlation: -0.2017863442983259
Candidate: 0x43, Correlation: -0.20152461195398713
Candidate: 0x1, Correlation: -0.20018033296400511
Candidate: 0x44, Correlation: -0.2001710732919705
Candidate: 0xf7, Correlation: -0.19930489547280772
Candidate: 0xfd, Correlation: -0.19882657445365648
Candidate: 0xd7, Correlation: -0.19874177857940026
Candidate: 0xda, Correlation: -0.19867251951496132
Candidate: 0x15, Correlation: -0.19827741359542828
Candidate: 0xc2, Correlation: -0.19781887665128592
Candidate: 0xe9, Correlation: -0.1977001762838235
Candidate: 0x31, Correlation: -0.19669654957599664
Candidate: 0x9c, Correlation: -0.19587253211730257
Candidate: 0x54, Correlation: -0.19580913807129138
Candidate: 0x5, Correlation: -0.19540471932132678
Candidate: 0xf, Correlation: -0.19509325232455826
Candidate: 0xa0, Correlation: -0.19471736453339036
Candidate: 0xf0, Correlation: -0.19401626343270942
Candidate: 0xb9, Correlation: -0.19365814877563708
Candidate: 0x7a, Correlation: -0.19353474940531878
Candidate: 0x3e, Correlation: -0.1917858051671912
Candidate: 0x14, Correlation: -0.19177348240465425
Candidate: 0x92, Correlation: -0.19037070825592373
Candidate: 0x81, Correlation: -0.1902397765713777
Candidate: 0x77, Correlation: -0.19005364208663345
Candidate: 0x55, Correlation: -0.18965928492875947
Candidate: 0x82, Correlation: -0.18925966991400933
Candidate: 0xc1, Correlation: -0.18881992395848562
Candidate: 0xaf, Correlation: -0.18837754945000235
Candidate: 0x30, Correlation: -0.18759616585296573
Candidate: 0xcf, Correlation: -0.18682278544735823
Candidate: 0x11, Correlation: -0.18660663920286344
Candidate: 0x72, Correlation: -0.18616435970645154
Candidate: 0xc6, Correlation: -0.18598942819977282
Candidate: 0xed, Correlation: -0.18479507372364096
Candidate: 0x38, Correlation: -0.1835152257154759
Candidate: 0x97, Correlation: -0.18315779699854104
Candidate: 0xf3, Correlation: -0.18310831101202765
Candidate: 0x7d, Correlation: -0.18308549676042513
Candidate: 0xdc, Correlation: -0.18300010957905374
Candidate: 0x41, Correlation: -0.18227009085034973
Candidate: 0x4, Correlation: -0.1819858602036775
Candidate: 0x98, Correlation: -0.1810891096070082
Candidate: 0x53, Correlation: -0.1810526933591529
Candidate: 0xc3, Correlation: -0.1805943031135924
Candidate: 0x26, Correlation: -0.18049875614944721
Candidate: 0xd5, Correlation: -0.18039694826214325
Candidate: 0x7b, Correlation: -0.17915993342826658
Candidate: 0xfb, Correlation: -0.17900960479223818
Candidate: 0xbc, Correlation: -0.17846955191337557
Candidate: 0x76, Correlation: -0.17842628375617905
Candidate: 0xe4, Correlation: -0.1783141339315818
Candidate: 0x2, Correlation: -0.17830583411527864
Candidate: 0x50, Correlation: -0.17759816333819262
Candidate: 0x1c, Correlation: -0.17757096836472103
Candidate: 0x8a, Correlation: -0.1771489718273285
Candidate: 0x7c, Correlation: -0.17601278532633885
Candidate: 0x33, Correlation: -0.17469714142497808
Candidate: 0xf6, Correlation: -0.1744906114957862
Candidate: 0x9, Correlation: -0.17419040249784026
Candidate: 0xeb, Correlation: -0.17330192085210688
Candidate: 0xb7, Correlation: -0.17323235877131143
Candidate: 0xf2, Correlation: -0.1730165241608096
Candidate: 0xac, Correlation: -0.17285000666597863
Candidate: 0x22, Correlation: -0.17221586554667653
Candidate: 0x49, Correlation: -0.17216190633782674
Candidate: 0x1e, Correlation: -0.17213331018024672
Candidate: 0x2b, Correlation: -0.17132451203515123
Candidate: 0x19, Correlation: -0.17064212599515988
Candidate: 0x18, Correlation: -0.169956017672261
Candidate: 0xe2, Correlation: -0.16915799926561947
Candidate: 0x58, Correlation: -0.16808002754170806
Candidate: 0x6e, Correlation: -0.16692191282855584
