Candidate: 0xf2, Correlation: -0.5771101009841999
Candidate: 0xf3, Correlation: -0.5426664033874724
Candidate: 0xf6, Correlation: -0.49748060887648443
Candidate: 0x72, Correlation: -0.496783169483234
Candidate: 0xf0, Correlation: -0.49152009172547284
Candidate: 0x73, Correlation: -0.4696394665021983
Candidate: 0xf7, Correlation: -0.46518247594387646
Candidate: 0x4b, Correlation: -0.4564520068726651
Candidate: 0xf1, Correlation: -0.45308419550921325
Candidate: 0x76, Correlation: -0.41601449071180807
Candidate: 0x4f, Correlation: -0.4157278373689255
Candidate: 0xfa, Correlation: -0.4156203818234623
Candidate: 0x70, Correlation: -0.41241148063020827
Candidate: 0xf4, Correlation: -0.4090777741675448
Candidate: 0x55, Correlation: -0.40278332041922543
Candidate: 0x57, Correlation: -0.40123260871569305
Candidate: 0xb, Correlation: -0.3981025102234284
Candidate: 0x5b, Correlation: -0.3914213828344773
Candidate: 0x77, Correlation: -0.38985932525030687
Candidate: 0x5f, Correlation: -0.3827651659603698
Candidate: 0xfb, Correlation: -0.38195701007685023
Candidate: 0x71, Correlation: -0.380814140780002
Candidate: 0x43, Correlation: -0.3789824280806756
Candidate: 0x32, Correlation: -0.37808562036834337
Candidate: 0xf5, Correlation: -0.3738066431928576
Candidate: 0x5d, Correlation: -0.37045302495056515
Candidate: 0x4d, Correlation: -0.3699924881948409
Candidate: 0xd5, Correlation: -0.36845929225360907
Candidate: 0xd7, Correlation: -0.3596649542722438
Candidate: 0x64, Correlation: -0.3570002900306422
Candidate: 0x2b, Correlation: -0.35642529716574045
Candidate: 0xcb, Correlation: -0.35501343711596756
Candidate: 0x6c, Correlation: -0.353779336363691
Candidate: 0x84, Correlation: -0.3521016651505695
Candidate: 0x49, Correlation: -0.3517150469499977
Candidate: 0x35, Correlation: -0.3513787565422579
Candidate: 0x66, Correlation: -0.35122879827439174
Candidate: 0xf, Correlation: -0.3512163642138226
Candidate: 0x37, Correlation: -0.3506933291862399
Candidate: 0x6e, Correlation: -0.35031461939893893
Candidate: 0x33, Correlation: -0.34573199576314245
Candidate: 0x86, Correlation: -0.34504046279052925
Candidate: 0x17, Correlation: -0.3449359955306177
Candidate: 0x15, Correlation: -0.3429600868005803
Candidate: 0x8c, Correlation: -0.3426176495355473
Candidate: 0xb5, Correlation: -0.342276677938047
Candidate: 0xcf, Correlation: -0.3404098558718283
Candidate: 0x74, Correlation: -0.33980305591232335
Candidate: 0x45, Correlation: -0.3394286494925573
Candidate: 0xfe, Correlation: -0.33748829264677155
Candidate: 0x8e, Correlation: -0.3372771970098911
Candidate: 0x7a, Correlation: -0.33689271067615223
Candidate: 0x7c, Correlation: -0.33564868517154545
Candidate: 0x47, Correlation: -0.3350396148162478
Candidate: 0x65, Correlation: -0.3350370191169804
Candidate: 0x94, Correlation: -0.3346378435487192
Candidate: 0xb7, Correlation: -0.3345631432184785
Candidate: 0x85, Correlation: -0.3343437089020107
Candidate: 0x12, Correlation: -0.33424958878413125
Candidate: 0x67, Correlation: -0.3325175981971274
