Candidate: 0xc3, Correlation: -0.37924320353776886
Candidate: 0xbd, Correlation: -0.35495958456514587
Candidate: 0xbf, Correlation: -0.3408844101373453
Candidate: 0x43, Correlation: -0.33761114959978933
Candidate: 0xc1, Correlation: -0.3324640042364826
Candidate: 0xc9, Correlation: -0.3296657606457186
Candidate: 0xc5, Correlation: -0.3275170906501253
Candidate: 0xe3, Correlation: -0.32505818604178877
Candidate: 0xa3, Correlation: -0.31922704867668733
Candidate: 0x3d, Correlation: -0.31703154896069174
Candidate: 0xcf, Correlation: -0.31655168127917727
Candidate: 0xc7, Correlation: -0.3161043774536368
Candidate: 0xcd, Correlation: -0.31554576457768596
Candidate: 0x3, Correlation: -0.31547910069856056
Candidate: 0x23, Correlation: -0.309595803323657
Candidate: 0xb7, Correlation: -0.30922451994754474
Candidate: 0xaf, Correlation: -0.30559418402101507
Candidate: 0x83, Correlation: -0.3047167440255024
Candidate: 0xb9, Correlation: -0.3035804040774095
Candidate: 0x41, Correlation: -0.2951934271932464
Candidate: 0x63, Correlation: -0.29375328459552036
Candidate: 0x49, Correlation: -0.29062540370036466
Candidate: 0xd3, Correlation: -0.28946836644328927
Candidate: 0xb3, Correlation: -0.28941423750042605
Candidate: 0xc4, Correlation: -0.28832344809818566
Candidate: 0x45, Correlation: -0.2852302967910472
Candidate: 0x4d, Correlation: -0.2851506316739269
Candidate: 0xc2, Correlation: -0.2789040300961743
Candidate: 0xd7, Correlation: -0.2708971508012171
Candidate: 0x39, Correlation: -0.2705311221979539
Candidate: 0xd1, Correlation: -0.26157508511447686
Candidate: 0xa7, Correlation: -0.25559612830165057
Candidate: 0x33, Correlation: -0.25504346559148344
Candidate: 0xb5, Correlation: -0.2534573436125633
Candidate: 0x93, Correlation: -0.2533014186699959
Candidate: 0xcb, Correlation: -0.25163143618585965
Candidate: 0xc0, Correlation: -0.25086132241495174
Candidate: 0xbe, Correlation: -0.24987736361171173
Candidate: 0x53, Correlation: -0.24883725544506746
Candidate: 0x13, Correlation: -0.24865486700685877
Candidate: 0x84, Correlation: -0.24812837757742903
Candidate: 0x44, Correlation: -0.24723924900781155
Candidate: 0x2, Correlation: -0.2469544559087163
Candidate: 0x4, Correlation: -0.2461583624382028
Candidate: 0xbb, Correlation: -0.2461392953830653
Candidate: 0xdf, Correlation: -0.24537708222419077
Candidate: 0xf3, Correlation: -0.24501756952423998
Candidate: 0x82, Correlation: -0.24405835958029568
Candidate: 0xc6, Correlation: -0.24241893015026805
Candidate: 0xc8, Correlation: -0.2376594372422125
Candidate: 0x51, Correlation: -0.2355343385187913
Candidate: 0xce, Correlation: -0.2354296274527631
Candidate: 0xdb, Correlation: -0.23458913845646118
Candidate: 0x9f, Correlation: -0.23229531182014507
Candidate: 0xb8, Correlation: -0.23005158360109854
Candidate: 0xd5, Correlation: -0.22495623569541331
Candidate: 0xab, Correlation: -0.22307451072256063
Candidate: 0x35, Correlation: -0.22287612507953272
Candidate: 0x9b, Correlation: -0.22212549900490078
Candidate: 0xd0, Correlation: -0.22121632507728922
Candidate: 0x73, Correlation: -0.22046948950266407
Candidate: 0x40, Correlation: -0.22034080386532728
Candidate: 0x42, Correlation: -0.2180335759003692
Candidate: 0xb0, Correlation: -0.21590696831627418
Candidate: 0xeb, Correlation: -0.2156499012173466
Candidate: 0xb1, Correlation: -0.21528566298558666
Candidate: 0xae, Correlation: -0.21358992045309333
Candidate: 0xe7, Correlation: -0.204720145295654
Candidate: 0xad, Correlation: -0.2031276107126533
Candidate: 0x5, Correlation: -0.2016053942835254
Candidate: 0x55, Correlation: -0.20078294876256436
Candidate: 0xb6, Correlation: -0.20067480057997708
Candidate: 0x85, Correlation: -0.19832106725014526
Candidate: 0x48, Correlation: -0.19785543442427714
Candidate: 0x64, Correlation: -0.19623971807749896
Candidate: 0x22, Correlation: -0.1961231480250608
Candidate: 0x1, Correlation: -0.19527089114397278
Candidate: 0xfb, Correlation: -0.19378273397566925
Candidate: 0x31, Correlation: -0.19299223751936898
Candidate: 0x62, Correlation: -0.1916432859642922
Candidate: 0x46, Correlation: -0.19057231361047058
Candidate: 0x24, Correlation: -0.19036733770608308
Candidate: 0x81, Correlation: -0.19026289504156374
Candidate: 0x8b, Correlation: -0.1883670630740513
Candidate: 0xd8, Correlation: -0.18667314806283294
Candidate: 0xa4, Correlation: -0.18610720216932194
Candidate: 0xa8, Correlation: -0.18517226574021947
Candidate: 0x1f, Correlation: -0.18497584611129564
Candidate: 0x6, Correlation: -0.18480598608747817
Candidate: 0xe4, Correlation: -0.1843611761769395
Candidate: 0xa2, Correlation: -0.18408428567612029
Candidate: 0x97, Correlation: -0.1836120755308739
Candidate: 0x4b, Correlation: -0.1827919474185852
Candidate: 0x86, Correlation: -0.18251107722103324
Candidate: 0x7b, Correlation: -0.18006573471715778
Candidate: 0x5f, Correlation: -0.1784997246483503
Candidate: 0xd9, Correlation: -0.1780290023861348
Candidate: 0xbc, Correlation: -0.1778490320522689
Candidate: 0x0, Correlation: -0.1778282008022107
Candidate: 0x2d, Correlation: -0.17680049109194199
Candidate: 0xe2, Correlation: -0.1755540282447936
Candidate: 0xd6, Correlation: -0.1753973639139255
Candidate: 0x80, Correlation: -0.17528697968360343
Candidate: 0x32, Correlation: -0.17500678319193938
Candidate: 0x52, Correlation: -0.17249045489477335
Candidate: 0x3f, Correlation: -0.1711231508337418
Candidate: 0x34, Correlation: -0.1687221780653596
Candidate: 0xcc, Correlation: -0.1678970616602786
Candidate: 0x54, Correlation: -0.16778351433699107
Candidate: 0x3b, Correlation: -0.1677618896859692
Candidate: 0x57, Correlation: -0.1667755697736903
Candidate: 0x3e, Correlation: -0.16582381564085116
Candidate: 0xfe, Correlation: -0.16556441106147138
Candidate: 0xef, Correlation: -0.16339750910834597
Candidate: 0x7e, Correlation: -0.16185409481448126
Candidate: 0x27, Correlation: -0.16045532979431326
Candidate: 0xca, Correlation: -0.1600103794735209
Candidate: 0x37, Correlation: -0.15968408102677453
Candidate: 0x12, Correlation: -0.15838454927777906
Candidate: 0xb, Correlation: -0.1580410501151406
Candidate: 0x2f, Correlation: -0.156578786025862
Candidate: 0xde, Correlation: -0.15642928639427728
Candidate: 0x3c, Correlation: -0.1559361391131166
Candidate: 0x59, Correlation: -0.15548561505200817
Candidate: 0x6b, Correlation: -0.15485762916381174
Candidate: 0x88, Correlation: -0.1530617366567065
Candidate: 0x47, Correlation: -0.15233090017496848
Candidate: 0xda, Correlation: -0.1501913906396067
Candidate: 0x1b, Correlation: -0.14928823445253403
Candidate: 0x8, Correlation: -0.1485189043908165
Candidate: 0xf2, Correlation: -0.1482579357042149
Candidate: 0xa6, Correlation: -0.14744585505471036
Candidate: 0x67, Correlation: -0.1469207583607272
Candidate: 0x72, Correlation: -0.1465415136057343
Candidate: 0x9e, Correlation: -0.14577791719405178
Candidate: 0x65, Correlation: -0.14540696765655475
Candidate: 0xa0, Correlation: -0.14479432691628272
Candidate: 0xdc, Correlation: -0.14446125513702937
Candidate: 0x26, Correlation: -0.14406060147265778
Candidate: 0x92, Correlation: -0.14404854912845003
Candidate: 0xac, Correlation: -0.14389626834291896
Candidate: 0x21, Correlation: -0.14360165197601235
Candidate: 0xff, Correlation: -0.14355519917241913
Candidate: 0x7, Correlation: -0.14331812591816584
Candidate: 0xe6, Correlation: -0.1428692384151116
Candidate: 0x87, Correlation: -0.14276041589342645
Candidate: 0x20, Correlation: -0.14224130462822854
Candidate: 0x61, Correlation: -0.14216271501430694
Candidate: 0x25, Correlation: -0.1415848167275855
Candidate: 0x14, Correlation: -0.141568623003801
