Candidate: 0xc1, Correlation: -0.6241851693429519
Candidate: 0x41, Correlation: -0.463930175336162
Candidate: 0x81, Correlation: -0.39995705711807045
Candidate: 0x1, Correlation: -0.3992269366524655
Candidate: 0xe1, Correlation: -0.39446977545315043
Candidate: 0xa1, Correlation: -0.39076485423273877
Candidate: 0xb1, Correlation: -0.35659691956511874
Candidate: 0xd1, Correlation: -0.3524443011368875
Candidate: 0xc9, Correlation: -0.32494028717764595
Candidate: 0xbf, Correlation: -0.319490476131215
Candidate: 0xb9, Correlation: -0.3188028595921496
Candidate: 0xc0, Correlation: -0.3166551553766251
Candidate: 0x61, Correlation: -0.3148052117932844
Candidate: 0xc3, Correlation: -0.3134136480129016
Candidate: 0xc2, Correlation: -0.3117931905841929
Candidate: 0x21, Correlation: -0.3089189559848834
Candidate: 0xbd, Correlation: -0.3039331876485036
Candidate: 0x91, Correlation: -0.29762882555215897
Candidate: 0xc5, Correlation: -0.2934912959234076
Candidate: 0xcd, Correlation: -0.2914173889715657
Candidate: 0xa9, Correlation: -0.2900791531173969
Candidate: 0xf1, Correlation: -0.2835202285312677
Candidate: 0xd5, Correlation: -0.28000242085439847
Candidate: 0x11, Correlation: -0.2782001473060321
Candidate: 0x51, Correlation: -0.2780944626368181
Candidate: 0x31, Correlation: -0.2757379922807503
Candidate: 0xb5, Correlation: -0.27431844245497683
Candidate: 0xd9, Correlation: -0.27211845966044396
Candidate: 0x71, Correlation: -0.26176439813299685
Candidate: 0x99, Correlation: -0.25473774857354575
Candidate: 0x89, Correlation: -0.24316701790951412
Candidate: 0xad, Correlation: -0.2403709729242462
Candidate: 0xe9, Correlation: -0.2371829657364108
Candidate: 0xc7, Correlation: -0.23491108348832457
Candidate: 0xdd, Correlation: -0.23464248372922483
Candidate: 0xbb, Correlation: -0.23304367249648364
Candidate: 0x49, Correlation: -0.23125439219797217
Candidate: 0xa5, Correlation: -0.2265495501443318
Candidate: 0xcf, Correlation: -0.2209882610433
Candidate: 0x39, Correlation: -0.22043408737486134
Candidate: 0x9, Correlation: -0.22021907264912163
Candidate: 0xe5, Correlation: -0.2170654918498013
Candidate: 0xcb, Correlation: -0.2139471830477689
Candidate: 0x95, Correlation: -0.2137404527804481
Candidate: 0x29, Correlation: -0.21265966318096055
Candidate: 0x19, Correlation: -0.20803110585538998
Candidate: 0x59, Correlation: -0.20790199718449776
Candidate: 0x9d, Correlation: -0.20785491661599295
Candidate: 0xd3, Correlation: -0.20692491183700132
Candidate: 0xc6, Correlation: -0.20666177658714197
Candidate: 0xf9, Correlation: -0.20649118163378108
Candidate: 0x69, Correlation: -0.20618027549610463
Candidate: 0xb7, Correlation: -0.2053883312624774
Candidate: 0x79, Correlation: -0.2030071798245378
Candidate: 0xb3, Correlation: -0.20241562505221702
Candidate: 0x45, Correlation: -0.19814962502155206
Candidate: 0xed, Correlation: -0.19725258027663736
Candidate: 0xaf, Correlation: -0.1906706325731701
Candidate: 0xbe, Correlation: -0.18698054658452293
Candidate: 0xb2, Correlation: -0.18643766242079357
Candidate: 0x8d, Correlation: -0.18509385338410486
Candidate: 0xf5, Correlation: -0.18487455985066953
Candidate: 0xfd, Correlation: -0.18435959853604372
Candidate: 0x5, Correlation: -0.18302247748043746
Candidate: 0x3d, Correlation: -0.18301200676546808
Candidate: 0xb6, Correlation: -0.18290353729922734
Candidate: 0x85, Correlation: -0.18203385897138846
Candidate: 0x55, Correlation: -0.17973781540178566
Candidate: 0xba, Correlation: -0.17972841715562943
Candidate: 0x4d, Correlation: -0.17915813308521128
Candidate: 0xca, Correlation: -0.17706305036528625
Candidate: 0xc8, Correlation: -0.17671029438528374
Candidate: 0xbc, Correlation: -0.17605620837849978
Candidate: 0x5d, Correlation: -0.17422931514647405
Candidate: 0x25, Correlation: -0.17182152679031837
Candidate: 0x65, Correlation: -0.17142742772604544
Candidate: 0xd2, Correlation: -0.17138918452718432
Candidate: 0xb0, Correlation: -0.17109721159249014
Candidate: 0xd6, Correlation: -0.1698317186583486
Candidate: 0xd0, Correlation: -0.16920807517877068
Candidate: 0xc4, Correlation: -0.16895568188902582
Candidate: 0x1d, Correlation: -0.1679668742643058
Candidate: 0x35, Correlation: -0.16756878980038303
Candidate: 0xa7, Correlation: -0.1668146242446137
Candidate: 0xd7, Correlation: -0.16664335427085217
Candidate: 0x7d, Correlation: -0.1656636609439584
Candidate: 0xcc, Correlation: -0.1651105786275516
Candidate: 0xab, Correlation: -0.16435513926135092
Candidate: 0xb8, Correlation: -0.16087226761684256
Candidate: 0x3f, Correlation: -0.1605178417648098
Candidate: 0x15, Correlation: -0.15814772203145958
Candidate: 0xd, Correlation: -0.15776527304048613
Candidate: 0x43, Correlation: -0.15737189746756833
Candidate: 0x75, Correlation: -0.15716188787162802
Candidate: 0xdb, Correlation: -0.1554200121032308
Candidate: 0x40, Correlation: -0.15477694737557693
Candidate: 0xce, Correlation: -0.15443236146617964
Candidate: 0x42, Correlation: -0.15324220354604465
Candidate: 0x2d, Correlation: -0.15320074082933854
Candidate: 0xdf, Correlation: -0.15250435949405935
Candidate: 0xa6, Correlation: -0.14950890759808677
Candidate: 0x9f, Correlation: -0.1474541452674977
Candidate: 0x6d, Correlation: -0.14611971868444498
Candidate: 0xb4, Correlation: -0.1428348644354927
Candidate: 0xaa, Correlation: -0.14180293582180573
Candidate: 0xe7, Correlation: -0.14122959344007524
Candidate: 0xef, Correlation: -0.13933508835987643
Candidate: 0xae, Correlation: -0.13600888922276771
Candidate: 0x96, Correlation: -0.13568429683360891
Candidate: 0xa3, Correlation: -0.13548293988173873
Candidate: 0xe3, Correlation: -0.13464176194475244
Candidate: 0xd4, Correlation: -0.1345756095836725
Candidate: 0xac, Correlation: -0.13376476611205537
Candidate: 0x9b, Correlation: -0.1335927811780101
Candidate: 0xd8, Correlation: -0.13268615220012228
Candidate: 0x4f, Correlation: -0.13091792563984883
Candidate: 0xa8, Correlation: -0.13083624372814434
Candidate: 0xeb, Correlation: -0.1299025371271628
Candidate: 0xda, Correlation: -0.12908866694274834
Candidate: 0xf3, Correlation: -0.12664993040090416
Candidate: 0x86, Correlation: -0.12609805239667832
Candidate: 0x93, Correlation: -0.12449349642568433
Candidate: 0x53, Correlation: -0.12418463827768884
Candidate: 0x46, Correlation: -0.12254366290863296
Candidate: 0x97, Correlation: -0.12084685434699863
Candidate: 0xe6, Correlation: -0.12071446996156777
Candidate: 0xdc, Correlation: -0.1194935175521021
Candidate: 0x9a, Correlation: -0.11937006348451631
Candidate: 0x6, Correlation: -0.11885579156540997
Candidate: 0x47, Correlation: -0.11784610539019683
Candidate: 0x9e, Correlation: -0.11705921101256156
Candidate: 0x9c, Correlation: -0.11640460548170638
Candidate: 0x8f, Correlation: -0.11569155292877652
Candidate: 0x2f, Correlation: -0.11548314576140216
Candidate: 0x33, Correlation: -0.11520520058800644
Candidate: 0xf, Correlation: -0.11512601312817948
Candidate: 0x7, Correlation: -0.1130099802648861
Candidate: 0xf7, Correlation: -0.11176415966844315
Candidate: 0x98, Correlation: -0.11124097597534853
Candidate: 0x3b, Correlation: -0.11094722700098027
Candidate: 0xde, Correlation: -0.1100546320240339
Candidate: 0x36, Correlation: -0.10978146487096498
Candidate: 0x56, Correlation: -0.10970084202090329
Candidate: 0x16, Correlation: -0.10920891631812579
Candidate: 0xff, Correlation: -0.1088030006229041
Candidate: 0x8a, Correlation: -0.10833442785348638
Candidate: 0x13, Correlation: -0.10810381292961681
Candidate: 0x4a, Correlation: -0.10781812788958327
Candidate: 0xb, Correlation: -0.10772296179355602
Candidate: 0x87, Correlation: -0.10764155454070654
Candidate: 0x26, Correlation: -0.1072727267234708
Candidate: 0xfb, Correlation: -0.10657101732913
Candidate: 0xea, Correlation: -0.10645775859607741
Candidate: 0x8b, Correlation: -0.10608988856036344
Candidate: 0x7f, Correlation: -0.1052475291182732
Candidate: 0x83, Correlation: -0.10503395805616085
Candidate: 0x3e, Correlation: -0.10457224253714661
Candidate: 0x1b, Correlation: -0.10451364754096333
Candidate: 0xa4, Correlation: -0.10418609525855721
Candidate: 0x3a, Correlation: -0.10416857801371997
Candidate: 0x48, Correlation: -0.10413470109853268
Candidate: 0xe8, Correlation: -0.1040427483389924
Candidate: 0x4b, Correlation: -0.10401248096487235
Candidate: 0x88, Correlation: -0.10387829664714222
Candidate: 0x17, Correlation: -0.1036350580360634
Candidate: 0xf6, Correlation: -0.10347169055186353
Candidate: 0x92, Correlation: -0.10318321348659215
Candidate: 0xec, Correlation: -0.10305308439386972
Candidate: 0x8c, Correlation: -0.10280952635304798
