Candidate: 0xb, Correlation: -0.7924992236258668
Candidate: 0x8b, Correlation: -0.597207020734718
Candidate: 0xcb, Correlation: -0.517169787633005
Candidate: 0x4b, Correlation: -0.5133190419312281
Candidate: 0xeb, Correlation: -0.47715814488197567
Candidate: 0xf, Correlation: -0.4733042162864502
Candidate: 0x7, Correlation: -0.4680070091994467
Candidate: 0x13, Correlation: -0.4660270539537802
Candidate: 0x3, Correlation: -0.4642102815296505
Candidate: 0x2b, Correlation: -0.4633771316758731
Candidate: 0x1b, Correlation: -0.4389820226498713
Candidate: 0xfb, Correlation: -0.43443889985377404
Candidate: 0xc, Correlation: -0.4063699567927861
Candidate: 0xa, Correlation: -0.4021263246719978
Candidate: 0xd, Correlation: -0.3946149762950866
Candidate: 0x17, Correlation: -0.3896224836807665
Candidate: 0x9, Correlation: -0.388488367187328
Candidate: 0x6b, Correlation: -0.3847027170634767
Candidate: 0xff, Correlation: -0.3842050926766558
Candidate: 0xab, Correlation: -0.3723264372801602
Candidate: 0x1f, Correlation: -0.31219378755448574
Candidate: 0xf7, Correlation: -0.31014812712986967
Candidate: 0xf3, Correlation: -0.3046958837519757
Candidate: 0xdb, Correlation: -0.30310467740280805
Candidate: 0x23, Correlation: -0.29898589557272065
Candidate: 0x9b, Correlation: -0.29063238163267
Candidate: 0x3b, Correlation: -0.27229403793866624
Candidate: 0x7b, Correlation: -0.26973419675491855
Candidate: 0xe, Correlation: -0.2605017650514343
Candidate: 0x5b, Correlation: -0.25528739880489815
Candidate: 0xef, Correlation: -0.248469722041767
Candidate: 0xd7, Correlation: -0.23854737713752613
Candidate: 0x8, Correlation: -0.23771032069715473
Candidate: 0x87, Correlation: -0.23413239970901004
Candidate: 0x5, Correlation: -0.2338453256154766
Candidate: 0x11, Correlation: -0.23362825580956792
Candidate: 0xbb, Correlation: -0.22554399735530892
Candidate: 0x8f, Correlation: -0.2240856845140592
Candidate: 0x27, Correlation: -0.22364715961698126
Candidate: 0x37, Correlation: -0.22318691992525405
Candidate: 0x97, Correlation: -0.22317212698298042
Candidate: 0xdf, Correlation: -0.22248585308316984
