Candidate: 0xaa, Correlation: -0.5753939528946751
Candidate: 0x2a, Correlation: -0.4236293557931993
Candidate: 0xea, Correlation: -0.3581513979936496
Candidate: 0x6a, Correlation: -0.3483608384502484
Candidate: 0xca, Correlation: -0.33496160984956885
Candidate: 0xba, Correlation: -0.3268948885920419
Candidate: 0xb2, Correlation: -0.3192425578417442
Candidate: 0x8a, Correlation: -0.3120365632482216
Candidate: 0xab, Correlation: -0.30950385182017176
Candidate: 0x9a, Correlation: -0.3025036223564576
Candidate: 0xa2, Correlation: -0.29632409329139353
Candidate: 0xa9, Correlation: -0.29499620565166323
Candidate: 0xac, Correlation: -0.28903418563837663
Candidate: 0xa8, Correlation: -0.28446392748690785
Candidate: 0xae, Correlation: -0.28333610211117527
Candidate: 0xa6, Correlation: -0.2710115924026517
Candidate: 0x4a, Correlation: -0.2546510100808176
Candidate: 0xa, Correlation: -0.24252317214981914
Candidate: 0xda, Correlation: -0.21200549205560548
Candidate: 0x3a, Correlation: -0.20911167122618513
Candidate: 0x1a, Correlation: -0.1998325491138564
Candidate: 0xc2, Correlation: -0.192279331252272
Candidate: 0x7a, Correlation: -0.18460219371429645
Candidate: 0x32, Correlation: -0.18146805791968054
Candidate: 0x22, Correlation: -0.16910001313887962
Candidate: 0x5a, Correlation: -0.16715329132479662
Candidate: 0x92, Correlation: -0.1647100235863173
Candidate: 0xa7, Correlation: -0.1625363959479375
Candidate: 0xfa, Correlation: -0.16048750707279855
Candidate: 0xad, Correlation: -0.15878830745276556
Candidate: 0x2b, Correlation: -0.1552514085410209
Candidate: 0xb6, Correlation: -0.15455676679600808
Candidate: 0xb0, Correlation: -0.15450413685653008
Candidate: 0x29, Correlation: -0.15110258758219813
Candidate: 0x28, Correlation: -0.1403275702283845
Candidate: 0x2c, Correlation: -0.13975916160608215
Candidate: 0xa4, Correlation: -0.13938456404159597
Candidate: 0xe2, Correlation: -0.1372440751213102
Candidate: 0x2e, Correlation: -0.135284571297741
Candidate: 0x26, Correlation: -0.13179107412595892
Candidate: 0xd2, Correlation: -0.1277031230471016
Candidate: 0x72, Correlation: -0.12290131784522168
Candidate: 0x9e, Correlation: -0.12100898324327937
Candidate: 0xf2, Correlation: -0.12022881623757208
Candidate: 0x62, Correlation: -0.11553162413720834
Candidate: 0xb1, Correlation: -0.1119299243183411
Candidate: 0x82, Correlation: -0.11143092730983875
Candidate: 0xa3, Correlation: -0.10813443313053098
Candidate: 0xb4, Correlation: -0.10473040940430758
Candidate: 0xb8, Correlation: -0.10147245960107534
Candidate: 0xb3, Correlation: -0.10135505999069831
Candidate: 0xaf, Correlation: -0.10046520740648936
Candidate: 0xc6, Correlation: -0.09692277296188305
Candidate: 0xe9, Correlation: -0.09166325320699734
Candidate: 0xeb, Correlation: -0.08995359922258898
Candidate: 0xe6, Correlation: -0.08913260956998995
Candidate: 0xa5, Correlation: -0.08783809968858672
Candidate: 0xb9, Correlation: -0.08686511825159271
Candidate: 0x42, Correlation: -0.08645197782473034
Candidate: 0xe8, Correlation: -0.08597863705028914
Candidate: 0x6b, Correlation: -0.08232152797454044
Candidate: 0xc8, Correlation: -0.08035560511561202
Candidate: 0x69, Correlation: -0.08021684653379788
Candidate: 0xbe, Correlation: -0.07801929075876302
Candidate: 0x9c, Correlation: -0.07780748999945464
Candidate: 0x12, Correlation: -0.07542437869156349
Candidate: 0xc9, Correlation: -0.07488007561048256
Candidate: 0x66, Correlation: -0.07473184064835789
Candidate: 0xbb, Correlation: -0.07450615656489963
Candidate: 0xec, Correlation: -0.07441641244065787
Candidate: 0x68, Correlation: -0.07433698702287156
Candidate: 0x6c, Correlation: -0.0680489550727314
Candidate: 0x9b, Correlation: -0.06734649637962607
Candidate: 0xcb, Correlation: -0.06719582097331693
Candidate: 0x96, Correlation: -0.06717478742984578
Candidate: 0xee, Correlation: -0.06692325617793043
Candidate: 0x2, Correlation: -0.06473665918161783
Candidate: 0xce, Correlation: -0.06399263899803652
Candidate: 0xa0, Correlation: -0.06334058761015678
Candidate: 0xf9, Correlation: -0.06167140084126036
Candidate: 0x6e, Correlation: -0.061469877080327355
Candidate: 0xbc, Correlation: -0.06123716740143213
Candidate: 0x8e, Correlation: -0.06102726468973965
Candidate: 0x24, Correlation: -0.0598362451902212
Candidate: 0x9, Correlation: -0.05850547449499103
Candidate: 0x52, Correlation: -0.057867674458331776
Candidate: 0xdd, Correlation: -0.05769912672621676
Candidate: 0xf5, Correlation: -0.0567726721420183
Candidate: 0xcc, Correlation: -0.056022082977267885
Candidate: 0x95, Correlation: -0.054265836376398105
Candidate: 0x9d, Correlation: -0.054038938267418124
Candidate: 0x8b, Correlation: -0.05323745193366946
Candidate: 0x79, Correlation: -0.05235224310131893
Candidate: 0x99, Correlation: -0.0523081260287818
Candidate: 0x39, Correlation: -0.05217203563641851
Candidate: 0x1d, Correlation: -0.05214991829905361
Candidate: 0x53, Correlation: -0.051811729058357334
