Candidate: 0x71, Correlation: -0.8111597868029877
Candidate: 0x7d, Correlation: -0.7121347745519484
Candidate: 0x0, Correlation: -0.6315055661280393
Candidate: 0x75, Correlation: -0.6281388617946598
Candidate: 0x73, Correlation: -0.6227863228532118
Candidate: 0xf1, Correlation: -0.6192275152762329
Candidate: 0x70, Correlation: -0.6185239790106066
Candidate: 0x51, Correlation: -0.6150266071148384
Candidate: 0x61, Correlation: -0.6066399040301191
Candidate: 0x31, Correlation: -0.6055853560913885
Candidate: 0x1, Correlation: -0.6010614946248422
Candidate: 0x79, Correlation: -0.5969416150125411
Candidate: 0x6d, Correlation: -0.5792892974946624
Candidate: 0x3d, Correlation: -0.570880517600521
Candidate: 0x5d, Correlation: -0.5656138898383136
Candidate: 0x2, Correlation: -0.5412993533169133
Candidate: 0x65, Correlation: -0.539293276295609
Candidate: 0x35, Correlation: -0.531962523677673
Candidate: 0x39, Correlation: -0.5159869557209985
Candidate: 0x69, Correlation: -0.5148161740247543
Candidate: 0x8, Correlation: -0.511518690652642
Candidate: 0x80, Correlation: -0.5073065700446557
Candidate: 0x3, Correlation: -0.50617175396912
Candidate: 0x2d, Correlation: -0.5030970311384296
Candidate: 0x4, Correlation: -0.4985571204037675
Candidate: 0x55, Correlation: -0.4953105179623247
Candidate: 0x9, Correlation: -0.4845753024900788
Candidate: 0x7c, Correlation: -0.47904143274809996
Candidate: 0x81, Correlation: -0.4770116445579117
Candidate: 0x25, Correlation: -0.4735862289598137
Candidate: 0x5, Correlation: -0.47314922739618936
Candidate: 0x7f, Correlation: -0.4569167692372378
Candidate: 0x59, Correlation: -0.45464157586174175
Candidate: 0x29, Correlation: -0.4524968654132738
Candidate: 0x41, Correlation: -0.44878575498908607
Candidate: 0x72, Correlation: -0.4357422542872863
Candidate: 0x4d, Correlation: -0.4350335170846825
Candidate: 0xf3, Correlation: -0.43447795656689525
Candidate: 0x1d, Correlation: -0.43177402380278423
Candidate: 0x11, Correlation: -0.4309603088010969
Candidate: 0x53, Correlation: -0.42845843726416505
Candidate: 0xa, Correlation: -0.42742356129020737
Candidate: 0xf0, Correlation: -0.4259898725017284
Candidate: 0x21, Correlation: -0.4256226718425053
Candidate: 0x33, Correlation: -0.424816900537385
Candidate: 0x50, Correlation: -0.42464664606057867
Candidate: 0x20, Correlation: -0.4228018407933639
Candidate: 0xd1, Correlation: -0.4224702215321929
Candidate: 0xb1, Correlation: -0.4193581085524794
Candidate: 0x63, Correlation: -0.417438356886616
Candidate: 0x82, Correlation: -0.41589151081167425
Candidate: 0x7b, Correlation: -0.4140269686728061
Candidate: 0xe1, Correlation: -0.4138459043346248
Candidate: 0x30, Correlation: -0.41378675306750856
Candidate: 0x45, Correlation: -0.41315644913478977
Candidate: 0x60, Correlation: -0.40988451392279174
Candidate: 0x15, Correlation: -0.40875716261535816
Candidate: 0x6, Correlation: -0.40707078248600187
Candidate: 0x10, Correlation: -0.40632137830314835
Candidate: 0x77, Correlation: -0.40586028880812614
Candidate: 0xf5, Correlation: -0.4050285757198778
Candidate: 0x74, Correlation: -0.4025984907350065
Candidate: 0x78, Correlation: -0.3979151620700165
Candidate: 0xf9, Correlation: -0.3962301085373694
Candidate: 0xb, Correlation: -0.39596662342041766
Candidate: 0xfd, Correlation: -0.394020553622311
