Candidate: 0xb2, Correlation: -0.2331552525131347
Candidate: 0xf2, Correlation: -0.19710338602132899
Candidate: 0x92, Correlation: -0.18836505147442942
Candidate: 0xb3, Correlation: -0.18664152724655048
Candidate: 0x8d, Correlation: -0.1859685563129763
Candidate: 0xb6, Correlation: -0.18576818958612265
Candidate: 0x9d, Correlation: -0.1778806359240925
Candidate: 0xad, Correlation: -0.17590736115860986
Candidate: 0x81, Correlation: -0.1722826789481721
Candidate: 0xcd, Correlation: -0.17187857386228053
Candidate: 0x99, Correlation: -0.17022155765195662
Candidate: 0xba, Correlation: -0.16831571726970176
Candidate: 0x8f, Correlation: -0.1681905944197014
Candidate: 0xbd, Correlation: -0.16794012531433955
Candidate: 0x89, Correlation: -0.16725798270372477
Candidate: 0xa1, Correlation: -0.16519420703701795
Candidate: 0xdd, Correlation: -0.16399953655204402
Candidate: 0x32, Correlation: -0.1639923176020698
Candidate: 0xa5, Correlation: -0.1631426379658895
Candidate: 0x85, Correlation: -0.1620308576390559
Candidate: 0xaf, Correlation: -0.16119829371536804
Candidate: 0xed, Correlation: -0.16095989865523713
Candidate: 0xb0, Correlation: -0.16003245719720605
Candidate: 0xa9, Correlation: -0.15995561686913037
Candidate: 0xb9, Correlation: -0.15959671273191975
Candidate: 0x95, Correlation: -0.15907594130852756
Candidate: 0x8c, Correlation: -0.15735201886768574
Candidate: 0xd2, Correlation: -0.15361630344385188
Candidate: 0xfd, Correlation: -0.15287639327719
Candidate: 0xa2, Correlation: -0.15200627434345376
Candidate: 0xf3, Correlation: -0.15198535174073877
Candidate: 0xd9, Correlation: -0.15185413062195546
Candidate: 0xf6, Correlation: -0.1513112563309095
Candidate: 0xb5, Correlation: -0.1503629876611557
Candidate: 0xa7, Correlation: -0.1501536395165023
Candidate: 0x87, Correlation: -0.1489154576220446
Candidate: 0xa4, Correlation: -0.14840448754379318
Candidate: 0x98, Correlation: -0.1455914500252409
Candidate: 0xc9, Correlation: -0.1448098690686005
Candidate: 0xb1, Correlation: -0.14301445125917078
Candidate: 0xd, Correlation: -0.14281425047625032
Candidate: 0x96, Correlation: -0.14247089619289688
Candidate: 0x93, Correlation: -0.1424276054877348
Candidate: 0x36, Correlation: -0.14238666528034286
Candidate: 0x9c, Correlation: -0.14170404000858708
Candidate: 0x91, Correlation: -0.140919653430231
Candidate: 0xb7, Correlation: -0.14043224412859429
Candidate: 0xf9, Correlation: -0.14040731510941012
Candidate: 0xac, Correlation: -0.13885905476235025
Candidate: 0x88, Correlation: -0.13873685741827635
Candidate: 0xa3, Correlation: -0.138420751748881
Candidate: 0x83, Correlation: -0.13659017073557278
Candidate: 0x2d, Correlation: -0.13653009245362727
Candidate: 0x84, Correlation: -0.1356881138187191
Candidate: 0xfa, Correlation: -0.13546710566378162
Candidate: 0x9f, Correlation: -0.13501945442424512
Candidate: 0xa6, Correlation: -0.1346140814198149
Candidate: 0xbe, Correlation: -0.13369107592278562
Candidate: 0xc1, Correlation: -0.1336898994410088
Candidate: 0xe9, Correlation: -0.13344452798745188
Candidate: 0x9b, Correlation: -0.13337083880134895
Candidate: 0xbb, Correlation: -0.13315023755504093
Candidate: 0xb8, Correlation: -0.13185302784606773
Candidate: 0xcc, Correlation: -0.13167380411923046
Candidate: 0xd8, Correlation: -0.13126123701393885
Candidate: 0x3a, Correlation: -0.12988404761185487
Candidate: 0x72, Correlation: -0.12958810332780388
Candidate: 0xf, Correlation: -0.12808647171976217
Candidate: 0xbf, Correlation: -0.12803582999820715
Candidate: 0x1d, Correlation: -0.12676416916424446
Candidate: 0xcf, Correlation: -0.1264877647790369
Candidate: 0xbc, Correlation: -0.12642304805761598
Candidate: 0xab, Correlation: -0.126333986566045
Candidate: 0xe1, Correlation: -0.12570904968599253
Candidate: 0xa8, Correlation: -0.1250175612450295
Candidate: 0xd5, Correlation: -0.12476841027999035
Candidate: 0x8b, Correlation: -0.12474314271912727
Candidate: 0xc5, Correlation: -0.12463823316120239
Candidate: 0x97, Correlation: -0.12436440680458997
Candidate: 0x9a, Correlation: -0.12392055037634499
Candidate: 0xf0, Correlation: -0.1235791661769716
Candidate: 0xc8, Correlation: -0.1234807891716001
Candidate: 0x3d, Correlation: -0.12308387532674693
Candidate: 0x86, Correlation: -0.12215277475219641
Candidate: 0x2f, Correlation: -0.12150191549338038
Candidate: 0x4d, Correlation: -0.12084444798393715
Candidate: 0x12, Correlation: -0.11946831939031019
Candidate: 0xef, Correlation: -0.1189846042569466
Candidate: 0xdc, Correlation: -0.11855591926691103
Candidate: 0x19, Correlation: -0.11835604417822136
Candidate: 0x33, Correlation: -0.1174963732762139
Candidate: 0xf8, Correlation: -0.11683774051859407
Candidate: 0x22, Correlation: -0.11589252099043805
Candidate: 0x25, Correlation: -0.11586426176210743
Candidate: 0xe5, Correlation: -0.11552653864982905
Candidate: 0xf5, Correlation: -0.1154874533819955
Candidate: 0xe2, Correlation: -0.11530361428711759
Candidate: 0x90, Correlation: -0.11502185035791249
Candidate: 0x5, Correlation: -0.11408354811790705
Candidate: 0xec, Correlation: -0.11351930506163194
Candidate: 0x9e, Correlation: -0.11263256633497512
Candidate: 0xae, Correlation: -0.11256165196949026
Candidate: 0x3e, Correlation: -0.11219925888353419
Candidate: 0xdf, Correlation: -0.11206523795044952
Candidate: 0xb4, Correlation: -0.11161347552842707
Candidate: 0x8e, Correlation: -0.11134443843342912
Candidate: 0x5d, Correlation: -0.11059199842397148
Candidate: 0x9, Correlation: -0.1103891830845954
Candidate: 0xd6, Correlation: -0.10954464036283014
Candidate: 0xd3, Correlation: -0.10949491734891739
Candidate: 0x6d, Correlation: -0.10908488477863719
Candidate: 0xe8, Correlation: -0.10901666290619537
Candidate: 0xe4, Correlation: -0.1087314119061713
