Candidate: 0xde, Correlation: -0.6945887565080824
Candidate: 0xd6, Correlation: -0.6340428969907638
Candidate: 0xda, Correlation: -0.5943167390988225
Candidate: 0x9e, Correlation: -0.5652665652866468
Candidate: 0xdc, Correlation: -0.5650128859246383
Candidate: 0x8, Correlation: -0.5370333594323571
Candidate: 0xce, Correlation: -0.5360288357921651
Candidate: 0xd2, Correlation: -0.5348754396165558
Candidate: 0x96, Correlation: -0.5058352606468486
Candidate: 0xd4, Correlation: -0.4992410967875129
Candidate: 0x0, Correlation: -0.4987731647791402
Candidate: 0x5e, Correlation: -0.4935179445319096
Candidate: 0xc6, Correlation: -0.47338391340881375
Candidate: 0x48, Correlation: -0.46878154352482143
Candidate: 0xd8, Correlation: -0.46807948411922845
Candidate: 0x9a, Correlation: -0.4620346816908137
Candidate: 0xca, Correlation: -0.4388855214872671
Candidate: 0x56, Correlation: -0.4362500841672211
Candidate: 0x40, Correlation: -0.4288107863649014
Candidate: 0x9c, Correlation: -0.4268940349041876
Candidate: 0x88, Correlation: -0.4172987033867165
Candidate: 0xdf, Correlation: -0.41627770989567286
Candidate: 0xcc, Correlation: -0.4125413330344571
Candidate: 0x28, Correlation: -0.40667417837368114
Candidate: 0x92, Correlation: -0.4037299575838906
Candidate: 0xd0, Correlation: -0.40342346878175145
Candidate: 0x8e, Correlation: -0.4008153689236881
Candidate: 0x5a, Correlation: -0.400121743876889
Candidate: 0x18, Correlation: -0.39565768681343655
Candidate: 0xa, Correlation: -0.3896225047190768
Candidate: 0xc2, Correlation: -0.37700981936176237
Candidate: 0x80, Correlation: -0.37637126118495345
Candidate: 0xc, Correlation: -0.37279713845794493
Candidate: 0x20, Correlation: -0.3689563466832937
Candidate: 0xfe, Correlation: -0.3673495834420664
Candidate: 0x5c, Correlation: -0.365306148114327
Candidate: 0x94, Correlation: -0.3651381377388828
Candidate: 0x1e, Correlation: -0.35974949184116933
Candidate: 0xd7, Correlation: -0.3582096321818995
Candidate: 0x10, Correlation: -0.35786515540611863
Candidate: 0x2, Correlation: -0.35330677145761213
Candidate: 0xc4, Correlation: -0.3450435583569343
Candidate: 0xc8, Correlation: -0.34408108462302195
Candidate: 0x52, Correlation: -0.3426725477482931
Candidate: 0x86, Correlation: -0.34034352768158155
Candidate: 0x68, Correlation: -0.33806710258413664
Candidate: 0x4, Correlation: -0.33479445744049513
Candidate: 0x4e, Correlation: -0.33176639576936806
Candidate: 0x98, Correlation: -0.3282172401604069
Candidate: 0xdb, Correlation: -0.3250412605665013
Candidate: 0x58, Correlation: -0.3236164489152631
Candidate: 0x4a, Correlation: -0.316182689043912
Candidate: 0xf6, Correlation: -0.3096904425342234
Candidate: 0x16, Correlation: -0.30265005086712776
Candidate: 0xc0, Correlation: -0.3024542989975786
Candidate: 0x8a, Correlation: -0.30135636335572275
Candidate: 0x54, Correlation: -0.30127862372219083
Candidate: 0x4c, Correlation: -0.3008073066102798
Candidate: 0x60, Correlation: -0.2987864114382754
Candidate: 0x9, Correlation: -0.29277915735897614
Candidate: 0x9f, Correlation: -0.28523405611608355
Candidate: 0xdd, Correlation: -0.28504140767725294
Candidate: 0x50, Correlation: -0.28454776485550953
Candidate: 0xa8, Correlation: -0.2813357524890229
Candidate: 0x42, Correlation: -0.27858480773419325
Candidate: 0x8c, Correlation: -0.27229853895266143
Candidate: 0x46, Correlation: -0.26979739637202493
Candidate: 0xfa, Correlation: -0.2678803903333083
Candidate: 0x90, Correlation: -0.26762337627182475
Candidate: 0xd3, Correlation: -0.2667625852739687
Candidate: 0x1a, Correlation: -0.2639822679065161
Candidate: 0x38, Correlation: -0.26219644675353393
Candidate: 0x44, Correlation: -0.2618944058708157
Candidate: 0x2a, Correlation: -0.2588300876455734
Candidate: 0xcf, Correlation: -0.2554449259402422
Candidate: 0x1, Correlation: -0.25511524096520893
Candidate: 0x2c, Correlation: -0.24524705941231434
Candidate: 0xa0, Correlation: -0.24205028278032373
Candidate: 0x82, Correlation: -0.24188797154721628
Candidate: 0xfc, Correlation: -0.23889584548120577
Candidate: 0xbe, Correlation: -0.233630078200915
Candidate: 0x1c, Correlation: -0.23149696791051516
Candidate: 0x97, Correlation: -0.22942700218132392
Candidate: 0xe, Correlation: -0.22655275381032772
Candidate: 0xd5, Correlation: -0.22508491961331886
Candidate: 0x30, Correlation: -0.224751424931612
Candidate: 0x22, Correlation: -0.22213453798223873
Candidate: 0x49, Correlation: -0.2202660969019244
Candidate: 0x5f, Correlation: -0.21960579507413905
Candidate: 0x84, Correlation: -0.21349135364115018
Candidate: 0xee, Correlation: -0.2109099650930318
Candidate: 0xec, Correlation: -0.21046413297386993
Candidate: 0xe8, Correlation: -0.21016364808715463
Candidate: 0xf2, Correlation: -0.21007166388364482
Candidate: 0x12, Correlation: -0.20812383057327885
Candidate: 0x24, Correlation: -0.20725617311438177
Candidate: 0x6c, Correlation: -0.2037461222012552
Candidate: 0xc7, Correlation: -0.19661868387291961
Candidate: 0x14, Correlation: -0.19350413859305407
Candidate: 0xd9, Correlation: -0.1931854817707016
Candidate: 0x9b, Correlation: -0.19078409599197324
Candidate: 0x78, Correlation: -0.19004021310196065
Candidate: 0x6, Correlation: -0.1894467791944517
Candidate: 0x6a, Correlation: -0.1855065805150452
Candidate: 0x41, Correlation: -0.18148113375015393
Candidate: 0xb6, Correlation: -0.17947330572003556
Candidate: 0xf4, Correlation: -0.174461917097336
Candidate: 0xe9, Correlation: -0.17192497697290426
Candidate: 0x7e, Correlation: -0.17065557661177622
Candidate: 0xe0, Correlation: -0.1695331609675716
Candidate: 0xed, Correlation: -0.16933708718124338
Candidate: 0x69, Correlation: -0.16825936410910836
Candidate: 0x89, Correlation: -0.16801709722880953
