Candidate: 0xac, Correlation: -0.5965818142177205
Candidate: 0x2c, Correlation: -0.44899639089091786
Candidate: 0xec, Correlation: -0.38821781789280185
Candidate: 0x6c, Correlation: -0.38424437351765595
Candidate: 0xcc, Correlation: -0.3735687023431803
Candidate: 0xbc, Correlation: -0.3551772210394653
Candidate: 0x8c, Correlation: -0.35430791927768573
Candidate: 0x1c, Correlation: -0.33427864121238454
Candidate: 0x9c, Correlation: -0.33294981720883354
Candidate: 0x3c, Correlation: -0.3228102538101074
Candidate: 0xad, Correlation: -0.3083161139055826
Candidate: 0xae, Correlation: -0.30440867008553435
Candidate: 0xfc, Correlation: -0.29993563479687163
Candidate: 0xaa, Correlation: -0.2995905443461196
Candidate: 0x5c, Correlation: -0.29794495386036096
Candidate: 0xc, Correlation: -0.2963435104131824
Candidate: 0xa4, Correlation: -0.29600260099580555
Candidate: 0xb4, Correlation: -0.2956713423358827
Candidate: 0xab, Correlation: -0.2929646288963043
Candidate: 0xa8, Correlation: -0.291386350282669
Candidate: 0x4c, Correlation: -0.28830040524847916
Candidate: 0xdc, Correlation: -0.28708003535696097
Candidate: 0x7c, Correlation: -0.28577054837581733
Candidate: 0xb0, Correlation: -0.2814268929095672
Candidate: 0xa0, Correlation: -0.2413343162466109
Candidate: 0xc4, Correlation: -0.23876106511285947
Candidate: 0xb8, Correlation: -0.23125557371780373
Candidate: 0x94, Correlation: -0.22516599718293617
Candidate: 0x98, Correlation: -0.2191787992413364
Candidate: 0x34, Correlation: -0.21894560964231025
Candidate: 0x90, Correlation: -0.21403116454540536
Candidate: 0x24, Correlation: -0.21337012170009065
Candidate: 0xc8, Correlation: -0.2109789260892129
Candidate: 0xc0, Correlation: -0.20522454787247976
Candidate: 0x84, Correlation: -0.20519041284250447
Candidate: 0xa6, Correlation: -0.20270198253903499
Candidate: 0x9e, Correlation: -0.19861028094912478
Candidate: 0x88, Correlation: -0.19783206078439178
Candidate: 0xd0, Correlation: -0.19566043787199566
