Candidate: 0xfe, Correlation: -0.22912564742422975
Candidate: 0xe, Correlation: -0.17716358918098618
Candidate: 0x7e, Correlation: -0.1763677879525325
Candidate: 0xbe, Correlation: -0.1713983347670563
Candidate: 0x3e, Correlation: -0.16927968357051187
Candidate: 0x1e, Correlation: -0.16901026229422478
Candidate: 0xde, Correlation: -0.15991697466351984
Candidate: 0xf6, Correlation: -0.15956095523972272
Candidate: 0xee, Correlation: -0.15594649136802669
Candidate: 0xce, Correlation: -0.15363763925053722
Candidate: 0x6, Correlation: -0.14988429231334494
Candidate: 0x9e, Correlation: -0.13824126634277542
Candidate: 0x8e, Correlation: -0.1369331276215837
Candidate: 0x4e, Correlation: -0.13654406001437286
Candidate: 0x2, Correlation: -0.13499746564318785
Candidate: 0x2e, Correlation: -0.13345067664405516
Candidate: 0x5e, Correlation: -0.13287549392768888
Candidate: 0x6e, Correlation: -0.12493243582480616
Candidate: 0x16, Correlation: -0.11840182435643674
Candidate: 0xae, Correlation: -0.11651083513868601
Candidate: 0x76, Correlation: -0.11561840395461452
Candidate: 0xc6, Correlation: -0.11219143261954445
Candidate: 0x0, Correlation: -0.10988660728472087
Candidate: 0xd6, Correlation: -0.10853216866971709
Candidate: 0xfa, Correlation: -0.10688124279056264
Candidate: 0x46, Correlation: -0.10483272163132104
Candidate: 0xe6, Correlation: -0.10450706574817889
Candidate: 0x36, Correlation: -0.10260395883718267
Candidate: 0x26, Correlation: -0.10186021028358952
Candidate: 0xff, Correlation: -0.10121963525476538
Candidate: 0x86, Correlation: -0.10093286301208158
Candidate: 0xb6, Correlation: -0.0953342861580659
Candidate: 0xfd, Correlation: -0.09478023293433456
Candidate: 0xf2, Correlation: -0.09350836752511488
Candidate: 0xfc, Correlation: -0.09072031000286554
Candidate: 0x12, Correlation: -0.08805321347899304
Candidate: 0xc2, Correlation: -0.08656422827230645
Candidate: 0xa6, Correlation: -0.08551915412865622
Candidate: 0x82, Correlation: -0.08520963427642798
Candidate: 0x56, Correlation: -0.08427083075105161
Candidate: 0x42, Correlation: -0.08401063666211088
Candidate: 0x96, Correlation: -0.08298007780521949
Candidate: 0xa, Correlation: -0.08266053214612061
Candidate: 0xd2, Correlation: -0.07302796868657772
Candidate: 0x22, Correlation: -0.07208767850241085
Candidate: 0x66, Correlation: -0.0706565972591101
Candidate: 0x4, Correlation: -0.07045387290864093
Candidate: 0x10, Correlation: -0.0703791459867479
Candidate: 0xe2, Correlation: -0.06924209205386175
Candidate: 0x1a, Correlation: -0.06700534607399038
Candidate: 0xea, Correlation: -0.06602453068753336
Candidate: 0xc0, Correlation: -0.06119714753953666
Candidate: 0x32, Correlation: -0.060691396353540435
Candidate: 0xa8, Correlation: -0.060456074509035986
Candidate: 0x28, Correlation: -0.060132195025389114
Candidate: 0xe8, Correlation: -0.05927748231043413
Candidate: 0x59, Correlation: -0.05912529883918242
Candidate: 0x55, Correlation: -0.05857508264930552
Candidate: 0x40, Correlation: -0.058518234171740784
Candidate: 0x80, Correlation: -0.058000092793159506
Candidate: 0x7a, Correlation: -0.05725525780480139
Candidate: 0x8f, Correlation: -0.05702964603308652
Candidate: 0x35, Correlation: -0.05702045708675068
Candidate: 0x20, Correlation: -0.056892532262299234
Candidate: 0xf0, Correlation: -0.0565042884865047
Candidate: 0x92, Correlation: -0.056304864542990066
Candidate: 0xc, Correlation: -0.05597093967164273
Candidate: 0x72, Correlation: -0.05580736221612498
Candidate: 0xf3, Correlation: -0.05513726398330794
Candidate: 0x2d, Correlation: -0.05511129046590251
Candidate: 0x18, Correlation: -0.05510358766363354
