Candidate: 0xb, Correlation: -0.7988249026444987
Candidate: 0x8b, Correlation: -0.7560308556717416
Candidate: 0x4b, Correlation: -0.6676221043997587
Candidate: 0xcb, Correlation: -0.6546526147879994
Candidate: 0x6b, Correlation: -0.6083904783726213
Candidate: 0xab, Correlation: -0.6059436340724422
Candidate: 0x2b, Correlation: -0.5802052860957485
Candidate: 0xeb, Correlation: -0.5778887152485745
Candidate: 0x9, Correlation: -0.47250921960817077
Candidate: 0xd, Correlation: -0.46590425015769293
Candidate: 0x13, Correlation: -0.4393008560670819
Candidate: 0x3, Correlation: -0.43705035998044167
Candidate: 0xfb, Correlation: -0.43338662019354335
Candidate: 0x1b, Correlation: -0.43141904814528975
Candidate: 0x7b, Correlation: -0.41475059384413415
Candidate: 0x7, Correlation: -0.4117860558982121
Candidate: 0xa, Correlation: -0.41165078645573444
Candidate: 0x9b, Correlation: -0.4077443424573021
Candidate: 0xc, Correlation: -0.3972991828186958
Candidate: 0xf, Correlation: -0.3972007631425781
Candidate: 0x5b, Correlation: -0.3963506643123581
Candidate: 0xbb, Correlation: -0.38314681305145404
Candidate: 0xdb, Correlation: -0.37461401562847474
Candidate: 0x3b, Correlation: -0.3719049951703211
Candidate: 0x93, Correlation: -0.363069225695325
Candidate: 0x83, Correlation: -0.36003138279901076
Candidate: 0x8f, Correlation: -0.3484236972189573
Candidate: 0x87, Correlation: -0.343727018799772
Candidate: 0x89, Correlation: -0.3409268821196439
Candidate: 0x8d, Correlation: -0.33631342014304577
Candidate: 0x8c, Correlation: -0.3314760782791759
Candidate: 0x8a, Correlation: -0.32093875521675463
Candidate: 0x5, Correlation: -0.31233737197676614
Candidate: 0x53, Correlation: -0.31230429150401573
Candidate: 0x63, Correlation: -0.29919455661613525
Candidate: 0x73, Correlation: -0.2975214187644279
Candidate: 0xc3, Correlation: -0.2956391024009595
Candidate: 0xb3, Correlation: -0.2955066688761085
Candidate: 0xd3, Correlation: -0.29303801313435524
Candidate: 0x43, Correlation: -0.29294814956658266
Candidate: 0x11, Correlation: -0.288522865619355
Candidate: 0xa3, Correlation: -0.2882318394439132
Candidate: 0xf3, Correlation: -0.2803941741960125
Candidate: 0xe3, Correlation: -0.2778760479703025
Candidate: 0x8, Correlation: -0.2741614475883706
Candidate: 0x49, Correlation: -0.27390736810758387
Candidate: 0xe, Correlation: -0.27177095777565263
Candidate: 0x17, Correlation: -0.2671983828342655
Candidate: 0x33, Correlation: -0.26644462422211257
Candidate: 0x4a, Correlation: -0.2664077625385419
Candidate: 0x23, Correlation: -0.2623120984354065
Candidate: 0x4f, Correlation: -0.25875944916479365
Candidate: 0xc9, Correlation: -0.25830823364584415
Candidate: 0x4d, Correlation: -0.25500973546527583
Candidate: 0x47, Correlation: -0.2538415372204986
Candidate: 0x4c, Correlation: -0.2532685050307275
Candidate: 0x15, Correlation: -0.25032293918355253
Candidate: 0xca, Correlation: -0.24877902854772774
Candidate: 0xc7, Correlation: -0.24670389764884904
Candidate: 0xff, Correlation: -0.24378166496836454
Candidate: 0xcf, Correlation: -0.23602147672085114
Candidate: 0xcc, Correlation: -0.23354998934362475
Candidate: 0xcd, Correlation: -0.23273220774651174
Candidate: 0x67, Correlation: -0.22797761451338128
Candidate: 0xfd, Correlation: -0.22433461972172247
Candidate: 0x6f, Correlation: -0.2209036470831319
Candidate: 0xa7, Correlation: -0.21833120363037972
Candidate: 0xaf, Correlation: -0.21630263575995598
Candidate: 0x1d, Correlation: -0.2087168041627081
Candidate: 0x19, Correlation: -0.2085931805392631
Candidate: 0x10, Correlation: -0.20835638493324168
Candidate: 0x6, Correlation: -0.20796682798167526
Candidate: 0x1, Correlation: -0.20448843386288248
