Candidate: 0xbf, Correlation: -0.30892644857194834
Candidate: 0xc3, Correlation: -0.3029186854077114
Candidate: 0xcf, Correlation: -0.29416860255920435
Candidate: 0xc4, Correlation: -0.2937877532697158
Candidate: 0xc0, Correlation: -0.2885474496767562
Candidate: 0xc7, Correlation: -0.287931828246296
Candidate: 0xc5, Correlation: -0.2839688316918114
Candidate: 0xc1, Correlation: -0.2800418554159187
Candidate: 0xc2, Correlation: -0.27968598130011435
Candidate: 0xaf, Correlation: -0.2756823957100058
Candidate: 0xbd, Correlation: -0.2731428113243558
Candidate: 0xb7, Correlation: -0.26932673646781796
Candidate: 0x3, Correlation: -0.2682824258679903
Candidate: 0xc6, Correlation: -0.2667377094178191
Candidate: 0x83, Correlation: -0.2638172466767742
Candidate: 0x84, Correlation: -0.2635187215704487
Candidate: 0xc9, Correlation: -0.2631348676060991
Candidate: 0x4, Correlation: -0.26026426708941675
Candidate: 0xd0, Correlation: -0.2588766091748171
Candidate: 0xc8, Correlation: -0.2583565928376647
Candidate: 0xb0, Correlation: -0.2541180179760004
Candidate: 0x43, Correlation: -0.2495646510806932
Candidate: 0xb8, Correlation: -0.24830957270212972
Candidate: 0xcd, Correlation: -0.24564504799314194
Candidate: 0x41, Correlation: -0.24255171908548678
Candidate: 0xd7, Correlation: -0.2387275614369456
Candidate: 0xe3, Correlation: -0.23581136705960418
Candidate: 0x3d, Correlation: -0.2356273180208027
Candidate: 0x5, Correlation: -0.23212568520659263
Candidate: 0xb9, Correlation: -0.23195151185192772
Candidate: 0xbe, Correlation: -0.23146908737419403
Candidate: 0x85, Correlation: -0.2292979719273788
Candidate: 0x45, Correlation: -0.22820224879120443
Candidate: 0xa3, Correlation: -0.22640477904285453
Candidate: 0xa7, Correlation: -0.22547058824208102
Candidate: 0x49, Correlation: -0.2250211059235886
Candidate: 0x44, Correlation: -0.2225302214327686
Candidate: 0x2, Correlation: -0.22181226254728234
Candidate: 0x82, Correlation: -0.22012416870667045
Candidate: 0x63, Correlation: -0.2188274842601568
Candidate: 0x23, Correlation: -0.21628232587499666
Candidate: 0x4d, Correlation: -0.21552787398242884
Candidate: 0xdf, Correlation: -0.2148252435877448
Candidate: 0xa8, Correlation: -0.21072453374771866
Candidate: 0xd8, Correlation: -0.20925075853645572
Candidate: 0x64, Correlation: -0.2086023653035331
Candidate: 0xd1, Correlation: -0.20686919487303226
Candidate: 0xdb, Correlation: -0.2067277664877388
Candidate: 0x9f, Correlation: -0.20610581890629437
Candidate: 0xce, Correlation: -0.20577728600216916
Candidate: 0x24, Correlation: -0.20292315610721973
Candidate: 0xcb, Correlation: -0.20143290059131427
Candidate: 0x39, Correlation: -0.19980439611670095
Candidate: 0xd3, Correlation: -0.198715021701522
Candidate: 0x42, Correlation: -0.19576799354506605
Candidate: 0x9b, Correlation: -0.19539079238713758
Candidate: 0xab, Correlation: -0.19439771960803798
Candidate: 0xb3, Correlation: -0.19428853067886914
Candidate: 0xbb, Correlation: -0.19318544192343418
Candidate: 0x3e, Correlation: -0.193057938258887
Candidate: 0xe4, Correlation: -0.1909046312248729
Candidate: 0xa4, Correlation: -0.18976802780947574
Candidate: 0x46, Correlation: -0.18962406341448623
Candidate: 0xeb, Correlation: -0.18592704370853771
Candidate: 0x1, Correlation: -0.18489040054497977
Candidate: 0x86, Correlation: -0.18457906265383056
Candidate: 0xca, Correlation: -0.1842329917688011
