Candidate: 0xa9, Correlation: -0.6364854057647988
Candidate: 0xa8, Correlation: -0.484982563227385
Candidate: 0xaa, Correlation: -0.4535582927769028
Candidate: 0x29, Correlation: -0.41862281940461943
Candidate: 0xa7, Correlation: -0.39335070939238126
Candidate: 0x99, Correlation: -0.37729031251963957
Candidate: 0xe9, Correlation: -0.37473193716176884
Candidate: 0xab, Correlation: -0.36977709858328195
Candidate: 0x69, Correlation: -0.36896550728424254
Candidate: 0xb9, Correlation: -0.3687183101680868
Candidate: 0xc9, Correlation: -0.35791130817972705
Candidate: 0xa6, Correlation: -0.3528841542580201
Candidate: 0xad, Correlation: -0.3499843229237851
Candidate: 0xa5, Correlation: -0.344462111598216
Candidate: 0x89, Correlation: -0.3362851301632851
Candidate: 0xb1, Correlation: -0.3284766499511808
Candidate: 0xac, Correlation: -0.3257018221338989
Candidate: 0xd9, Correlation: -0.323633662742757
Candidate: 0xa1, Correlation: -0.32199405456246616
Candidate: 0x28, Correlation: -0.3218916185653798
Candidate: 0x79, Correlation: -0.30116971380234325
Candidate: 0x2a, Correlation: -0.2845348591931782
Candidate: 0x27, Correlation: -0.27814770889303
Candidate: 0x49, Correlation: -0.27274127610226034
Candidate: 0x9, Correlation: -0.2712476311722614
Candidate: 0x59, Correlation: -0.2675639177535942
Candidate: 0xae, Correlation: -0.2671775154049574
Candidate: 0xa4, Correlation: -0.26605041504513066
Candidate: 0xa3, Correlation: -0.26461149670097167
Candidate: 0xf9, Correlation: -0.26416050935671975
Candidate: 0x2b, Correlation: -0.26064221797514286
Candidate: 0xc1, Correlation: -0.24564554657735746
Candidate: 0x19, Correlation: -0.24395674044672744
Candidate: 0x25, Correlation: -0.24337815991043504
Candidate: 0x91, Correlation: -0.24046727862997147
Candidate: 0x39, Correlation: -0.23793550015107515
Candidate: 0x2d, Correlation: -0.237763720036405
Candidate: 0xb3, Correlation: -0.2375671284049997
Candidate: 0xb5, Correlation: -0.23754910871334853
Candidate: 0x23, Correlation: -0.23744760434470347
Candidate: 0xaf, Correlation: -0.23683713594167144
Candidate: 0xd1, Correlation: -0.23267268886586845
Candidate: 0xe8, Correlation: -0.2291039286164257
Candidate: 0x2f, Correlation: -0.22702742239017945
Candidate: 0xb0, Correlation: -0.22604849794253581
Candidate: 0xb4, Correlation: -0.2248684274305243
Candidate: 0xe1, Correlation: -0.22422728980453022
Candidate: 0xc8, Correlation: -0.22408699249660274
Candidate: 0x81, Correlation: -0.22244205915007034
Candidate: 0x9f, Correlation: -0.2215974825244205
Candidate: 0x9d, Correlation: -0.22157773410272164
Candidate: 0x68, Correlation: -0.22144648616325377
Candidate: 0x71, Correlation: -0.22074424017886665
Candidate: 0x8, Correlation: -0.21990154279676302
Candidate: 0xa2, Correlation: -0.21916101852344735
Candidate: 0xf1, Correlation: -0.2135046544227172
Candidate: 0x26, Correlation: -0.2093241651181662
Candidate: 0x21, Correlation: -0.20752084770758988
Candidate: 0x31, Correlation: -0.20701580550757087
Candidate: 0x88, Correlation: -0.20565361472454652
Candidate: 0xa0, Correlation: -0.20436020342877856
Candidate: 0xe7, Correlation: -0.20376402230919274
Candidate: 0x61, Correlation: -0.20215292808703764
Candidate: 0xb8, Correlation: -0.2020598010744838
Candidate: 0x33, Correlation: -0.2020301122056541
Candidate: 0x67, Correlation: -0.201322192201932
Candidate: 0x9b, Correlation: -0.20038701736553605
Candidate: 0xb2, Correlation: -0.1981261151090285
Candidate: 0x6b, Correlation: -0.19751511256920914
Candidate: 0xeb, Correlation: -0.19741661104225203
Candidate: 0xea, Correlation: -0.19402818941233063
Candidate: 0x6a, Correlation: -0.19389921983496547
Candidate: 0x1f, Correlation: -0.19170108337384145
Candidate: 0x8a, Correlation: -0.18619176376612523
