Candidate: 0xc, Correlation: -0.7053435868716966
Candidate: 0x8c, Correlation: -0.5091451243076015
Candidate: 0xb, Correlation: -0.495110067577518
Candidate: 0xcc, Correlation: -0.4324374243073887
Candidate: 0x4c, Correlation: -0.4269257422094889
Candidate: 0x8, Correlation: -0.41012379328718834
Candidate: 0x10, Correlation: -0.4038045915909515
Candidate: 0xd, Correlation: -0.3995342937640906
Candidate: 0xec, Correlation: -0.3926823084335255
Candidate: 0xa, Correlation: -0.3916718425316334
Candidate: 0x4, Correlation: -0.3894312656857784
Candidate: 0x14, Correlation: -0.3865777482578786
Candidate: 0x2c, Correlation: -0.37780880743462253
Candidate: 0x1c, Correlation: -0.35181883676764186
Candidate: 0xfc, Correlation: -0.3511335422749821
Candidate: 0xe, Correlation: -0.34519201801271265
Candidate: 0x18, Correlation: -0.323827472313304
Candidate: 0xf, Correlation: -0.3214119398305578
Candidate: 0x8b, Correlation: -0.3119730791175263
Candidate: 0x0, Correlation: -0.30556139525376685
Candidate: 0x6c, Correlation: -0.30141055499121944
Candidate: 0xac, Correlation: -0.2862038384356463
Candidate: 0x7, Correlation: -0.27616449746549604
Candidate: 0x13, Correlation: -0.27187560613932343
Candidate: 0x9, Correlation: -0.2679361124455096
Candidate: 0xf8, Correlation: -0.24928564953576707
Candidate: 0x3, Correlation: -0.24310148501802664
Candidate: 0x4b, Correlation: -0.23546375681447268
Candidate: 0xcb, Correlation: -0.23407432047711257
Candidate: 0x20, Correlation: -0.23094942414654146
Candidate: 0xf4, Correlation: -0.22694087178515993
Candidate: 0xdc, Correlation: -0.22154219679734694
Candidate: 0x24, Correlation: -0.22101739965649017
Candidate: 0x6, Correlation: -0.21965041889595496
Candidate: 0x12, Correlation: -0.21676851444837514
Candidate: 0x8d, Correlation: -0.2128945851066592
Candidate: 0x1b, Correlation: -0.2098240527223574
Candidate: 0x9c, Correlation: -0.20603198361281813
Candidate: 0x8a, Correlation: -0.20340348190637325
Candidate: 0xeb, Correlation: -0.198358220509221
Candidate: 0x11, Correlation: -0.19763920341145225
Candidate: 0x5, Correlation: -0.19596280075182876
Candidate: 0x3c, Correlation: -0.1925992586281794
Candidate: 0x7c, Correlation: -0.19077159282338813
Candidate: 0x2b, Correlation: -0.18898129391751978
Candidate: 0xfb, Correlation: -0.18852942200468562
Candidate: 0xf0, Correlation: -0.1833021297228279
Candidate: 0x17, Correlation: -0.1826183632134812
Candidate: 0xd8, Correlation: -0.17761138837565507
Candidate: 0xff, Correlation: -0.17652661099955075
Candidate: 0x5c, Correlation: -0.1731714367195692
Candidate: 0x1a, Correlation: -0.1718154200694686
Candidate: 0x88, Correlation: -0.16830970876080847
