Candidate: 0xaa, Correlation: -0.5140983279959607
Candidate: 0xab, Correlation: -0.37202925384656793
Candidate: 0x2a, Correlation: -0.36512400422560437
Candidate: 0xea, Correlation: -0.29653925545720344
Candidate: 0xa9, Correlation: -0.2938674633211892
Candidate: 0xac, Correlation: -0.29278188413065126
Candidate: 0x6a, Correlation: -0.28505478869110235
Candidate: 0xca, Correlation: -0.27397678640270345
Candidate: 0xb2, Correlation: -0.2715493693172894
Candidate: 0xba, Correlation: -0.27022646623462193
Candidate: 0x8a, Correlation: -0.2522834265235759
Candidate: 0xae, Correlation: -0.2509453770087796
Candidate: 0xa8, Correlation: -0.24986490163836106
Candidate: 0x9a, Correlation: -0.24223310352553826
Candidate: 0xa2, Correlation: -0.24191006732816794
Candidate: 0xa6, Correlation: -0.2194846549404914
Candidate: 0x2b, Correlation: -0.2166441910271197
Candidate: 0xa7, Correlation: -0.19550028394640823
Candidate: 0xad, Correlation: -0.1943836815482478
Candidate: 0x4a, Correlation: -0.19313499311361929
Candidate: 0xa, Correlation: -0.18556348469776868
Candidate: 0xda, Correlation: -0.15379395718324446
Candidate: 0xb3, Correlation: -0.15345998123774413
Candidate: 0x3a, Correlation: -0.1531238716510919
Candidate: 0xa3, Correlation: -0.15302730390308542
Candidate: 0x29, Correlation: -0.15156110032399597
Candidate: 0xeb, Correlation: -0.1508786146642102
Candidate: 0xaf, Correlation: -0.1499792451428116
Candidate: 0x6b, Correlation: -0.14578887634603632
Candidate: 0x2c, Correlation: -0.1421011990035217
Candidate: 0x1a, Correlation: -0.14091995512439143
Candidate: 0xc2, Correlation: -0.1387138111399552
Candidate: 0xb0, Correlation: -0.13815556279707358
Candidate: 0xbb, Correlation: -0.1361000326020378
Candidate: 0x32, Correlation: -0.13276937891837354
Candidate: 0xa4, Correlation: -0.13111561417159315
Candidate: 0x7a, Correlation: -0.1288067837409674
Candidate: 0xcb, Correlation: -0.12844881608300657
Candidate: 0x9b, Correlation: -0.12492665457068754
Candidate: 0xb1, Correlation: -0.12026057265649315
Candidate: 0xb6, Correlation: -0.11881251463213416
Candidate: 0x22, Correlation: -0.11556903399367652
Candidate: 0x8b, Correlation: -0.11266592249853162
Candidate: 0x92, Correlation: -0.11172169362690833
Candidate: 0x5a, Correlation: -0.10717485421074804
Candidate: 0x28, Correlation: -0.10686807300606638
Candidate: 0xfa, Correlation: -0.10518518524090402
