Candidate: 0xb3, Correlation: -0.18615240299245034
Candidate: 0xb2, Correlation: -0.17070585940074368
Candidate: 0xb1, Correlation: -0.15173139041117606
Candidate: 0xb7, Correlation: -0.1504884894690532
Candidate: 0xf3, Correlation: -0.14825344155050482
Candidate: 0x93, Correlation: -0.13678045904676675
Candidate: 0xb0, Correlation: -0.13659700779022935
Candidate: 0xb6, Correlation: -0.13533845112382326
Candidate: 0xf2, Correlation: -0.13478496615399385
Candidate: 0xbb, Correlation: -0.1308267956090389
Candidate: 0x8d, Correlation: -0.13072717061773104
Candidate: 0x8c, Correlation: -0.13025742046533206
Candidate: 0x9d, Correlation: -0.12292719916597807
Candidate: 0x92, Correlation: -0.1224269786690836
Candidate: 0xac, Correlation: -0.12077656185343688
Candidate: 0xa6, Correlation: -0.11941735734737055
Candidate: 0x99, Correlation: -0.11875706870104624
Candidate: 0x8e, Correlation: -0.11780713399729364
Candidate: 0x9c, Correlation: -0.11771637789683255
Candidate: 0xba, Correlation: -0.11767370172280255
Candidate: 0x8f, Correlation: -0.11748074066058117
Candidate: 0xa4, Correlation: -0.11669381107383071
Candidate: 0x33, Correlation: -0.11642339024133863
Candidate: 0xb5, Correlation: -0.11577213654557075
Candidate: 0xad, Correlation: -0.11553739404274464
Candidate: 0xf7, Correlation: -0.11552333083867447
Candidate: 0x88, Correlation: -0.11504854997909768
Candidate: 0x98, Correlation: -0.11437698203439241
Candidate: 0xf1, Correlation: -0.11373487480371154
Candidate: 0xa5, Correlation: -0.11327565125773456
Candidate: 0x9b, Correlation: -0.1129568064312208
Candidate: 0x89, Correlation: -0.1120254330144725
Candidate: 0xa7, Correlation: -0.11187288356402152
Candidate: 0x80, Correlation: -0.11135116840070526
Candidate: 0x32, Correlation: -0.11108908846593984
Candidate: 0x9f, Correlation: -0.11043096229827612
Candidate: 0xa3, Correlation: -0.10969101583459799
Candidate: 0xcd, Correlation: -0.10957423576262589
Candidate: 0xae, Correlation: -0.10935315072999464
Candidate: 0x86, Correlation: -0.109180475458447
Candidate: 0xbd, Correlation: -0.10859862381067356
Candidate: 0x9a, Correlation: -0.10853517057080861
Candidate: 0x84, Correlation: -0.10733351749706783
Candidate: 0xb9, Correlation: -0.10496874523997227
Candidate: 0x8b, Correlation: -0.10461712846779622
Candidate: 0x9e, Correlation: -0.10456311853428668
Candidate: 0xdd, Correlation: -0.10422246609698722
Candidate: 0xaf, Correlation: -0.10407675318397096
