Candidate: 0xde, Correlation: -0.5160394652544744
Candidate: 0xdf, Correlation: -0.5122597037703843
Candidate: 0xd7, Correlation: -0.46021210972886484
Candidate: 0xd6, Correlation: -0.4577598938937473
Candidate: 0xda, Correlation: -0.43368433686753555
Candidate: 0xdc, Correlation: -0.4312491471381829
Candidate: 0xdb, Correlation: -0.4303339156734056
Candidate: 0xdd, Correlation: -0.42999773331787805
Candidate: 0x9e, Correlation: -0.3858254343068038
Candidate: 0x9f, Correlation: -0.38244223851167763
Candidate: 0xd3, Correlation: -0.3772415047344518
Candidate: 0xd5, Correlation: -0.3764381133495138
Candidate: 0xd2, Correlation: -0.37541221220002474
Candidate: 0xd4, Correlation: -0.3718029217549188
Candidate: 0xce, Correlation: -0.3610486751530917
Candidate: 0xcf, Correlation: -0.3563013343439185
Candidate: 0xd8, Correlation: -0.3462641088077539
Candidate: 0xd9, Correlation: -0.34460947205517617
Candidate: 0x8, Correlation: -0.34260780848658007
Candidate: 0x97, Correlation: -0.33114691716332
Candidate: 0x96, Correlation: -0.3298609105186145
Candidate: 0x5e, Correlation: -0.32162695199662
Candidate: 0x0, Correlation: -0.3179630952170487
Candidate: 0x5f, Correlation: -0.31665623976556545
Candidate: 0x9, Correlation: -0.3042784944768613
Candidate: 0x9a, Correlation: -0.30395396253111084
Candidate: 0xc7, Correlation: -0.3032676921082602
Candidate: 0xc6, Correlation: -0.3030894275652028
Candidate: 0x9b, Correlation: -0.30109112803768234
Candidate: 0x9c, Correlation: -0.2969246322560582
Candidate: 0x9d, Correlation: -0.29622272559572915
Candidate: 0xa, Correlation: -0.29048860507620783
Candidate: 0xd1, Correlation: -0.2904278208174658
Candidate: 0xd0, Correlation: -0.28708834056260457
Candidate: 0x1, Correlation: -0.2836894101458449
Candidate: 0xcc, Correlation: -0.2799964779720218
Candidate: 0xca, Correlation: -0.27872655440840155
Candidate: 0xcd, Correlation: -0.27586541850763674
Candidate: 0xcb, Correlation: -0.27449086810305035
Candidate: 0x56, Correlation: -0.26655253326961037
Candidate: 0x2, Correlation: -0.2657013031388947
Candidate: 0x48, Correlation: -0.2656716801472821
Candidate: 0x57, Correlation: -0.26562652269092407
Candidate: 0xb, Correlation: -0.2502592250010565
Candidate: 0x93, Correlation: -0.24861061610791488
Candidate: 0x92, Correlation: -0.24783764499887298
Candidate: 0x95, Correlation: -0.24415137954865226
Candidate: 0x94, Correlation: -0.2425172370403713
Candidate: 0x5a, Correlation: -0.24047673202632913
Candidate: 0x40, Correlation: -0.24042377574339166
Candidate: 0xc, Correlation: -0.2393676326027612
Candidate: 0x5b, Correlation: -0.23649100742717022
Candidate: 0x5c, Correlation: -0.23110883184915818
Candidate: 0x3, Correlation: -0.2290900210932665
Candidate: 0x49, Correlation: -0.22828704633218477
Candidate: 0x8e, Correlation: -0.22804992601060245
Candidate: 0x5d, Correlation: -0.2264903707739443
Candidate: 0x8f, Correlation: -0.22481743170476978
Candidate: 0x88, Correlation: -0.2211420861592689
Candidate: 0xc2, Correlation: -0.22075937588930164
Candidate: 0xc3, Correlation: -0.22068507034601176
Candidate: 0xc4, Correlation: -0.2183859444345804
Candidate: 0xc5, Correlation: -0.21739137190650237
Candidate: 0x4, Correlation: -0.21594525256356406
Candidate: 0x28, Correlation: -0.21497606868702837
Candidate: 0x98, Correlation: -0.212686928961015
Candidate: 0x99, Correlation: -0.2119709109476372
Candidate: 0x4a, Correlation: -0.21134565561246882
Candidate: 0x18, Correlation: -0.2068564650158066
Candidate: 0x41, Correlation: -0.20623870597696425
Candidate: 0xd, Correlation: -0.20270866693537873
Candidate: 0xfe, Correlation: -0.20260461377201439
Candidate: 0xff, Correlation: -0.20106109741284856
Candidate: 0xc8, Correlation: -0.19581783827053417
Candidate: 0x80, Correlation: -0.1952245494320651
Candidate: 0xc9, Correlation: -0.1919547487763545
Candidate: 0x20, Correlation: -0.19146351130668668
Candidate: 0x1e, Correlation: -0.1877492703464512
Candidate: 0x42, Correlation: -0.18617638319576835
Candidate: 0xe, Correlation: -0.18508192011688857
Candidate: 0x89, Correlation: -0.18477038838922072
Candidate: 0x52, Correlation: -0.18458303782429133
Candidate: 0x1f, Correlation: -0.18442728141546216
Candidate: 0x10, Correlation: -0.1838451508176704
Candidate: 0x53, Correlation: -0.18383067317929833
Candidate: 0x5, Correlation: -0.1818929315826632
Candidate: 0x29, Correlation: -0.17917868766124947
Candidate: 0x54, Correlation: -0.17451737842077925
Candidate: 0x55, Correlation: -0.17411252279619793
Candidate: 0x4b, Correlation: -0.1727036208292152
Candidate: 0x86, Correlation: -0.17252143953874663
Candidate: 0x87, Correlation: -0.17218383821952982
Candidate: 0x19, Correlation: -0.17037013574265422
Candidate: 0x8a, Correlation: -0.1634844479344149
Candidate: 0x4c, Correlation: -0.16324934902136554
Candidate: 0x4e, Correlation: -0.16282739717339442
Candidate: 0xec, Correlation: -0.16159001022863514
Candidate: 0x81, Correlation: -0.1615206730025242
Candidate: 0x6, Correlation: -0.1615108245262922
Candidate: 0x2a, Correlation: -0.16136862995828902
Candidate: 0x91, Correlation: -0.15943765941151017
Candidate: 0x21, Correlation: -0.15790758407299438
Candidate: 0x90, Correlation: -0.15709690360603654
Candidate: 0x4f, Correlation: -0.15692739116089158
Candidate: 0xf7, Correlation: -0.15479474356516634
Candidate: 0x6c, Correlation: -0.1547283039438807
Candidate: 0xf6, Correlation: -0.15450027524530313
Candidate: 0xed, Correlation: -0.1513557486125214
Candidate: 0x1a, Correlation: -0.15037498368092195
Candidate: 0x43, Correlation: -0.1502467614799588
Candidate: 0x11, Correlation: -0.14897636054354005
Candidate: 0x58, Correlation: -0.14895343903991623
Candidate: 0xe8, Correlation: -0.1475794509225955
Candidate: 0xf, Correlation: -0.14751278134493911
Candidate: 0x59, Correlation: -0.14482086848138193
Candidate: 0x8c, Correlation: -0.14367291711674685
Candidate: 0x6d, Correlation: -0.14357717566970266
Candidate: 0x8b, Correlation: -0.14291850153842311
Candidate: 0x68, Correlation: -0.14235605000482326
Candidate: 0x8d, Correlation: -0.13987967087688224
Candidate: 0x44, Correlation: -0.13934790593521953
Candidate: 0x22, Correlation: -0.13747719630891914
Candidate: 0x16, Correlation: -0.13745408642000892
Candidate: 0xe9, Correlation: -0.13740164190369855
Candidate: 0x82, Correlation: -0.1370264944602048
Candidate: 0x17, Correlation: -0.1356978135697657
Candidate: 0xc0, Correlation: -0.13500440679336964
Candidate: 0xc1, Correlation: -0.13316714684078643
Candidate: 0x69, Correlation: -0.1312604445139917
Candidate: 0x12, Correlation: -0.12961147704811618
Candidate: 0x4d, Correlation: -0.12730726389595828
Candidate: 0x7, Correlation: -0.12603330784491054
Candidate: 0x2b, Correlation: -0.12421823912172994
Candidate: 0xfa, Correlation: -0.1185717922795251
Candidate: 0xfb, Correlation: -0.11782532522852403
Candidate: 0xfc, Correlation: -0.1159426200968849
