Candidate: 0x15, Correlation: -0.6746993140067475
Candidate: 0x14, Correlation: -0.5421866621554188
Candidate: 0x95, Correlation: -0.46482546204527325
Candidate: 0x13, Correlation: -0.4198933807145806
Candidate: 0x11, Correlation: -0.41286602963067126
Candidate: 0x16, Correlation: -0.3871261122442941
Candidate: 0x19, Correlation: -0.374525020519977
Candidate: 0x55, Correlation: -0.36872871328140233
Candidate: 0xd5, Correlation: -0.3659484086843496
Candidate: 0xd, Correlation: -0.36340527288692154
Candidate: 0x17, Correlation: -0.35456234429699446
Candidate: 0x1d, Correlation: -0.3457273952475392
Candidate: 0x35, Correlation: -0.34411559495076705
Candidate: 0x94, Correlation: -0.33790747959368467
Candidate: 0xf5, Correlation: -0.3332182080269273
Candidate: 0x5, Correlation: -0.33172336447148526
Candidate: 0x18, Correlation: -0.3245514799769818
Candidate: 0x25, Correlation: -0.32384916135668046
Candidate: 0x21, Correlation: -0.2960654716959901
Candidate: 0x12, Correlation: -0.28821725071395715
Candidate: 0x9, Correlation: -0.28194193725555683
Candidate: 0x10, Correlation: -0.27684100200741313
Candidate: 0x1c, Correlation: -0.25458909822410175
Candidate: 0xb5, Correlation: -0.25060475911471725
Candidate: 0x75, Correlation: -0.2481077858446702
Candidate: 0x54, Correlation: -0.24242963419947552
Candidate: 0xd4, Correlation: -0.24006289020414742
Candidate: 0x1, Correlation: -0.23529943056211566
Candidate: 0xc, Correlation: -0.23313592535896088
Candidate: 0x34, Correlation: -0.2324650754444838
Candidate: 0x8, Correlation: -0.22736446511899813
Candidate: 0x93, Correlation: -0.22262593966314137
Candidate: 0x24, Correlation: -0.22200153426040312
Candidate: 0x1b, Correlation: -0.22093581777441565
Candidate: 0x20, Correlation: -0.21917002263217084
Candidate: 0xf, Correlation: -0.2180773283017995
Candidate: 0xf4, Correlation: -0.20653329569241213
Candidate: 0x4, Correlation: -0.2049401352064952
Candidate: 0x7, Correlation: -0.2035341089228853
Candidate: 0x29, Correlation: -0.19925296844380275
Candidate: 0x96, Correlation: -0.19453955640676993
Candidate: 0x23, Correlation: -0.18414828079546341
Candidate: 0x1a, Correlation: -0.18191558665701835
Candidate: 0x2d, Correlation: -0.18190520688459816
Candidate: 0x85, Correlation: -0.1792554936932266
Candidate: 0xe1, Correlation: -0.1674593152362965
Candidate: 0xfd, Correlation: -0.16669994127652377
Candidate: 0xa5, Correlation: -0.16572412819483845
Candidate: 0x3, Correlation: -0.1656743239917795
Candidate: 0x45, Correlation: -0.1634920046780667
Candidate: 0x28, Correlation: -0.16277868532375955
Candidate: 0xe, Correlation: -0.16246349312970917
Candidate: 0xe5, Correlation: -0.15681868990078318
Candidate: 0x22, Correlation: -0.1541041352440566
Candidate: 0x27, Correlation: -0.15109458998803396
Candidate: 0x91, Correlation: -0.15034646472359914
Candidate: 0x1f, Correlation: -0.14878765434668564
Candidate: 0xa1, Correlation: -0.14717121446239845
Candidate: 0x6, Correlation: -0.14686589348743426
Candidate: 0xb, Correlation: -0.14670329865548845
Candidate: 0x97, Correlation: -0.14538071541850042
Candidate: 0x31, Correlation: -0.14137102550204902
Candidate: 0x41, Correlation: -0.14081048900772394
Candidate: 0x8d, Correlation: -0.1402651764913205
Candidate: 0xb4, Correlation: -0.1402429631835511
Candidate: 0x0, Correlation: -0.13606061363815025
Candidate: 0xe9, Correlation: -0.1341137103143608
Candidate: 0x2c, Correlation: -0.13019118046868514
Candidate: 0x61, Correlation: -0.12877072986956212
Candidate: 0x53, Correlation: -0.12786399567447287
Candidate: 0x74, Correlation: -0.12774385347080108
Candidate: 0x49, Correlation: -0.1276361236571342
Candidate: 0x1e, Correlation: -0.12499143223570819
Candidate: 0x33, Correlation: -0.1249275564530415
Candidate: 0xd3, Correlation: -0.1223057855214508
Candidate: 0xc5, Correlation: -0.1202917484069249
Candidate: 0x65, Correlation: -0.11622942781095506
Candidate: 0x89, Correlation: -0.11587310694744044
Candidate: 0x26, Correlation: -0.11476879142296634
Candidate: 0x2, Correlation: -0.11438218637660184
Candidate: 0xa, Correlation: -0.11423137954386448
Candidate: 0x51, Correlation: -0.11296239252592566
Candidate: 0x4d, Correlation: -0.11265500071290645
Candidate: 0xed, Correlation: -0.11220349167568867
Candidate: 0x9d, Correlation: -0.10902016570409774
Candidate: 0xf9, Correlation: -0.10412180558950516
Candidate: 0x56, Correlation: -0.10142190887414448
