Candidate: 0x2a, Correlation: -0.5504179053279928
Candidate: 0xaa, Correlation: -0.34755329281184116
Candidate: 0x6a, Correlation: -0.33882949199237505
Candidate: 0xea, Correlation: -0.3307299086471124
Candidate: 0x2b, Correlation: -0.3224203958264794
Candidate: 0x4a, Correlation: -0.31815461378121185
Candidate: 0x2e, Correlation: -0.31396135679918197
Candidate: 0x29, Correlation: -0.30898965670704254
Candidate: 0x32, Correlation: -0.30702878990784865
Candidate: 0x2c, Correlation: -0.2983477123929047
Candidate: 0xa, Correlation: -0.2976994964354521
Candidate: 0x3a, Correlation: -0.2951108511020366
Candidate: 0x26, Correlation: -0.29358911739588034
Candidate: 0x1a, Correlation: -0.2824472101489986
Candidate: 0x28, Correlation: -0.27385344410747686
Candidate: 0x22, Correlation: -0.2666519168736998
Candidate: 0x23, Correlation: -0.22244885745600249
Candidate: 0x2d, Correlation: -0.22180163434916525
Candidate: 0x31, Correlation: -0.21802732967281743
Candidate: 0x33, Correlation: -0.21645255608626937
Candidate: 0xca, Correlation: -0.212308692461969
Candidate: 0x39, Correlation: -0.2062747141131538
Candidate: 0x27, Correlation: -0.20127706801615347
Candidate: 0x21, Correlation: -0.20108470256343872
Candidate: 0x8a, Correlation: -0.20085732882776078
Candidate: 0x1b, Correlation: -0.19650629879645123
Candidate: 0x3b, Correlation: -0.19387214743668096
Candidate: 0x19, Correlation: -0.18848015737096271
Candidate: 0x24, Correlation: -0.18250100727785312
Candidate: 0x2f, Correlation: -0.1801097454148434
Candidate: 0x5a, Correlation: -0.1797316658843019
Candidate: 0x36, Correlation: -0.1796066911552207
Candidate: 0x30, Correlation: -0.17803789275160006
Candidate: 0x25, Correlation: -0.17607454487792876
Candidate: 0x13, Correlation: -0.17338611733701245
Candidate: 0x12, Correlation: -0.1715459185351991
Candidate: 0xfa, Correlation: -0.1700645895801835
Candidate: 0x34, Correlation: -0.1677756153737243
Candidate: 0x1f, Correlation: -0.16632355038266047
Candidate: 0x1d, Correlation: -0.16424037687163273
Candidate: 0x42, Correlation: -0.16273299146662124
Candidate: 0x11, Correlation: -0.16030816844628068
Candidate: 0x20, Correlation: -0.15969025646718885
Candidate: 0x43, Correlation: -0.1589278005463922
Candidate: 0x37, Correlation: -0.15577746588043015
Candidate: 0x17, Correlation: -0.15199499937572544
Candidate: 0x41, Correlation: -0.14994724247953994
Candidate: 0x1c, Correlation: -0.14976070762416036
Candidate: 0x3c, Correlation: -0.14896730393046181
Candidate: 0x38, Correlation: -0.14872405782851533
