Candidate: 0xb, Correlation: -0.6787156931270708
Candidate: 0x8b, Correlation: -0.4909328120882014
Candidate: 0xeb, Correlation: -0.4051379389232438
Candidate: 0xcb, Correlation: -0.40338292351582106
Candidate: 0x8, Correlation: -0.39764277694722805
Candidate: 0x4b, Correlation: -0.39715450967919086
Candidate: 0x2b, Correlation: -0.3866086724116637
Candidate: 0x13, Correlation: -0.3853422187908882
Candidate: 0x1b, Correlation: -0.38512545371055434
Candidate: 0xfb, Correlation: -0.38390555948959904
Candidate: 0x3, Correlation: -0.37583613315729447
Candidate: 0x28, Correlation: -0.3701374269216556
Candidate: 0x0, Correlation: -0.36072585251568173
Candidate: 0x10, Correlation: -0.3604030532413749
Candidate: 0xf, Correlation: -0.34723793876457476
Candidate: 0xa, Correlation: -0.3436266185997416
Candidate: 0x7, Correlation: -0.34183925272561466
Candidate: 0xd, Correlation: -0.34148513870524777
Candidate: 0x20, Correlation: -0.3406838558834313
Candidate: 0xc, Correlation: -0.33977426705063235
Candidate: 0x9, Correlation: -0.33787084790319954
Candidate: 0x4, Correlation: -0.3223704787439878
Candidate: 0x24, Correlation: -0.3140099295317051
Candidate: 0xe8, Correlation: -0.3071188640628981
Candidate: 0xab, Correlation: -0.29985984879824396
Candidate: 0x6b, Correlation: -0.2943767905379033
Candidate: 0x30, Correlation: -0.287591769628255
Candidate: 0xf0, Correlation: -0.284915348236146
Candidate: 0x18, Correlation: -0.28317712298164144
Candidate: 0x48, Correlation: -0.2741442796172998
Candidate: 0x2, Correlation: -0.2723413971936409
Candidate: 0xf8, Correlation: -0.2720127226200366
Candidate: 0x6, Correlation: -0.260211155921168
Candidate: 0xa8, Correlation: -0.25900493585591033
Candidate: 0xe0, Correlation: -0.2569609346154371
Candidate: 0x22, Correlation: -0.25652824363620375
Candidate: 0x1, Correlation: -0.2564894620461193
Candidate: 0x40, Correlation: -0.2551209220872128
Candidate: 0x80, Correlation: -0.25135721505062947
Candidate: 0xf3, Correlation: -0.24977667364758843
Candidate: 0xdb, Correlation: -0.24928480848186663
Candidate: 0x14, Correlation: -0.24910566114040417
Candidate: 0x23, Correlation: -0.2455545095586351
Candidate: 0xc8, Correlation: -0.24336640010010294
Candidate: 0x2a, Correlation: -0.24070287103352628
Candidate: 0x7b, Correlation: -0.23995397292134582
Candidate: 0x68, Correlation: -0.23991447340060051
Candidate: 0x9b, Correlation: -0.23885195504767334
Candidate: 0x26, Correlation: -0.23645228314513
Candidate: 0x3b, Correlation: -0.23398818485113615
Candidate: 0xe4, Correlation: -0.23303054871899026
Candidate: 0x12, Correlation: -0.23300365299970166
Candidate: 0x50, Correlation: -0.2327807636394261
Candidate: 0x88, Correlation: -0.23111474960399064
Candidate: 0x2c, Correlation: -0.22848329519106028
Candidate: 0x60, Correlation: -0.22108840141898134
Candidate: 0x93, Correlation: -0.22051226092601317
Candidate: 0x44, Correlation: -0.21889637947751991
Candidate: 0xd0, Correlation: -0.2166009592547534
Candidate: 0x83, Correlation: -0.21587875261897052
Candidate: 0xa0, Correlation: -0.2143803279218392
Candidate: 0xc0, Correlation: -0.20638441240235642
Candidate: 0x11, Correlation: -0.20230585417593416
Candidate: 0x78, Correlation: -0.2010781988267788
Candidate: 0xff, Correlation: -0.19872675339969392
Candidate: 0x5b, Correlation: -0.19791703979992237
Candidate: 0xb0, Correlation: -0.19756233308278695
Candidate: 0x17, Correlation: -0.19599283319558064
Candidate: 0xa4, Correlation: -0.1956448230994191
Candidate: 0x90, Correlation: -0.1935506090434824
Candidate: 0xbb, Correlation: -0.19325605015909939
Candidate: 0xf9, Correlation: -0.19249303898372314
Candidate: 0x5, Correlation: -0.1924456859845389
Candidate: 0x81, Correlation: -0.1923157157881062
Candidate: 0x70, Correlation: -0.1919561280193205
Candidate: 0xe3, Correlation: -0.18578379734272263
Candidate: 0x64, Correlation: -0.1852621644263305
Candidate: 0xe2, Correlation: -0.1809172505594979
Candidate: 0xea, Correlation: -0.18046009097092794
Candidate: 0xd3, Correlation: -0.17967002293683523
Candidate: 0xc4, Correlation: -0.1778031760237876
Candidate: 0x38, Correlation: -0.1765541631355888
Candidate: 0xf4, Correlation: -0.1763345656015338
Candidate: 0xec, Correlation: -0.17566840744986748
Candidate: 0x84, Correlation: -0.17438615018203296
Candidate: 0xfe, Correlation: -0.1716471953289255
Candidate: 0x8f, Correlation: -0.1672743714948121
Candidate: 0xe, Correlation: -0.1651076227358825
Candidate: 0x87, Correlation: -0.16245759810481797
Candidate: 0x42, Correlation: -0.1620532920890799
Candidate: 0x33, Correlation: -0.16200460994147114
Candidate: 0xd8, Correlation: -0.16166109154698433
Candidate: 0xe6, Correlation: -0.16153508688332685
Candidate: 0x8d, Correlation: -0.16070504309166994
Candidate: 0x43, Correlation: -0.15985079255751214
Candidate: 0x82, Correlation: -0.15931792930499558
Candidate: 0xb8, Correlation: -0.15874571581123265
Candidate: 0xf2, Correlation: -0.15707020769188373
Candidate: 0x89, Correlation: -0.15691954896153942
Candidate: 0x8a, Correlation: -0.1557701442736547
Candidate: 0x34, Correlation: -0.15477413980294302
Candidate: 0x8c, Correlation: -0.15295118112643796
Candidate: 0x1a, Correlation: -0.1526958215379364
Candidate: 0x4a, Correlation: -0.15153087410096552
Candidate: 0x58, Correlation: -0.15026232804899395
Candidate: 0x53, Correlation: -0.14984630827995166
Candidate: 0xfa, Correlation: -0.14845582864351176
Candidate: 0xf7, Correlation: -0.14729719260048613
Candidate: 0xef, Correlation: -0.14469251353271512
Candidate: 0x32, Correlation: -0.1441364656134578
Candidate: 0xc3, Correlation: -0.14336399427176796
Candidate: 0x1c, Correlation: -0.14284113825875425
Candidate: 0x4c, Correlation: -0.1423149464622198
Candidate: 0xfc, Correlation: -0.14094242870989265
Candidate: 0x98, Correlation: -0.140220575984926
Candidate: 0x46, Correlation: -0.1388101552964148
Candidate: 0xf6, Correlation: -0.13723011776543012
Candidate: 0x62, Correlation: -0.1353214862894775
Candidate: 0xa2, Correlation: -0.13514087745015263
Candidate: 0x16, Correlation: -0.13496035460960065
Candidate: 0x1f, Correlation: -0.13347141471727172
Candidate: 0xaa, Correlation: -0.1323030877927973
Candidate: 0xfd, Correlation: -0.13152571187197196
Candidate: 0x27, Correlation: -0.12931021136035642
Candidate: 0xa3, Correlation: -0.12903255270291208
Candidate: 0x54, Correlation: -0.12880807518913867
Candidate: 0xc1, Correlation: -0.12501159109815096
Candidate: 0xac, Correlation: -0.1237444802506838
