Candidate: 0xc3, Correlation: -0.537481912089338
Candidate: 0xc4, Correlation: -0.4613718673161684
Candidate: 0x43, Correlation: -0.3519310858167603
Candidate: 0xc5, Correlation: -0.35009120303668606
Candidate: 0x22, Correlation: -0.33699387595097124
Candidate: 0x23, Correlation: -0.3281133217784596
Candidate: 0xc2, Correlation: -0.3270421755466777
Candidate: 0x42, Correlation: -0.32074904042611074
Candidate: 0x0, Correlation: -0.3143300271964176
Candidate: 0x24, Correlation: -0.30398941470563695
Candidate: 0xc7, Correlation: -0.3011334703302395
Candidate: 0x83, Correlation: -0.291105605785911
Candidate: 0xf0, Correlation: -0.2899229987294498
Candidate: 0x3, Correlation: -0.28926622568369825
Candidate: 0xfc, Correlation: -0.2886876127812465
Candidate: 0xf8, Correlation: -0.2836779249242761
Candidate: 0xc1, Correlation: -0.2774665603286184
Candidate: 0xa0, Correlation: -0.2763259110783939
Candidate: 0x21, Correlation: -0.2729253684038043
Candidate: 0x10, Correlation: -0.26836409926526417
Candidate: 0xcb, Correlation: -0.26668430597366194
Candidate: 0x25, Correlation: -0.2645832428753586
Candidate: 0xbf, Correlation: -0.26222437267889037
Candidate: 0x44, Correlation: -0.2615524095044846
Candidate: 0x41, Correlation: -0.26031306568985285
Candidate: 0x4, Correlation: -0.25990185238837143
Candidate: 0xd3, Correlation: -0.258121599775237
Candidate: 0x8, Correlation: -0.25796455875303836
Candidate: 0xc6, Correlation: -0.25492125165118934
Candidate: 0xff, Correlation: -0.25190850144267113
Candidate: 0xb3, Correlation: -0.24685452127130145
Candidate: 0xf4, Correlation: -0.24400962725173106
Candidate: 0xa3, Correlation: -0.2436732054847816
Candidate: 0xbb, Correlation: -0.24134147812733595
Candidate: 0xe3, Correlation: -0.23867544374954952
Candidate: 0xc0, Correlation: -0.23773201689852672
Candidate: 0xfe, Correlation: -0.22900907782865
Candidate: 0x2, Correlation: -0.22731590829272919
Candidate: 0x80, Correlation: -0.22520353629888076
Candidate: 0xe8, Correlation: -0.2249472682999925
Candidate: 0x60, Correlation: -0.22275664011864815
Candidate: 0xc, Correlation: -0.2225783393672498
Candidate: 0x45, Correlation: -0.22085733844082026
Candidate: 0xf2, Correlation: -0.2204771855780959
Candidate: 0xe0, Correlation: -0.22021826335158556
Candidate: 0x9c, Correlation: -0.21940580025693687
Candidate: 0x40, Correlation: -0.21684965937659473
Candidate: 0x18, Correlation: -0.21622333551282555
Candidate: 0xec, Correlation: -0.21205544169621657
Candidate: 0xfa, Correlation: -0.21049966418965052
Candidate: 0xd0, Correlation: -0.21046187337994873
Candidate: 0x1c, Correlation: -0.2056586638480853
Candidate: 0x84, Correlation: -0.2043076641489406
Candidate: 0xf, Correlation: -0.20329411978978507
Candidate: 0x20, Correlation: -0.20324875573191375
Candidate: 0x70, Correlation: -0.2013499340032545
Candidate: 0x90, Correlation: -0.19996874310479615
Candidate: 0x14, Correlation: -0.19991243792236732
Candidate: 0x26, Correlation: -0.19800149111599177
Candidate: 0xd8, Correlation: -0.1957419724244507
Candidate: 0x6, Correlation: -0.1941725884696163
Candidate: 0xdc, Correlation: -0.19391492502454408
Candidate: 0xe4, Correlation: -0.19360059797935672
Candidate: 0x78, Correlation: -0.19237495121226605
Candidate: 0xfb, Correlation: -0.19231535192987848
Candidate: 0xef, Correlation: -0.19140882861966663
Candidate: 0x2a, Correlation: -0.19137661665898112
Candidate: 0x7c, Correlation: -0.19064957497093915
Candidate: 0xc8, Correlation: -0.19018878910721262
Candidate: 0xbc, Correlation: -0.19009002381811124
Candidate: 0xee, Correlation: -0.18994703744928118
Candidate: 0xe, Correlation: -0.18840268224464715
Candidate: 0xb0, Correlation: -0.18695053926990607
Candidate: 0x2b, Correlation: -0.18671697861131845
Candidate: 0x30, Correlation: -0.18609480573701306
Candidate: 0xa8, Correlation: -0.18597373532464143
Candidate: 0x62, Correlation: -0.18582883297926456
