Candidate: 0xa9, Correlation: -0.5755794641205564
Candidate: 0xa5, Correlation: -0.5254057622734601
Candidate: 0xad, Correlation: -0.5080889038011499
Candidate: 0xa8, Correlation: -0.5028015525629941
Candidate: 0xb1, Correlation: -0.42831876808046393
Candidate: 0xa1, Correlation: -0.40453169376510734
Candidate: 0xb5, Correlation: -0.3930187923992552
Candidate: 0x9d, Correlation: -0.3871141579608917
Candidate: 0x29, Correlation: -0.37669042743797077
Candidate: 0xf4, Correlation: -0.37360930814285187
Candidate: 0xfc, Correlation: -0.3699433975053187
Candidate: 0xc, Correlation: -0.36796884495190824
Candidate: 0x0, Correlation: -0.3646413584068924
Candidate: 0x4, Correlation: -0.3541924277341964
Candidate: 0xaa, Correlation: -0.35030128649100273
Candidate: 0x10, Correlation: -0.34832777389123765
Candidate: 0xb0, Correlation: -0.33531021689674345
Candidate: 0xec, Correlation: -0.33384376324578324
Candidate: 0xac, Correlation: -0.32621065236164454
Candidate: 0xc9, Correlation: -0.32529918569947375
Candidate: 0xa4, Correlation: -0.3237993108308705
Candidate: 0xf0, Correlation: -0.31881820944171835
Candidate: 0x89, Correlation: -0.3148779187005798
Candidate: 0x14, Correlation: -0.311744586784908
Candidate: 0xbd, Correlation: -0.3083891840211665
Candidate: 0x21, Correlation: -0.3080915130154791
Candidate: 0x95, Correlation: -0.3068105161598988
Candidate: 0xa7, Correlation: -0.3028588233290855
Candidate: 0xa0, Correlation: -0.29622798659581906
Candidate: 0xe9, Correlation: -0.2925775029437812
Candidate: 0x25, Correlation: -0.2918436057713091
Candidate: 0xab, Correlation: -0.2897838648986875
Candidate: 0xe5, Correlation: -0.2863068538320643
Candidate: 0xa3, Correlation: -0.28594377527459963
Candidate: 0x69, Correlation: -0.2847688803319111
Candidate: 0x8, Correlation: -0.2815147614160518
Candidate: 0x8d, Correlation: -0.28018361815996484
Candidate: 0xb4, Correlation: -0.27581214425867717
Candidate: 0x91, Correlation: -0.2714997182236804
Candidate: 0x2c, Correlation: -0.2705962091063885
Candidate: 0x99, Correlation: -0.2701242174455583
Candidate: 0x31, Correlation: -0.26894450188782654
Candidate: 0xd0, Correlation: -0.26815850808549146
Candidate: 0x6d, Correlation: -0.268117849356738
Candidate: 0x2d, Correlation: -0.26572403446436843
Candidate: 0x9, Correlation: -0.2654787460163776
Candidate: 0xc8, Correlation: -0.26416267421317735
Candidate: 0xb9, Correlation: -0.2640351328404088
Candidate: 0xc5, Correlation: -0.26379859706650977
Candidate: 0xed, Correlation: -0.2636392231061614
Candidate: 0x65, Correlation: -0.2629158996548134
Candidate: 0x30, Correlation: -0.26210807116623003
Candidate: 0xc0, Correlation: -0.26195268330654725
Candidate: 0xa6, Correlation: -0.25499969567870595
Candidate: 0xc1, Correlation: -0.25220210830089473
Candidate: 0x90, Correlation: -0.25209237363361076
Candidate: 0x88, Correlation: -0.24777917341366582
Candidate: 0x28, Correlation: -0.24681643002081174
Candidate: 0xaf, Correlation: -0.24327019506461475
Candidate: 0xcc, Correlation: -0.24124080424371774
Candidate: 0x34, Correlation: -0.24083873091429436
Candidate: 0xcd, Correlation: -0.23828042084084763
Candidate: 0x85, Correlation: -0.23491130156598244
Candidate: 0xd4, Correlation: -0.22963593366800572
Candidate: 0xae, Correlation: -0.22919883229251958
