Candidate: 0xdd, Correlation: -0.30639327338385186
Candidate: 0xdf, Correlation: -0.3058031828044954
Candidate: 0x5d, Correlation: -0.29689844125226106
Candidate: 0x5f, Correlation: -0.29557348906769504
Candidate: 0x90, Correlation: -0.28858402942423944
Candidate: 0xcd, Correlation: -0.28135039688056585
Candidate: 0x94, Correlation: -0.27974812761765766
Candidate: 0x10, Correlation: -0.2794098425683685
Candidate: 0xcf, Correlation: -0.27931255377287906
Candidate: 0xd9, Correlation: -0.27560453739249485
Candidate: 0xdb, Correlation: -0.27436893212871977
Candidate: 0x4d, Correlation: -0.2733660844573403
Candidate: 0x14, Correlation: -0.2708578090998882
Candidate: 0x4f, Correlation: -0.270683204424679
Candidate: 0x80, Correlation: -0.2671064697703985
Candidate: 0x59, Correlation: -0.26560517271939743
Candidate: 0x5b, Correlation: -0.26373863817299364
Candidate: 0x0, Correlation: -0.2594807061621615
Candidate: 0x84, Correlation: -0.25813404382532074
Candidate: 0xc9, Correlation: -0.2508392933960963
Candidate: 0x4, Correlation: -0.25066830762441655
Candidate: 0xcb, Correlation: -0.24841742636720132
Candidate: 0x49, Correlation: -0.2422160824797088
Candidate: 0xd7, Correlation: -0.23983278768451027
Candidate: 0x4b, Correlation: -0.23925778412820525
Candidate: 0xd5, Correlation: -0.23690467357861714
Candidate: 0x70, Correlation: -0.23235437295227332
Candidate: 0xd0, Correlation: -0.2297912108292424
Candidate: 0x74, Correlation: -0.22687434504199527
Candidate: 0x98, Correlation: -0.2262379196450864
Candidate: 0x57, Correlation: -0.2254672166370614
Candidate: 0x55, Correlation: -0.22336970897697567
Candidate: 0xd4, Correlation: -0.22330258120650204
Candidate: 0xf0, Correlation: -0.222597784793054
Candidate: 0x18, Correlation: -0.22100657830596568
Candidate: 0x50, Correlation: -0.2192875971345253
Candidate: 0xc7, Correlation: -0.21826176186999513
Candidate: 0xf4, Correlation: -0.21756076673771654
Candidate: 0xc5, Correlation: -0.2168369172909187
Candidate: 0xbf, Correlation: -0.21513116339958185
Candidate: 0x9c, Correlation: -0.21473769941721216
Candidate: 0xbd, Correlation: -0.2145318603089196
Candidate: 0x54, Correlation: -0.2130184629259907
Candidate: 0x60, Correlation: -0.21161048797274312
Candidate: 0xd3, Correlation: -0.20965708517692866
Candidate: 0x1c, Correlation: -0.2094306282129952
Candidate: 0xd1, Correlation: -0.2077319563234337
Candidate: 0x64, Correlation: -0.20667720638927348
Candidate: 0xc0, Correlation: -0.20590088777263862
Candidate: 0x47, Correlation: -0.20542060596458747
Candidate: 0x92, Correlation: -0.204976843259359
Candidate: 0x45, Correlation: -0.20463988942937622
Candidate: 0x3f, Correlation: -0.2037366793559216
Candidate: 0x3d, Correlation: -0.203709001036838
Candidate: 0xe0, Correlation: -0.2030202406982304
Candidate: 0x96, Correlation: -0.20136287345101384
Candidate: 0x88, Correlation: -0.2003346051719559
Candidate: 0xc4, Correlation: -0.19919063587620406
Candidate: 0xe4, Correlation: -0.19850969498827975
Candidate: 0x40, Correlation: -0.19685232109835168
Candidate: 0x8, Correlation: -0.1960332299991099
Candidate: 0x12, Correlation: -0.19588545051236012
Candidate: 0x53, Correlation: -0.19552300123210092
Candidate: 0x51, Correlation: -0.19429783331962439
Candidate: 0xad, Correlation: -0.1928213702298926
Candidate: 0xaf, Correlation: -0.19223952060024585
