Candidate: 0x7e, Correlation: -0.5725495116799901
Candidate: 0xfe, Correlation: -0.5312021857539677
Candidate: 0xbe, Correlation: -0.5146866535235302
Candidate: 0x3e, Correlation: -0.5126520719307909
Candidate: 0x9e, Correlation: -0.43373493734275165
Candidate: 0x5e, Correlation: -0.42482250380790615
Candidate: 0x1e, Correlation: -0.41953389858034973
Candidate: 0xde, Correlation: -0.41207077135407133
Candidate: 0x6e, Correlation: -0.4108739114331752
Candidate: 0x8e, Correlation: -0.4060077092991342
Candidate: 0xae, Correlation: -0.404371875660545
Candidate: 0x2e, Correlation: -0.39752348306138674
Candidate: 0xe, Correlation: -0.3927366453451765
Candidate: 0xee, Correlation: -0.3917081753827497
Candidate: 0x4e, Correlation: -0.38219195152292357
Candidate: 0xce, Correlation: -0.37756932034649965
Candidate: 0x7c, Correlation: -0.3113772356990615
Candidate: 0x7f, Correlation: -0.30933798482565217
Candidate: 0x80, Correlation: -0.30345701341415054
Candidate: 0x7a, Correlation: -0.30058005789144143
Candidate: 0x7d, Correlation: -0.2929184579028359
Candidate: 0x82, Correlation: -0.2876234325019284
Candidate: 0x76, Correlation: -0.2525449116761105
Candidate: 0x86, Correlation: -0.24079237759355387
Candidate: 0xf6, Correlation: -0.22805499321227463
Candidate: 0xb6, Correlation: -0.2171866437141231
Candidate: 0x6, Correlation: -0.21398181219559503
Candidate: 0x36, Correlation: -0.20876658216962168
Candidate: 0x46, Correlation: -0.20837026091540758
Candidate: 0x7b, Correlation: -0.20342574704435473
Candidate: 0xc6, Correlation: -0.202990633033673
Candidate: 0x81, Correlation: -0.1980155504750065
Candidate: 0xfa, Correlation: -0.19656900640935193
Candidate: 0xa6, Correlation: -0.18370856195728016
Candidate: 0x96, Correlation: -0.17991708402018922
Candidate: 0xfc, Correlation: -0.1789706392493447
Candidate: 0x66, Correlation: -0.17821530973548452
Candidate: 0x2, Correlation: -0.17677047465758
Candidate: 0x84, Correlation: -0.1758704906628179
Candidate: 0x78, Correlation: -0.1740824756068471
Candidate: 0xba, Correlation: -0.17347023969413544
Candidate: 0x26, Correlation: -0.1721628906815641
Candidate: 0xff, Correlation: -0.17154679530787426
Candidate: 0x16, Correlation: -0.16912326555158205
Candidate: 0x3a, Correlation: -0.16830502507382253
Candidate: 0xfd, Correlation: -0.16800929329734512
Candidate: 0xe6, Correlation: -0.1675775741339985
Candidate: 0x0, Correlation: -0.16574368073017895
Candidate: 0xc2, Correlation: -0.16428631033954816
Candidate: 0x42, Correlation: -0.162360813980733
Candidate: 0x56, Correlation: -0.15846925346429958
Candidate: 0xf1, Correlation: -0.15789390884846916
Candidate: 0xd6, Correlation: -0.15337450175096118
Candidate: 0x1, Correlation: -0.15318205820978428
Candidate: 0xf9, Correlation: -0.14968088070057872
Candidate: 0x72, Correlation: -0.1494406151761246
Candidate: 0x8a, Correlation: -0.14820366558905523
Candidate: 0x79, Correlation: -0.14805303956122415
Candidate: 0xf5, Correlation: -0.14598519753887382
Candidate: 0x83, Correlation: -0.13863618506656267
Candidate: 0xf3, Correlation: -0.1371711797925267
Candidate: 0x11, Correlation: -0.13371863281216653
Candidate: 0x5, Correlation: -0.13320997578923932
Candidate: 0xfb, Correlation: -0.13284389457964044
Candidate: 0xe9, Correlation: -0.13008237799710945
Candidate: 0xf2, Correlation: -0.12962796962752193
Candidate: 0xbc, Correlation: -0.12940019073525919
Candidate: 0xb2, Correlation: -0.1286006226337368
Candidate: 0x19, Correlation: -0.12787569093652465
Candidate: 0x3c, Correlation: -0.12701904766606537
Candidate: 0x9, Correlation: -0.12591204258998495
Candidate: 0x1d, Correlation: -0.12520199008381092
Candidate: 0x3, Correlation: -0.12504895783904446
Candidate: 0xdd, Correlation: -0.12495362125558655
Candidate: 0xd, Correlation: -0.12484865514137194
Candidate: 0xc0, Correlation: -0.124070726180007
Candidate: 0x40, Correlation: -0.12349493034324242
Candidate: 0x77, Correlation: -0.12349477320521282
Candidate: 0x29, Correlation: -0.12097509019834624
Candidate: 0xf7, Correlation: -0.11923799929538592
Candidate: 0xed, Correlation: -0.11803947922926071
Candidate: 0xef, Correlation: -0.11704723370562127
Candidate: 0x32, Correlation: -0.11672250965426642
Candidate: 0x6a, Correlation: -0.1156660057359357
Candidate: 0x92, Correlation: -0.11523450256858919
Candidate: 0xe1, Correlation: -0.11518145693117376
Candidate: 0x31, Correlation: -0.11490939165872449
Candidate: 0x85, Correlation: -0.11366769976717711
Candidate: 0x9a, Correlation: -0.11365754216415433
Candidate: 0xa, Correlation: -0.11335342356711246
Candidate: 0xdf, Correlation: -0.11308330008033494
Candidate: 0xb1, Correlation: -0.11179841957685577
Candidate: 0x21, Correlation: -0.11087796363890755
Candidate: 0xd9, Correlation: -0.11071442719729875
Candidate: 0xeb, Correlation: -0.11033502731877781
Candidate: 0xd1, Correlation: -0.11019664793076475
Candidate: 0xa2, Correlation: -0.10976400030706325
Candidate: 0x71, Correlation: -0.10929587696063568
Candidate: 0x39, Correlation: -0.10920693342261696
Candidate: 0xaa, Correlation: -0.10911060117731897
Candidate: 0xe5, Correlation: -0.10907932712642586
Candidate: 0x74, Correlation: -0.10907062245402806
Candidate: 0x1f, Correlation: -0.10807819275113494
Candidate: 0x2d, Correlation: -0.10771148939954027
Candidate: 0xbf, Correlation: -0.10691652817234251
Candidate: 0x1a, Correlation: -0.10561095047049186
Candidate: 0x4a, Correlation: -0.10555799891665411
Candidate: 0xa9, Correlation: -0.10518071857040479
Candidate: 0xf, Correlation: -0.10474254494722887
Candidate: 0xca, Correlation: -0.10465941094360737
Candidate: 0x15, Correlation: -0.1039415055890067
Candidate: 0x3f, Correlation: -0.1039325318855334
Candidate: 0x7, Correlation: -0.10380533811745818
Candidate: 0x25, Correlation: -0.10363412765306218
Candidate: 0x13, Correlation: -0.10197012315472376
Candidate: 0x35, Correlation: -0.10193289131461743
Candidate: 0xb, Correlation: -0.10104968391762138
Candidate: 0x33, Correlation: -0.10094767703081332
Candidate: 0x5a, Correlation: -0.09982741639785485
Candidate: 0x2a, Correlation: -0.09792764153948087
Candidate: 0x27, Correlation: -0.09783761786877719
Candidate: 0xe7, Correlation: -0.09773733237089276
Candidate: 0x62, Correlation: -0.09700887322534783
Candidate: 0x75, Correlation: -0.09668867491625441
Candidate: 0x2b, Correlation: -0.09635509127972039
Candidate: 0x5d, Correlation: -0.09580295800281002
Candidate: 0x23, Correlation: -0.09568826153830677
Candidate: 0xc1, Correlation: -0.09560971814444849
Candidate: 0x12, Correlation: -0.09556814157120579
Candidate: 0xdb, Correlation: -0.0955591430895432
Candidate: 0x9d, Correlation: -0.09554544160420157
Candidate: 0x22, Correlation: -0.09548688412592277
Candidate: 0x73, Correlation: -0.0953388307549881
Candidate: 0x91, Correlation: -0.09498551138301968
Candidate: 0xc9, Correlation: -0.09460292399157814
Candidate: 0xea, Correlation: -0.09430872245390952
Candidate: 0x3d, Correlation: -0.09423882395473664
Candidate: 0xb3, Correlation: -0.09377054317128228
Candidate: 0x88, Correlation: -0.09334454603378385
Candidate: 0x1b, Correlation: -0.09325548452871033
Candidate: 0x2f, Correlation: -0.09318333845368684
Candidate: 0xbd, Correlation: -0.09226963893372343
Candidate: 0xb5, Correlation: -0.09221514425530841
Candidate: 0xd5, Correlation: -0.09166438075236656
Candidate: 0xe3, Correlation: -0.0913005055609935
