Candidate: 0x54, Correlation: -0.3891165495852559
Candidate: 0xd4, Correlation: -0.3285142353161344
Candidate: 0x68, Correlation: -0.31811951458432863
Candidate: 0x5a, Correlation: -0.31097578564119793
Candidate: 0x97, Correlation: -0.30195626756811267
Candidate: 0x7c, Correlation: -0.2960574919748235
Candidate: 0x99, Correlation: -0.2863802190355831
Candidate: 0x5e, Correlation: -0.2847047379484455
Candidate: 0x6c, Correlation: -0.28320948353877684
Candidate: 0x58, Correlation: -0.27907566738547795
Candidate: 0x65, Correlation: -0.27648620539486546
Candidate: 0x62, Correlation: -0.2728818014223538
Candidate: 0x95, Correlation: -0.2707054251521105
Candidate: 0x84, Correlation: -0.2692643336313892
Candidate: 0xa5, Correlation: -0.2674725308074379
Candidate: 0x78, Correlation: -0.2670341753277395
Candidate: 0x66, Correlation: -0.26610672507489874
Candidate: 0x14, Correlation: -0.26512958633200656
Candidate: 0x56, Correlation: -0.26479952087238345
Candidate: 0x60, Correlation: -0.2628402070289509
Candidate: 0x52, Correlation: -0.25799482686686687
Candidate: 0x5c, Correlation: -0.2578925652312575
Candidate: 0x72, Correlation: -0.256973910983624
Candidate: 0x85, Correlation: -0.2569140126790904
Candidate: 0x53, Correlation: -0.25490838168393726
Candidate: 0x92, Correlation: -0.25100867041173675
Candidate: 0x8c, Correlation: -0.2503158159736027
Candidate: 0xa4, Correlation: -0.24796481341493853
Candidate: 0x48, Correlation: -0.24776811270355475
Candidate: 0x64, Correlation: -0.24742761346620776
Candidate: 0x44, Correlation: -0.24700152907235837
Candidate: 0x96, Correlation: -0.2460260734662813
Candidate: 0x76, Correlation: -0.24346712426627926
Candidate: 0x9b, Correlation: -0.24049442803956025
Candidate: 0x50, Correlation: -0.23698352632515998
Candidate: 0x6a, Correlation: -0.23363528343167553
Candidate: 0x55, Correlation: -0.23194853426061374
Candidate: 0x98, Correlation: -0.22940956522894965
Candidate: 0x93, Correlation: -0.22704051712687678
Candidate: 0x4c, Correlation: -0.22471587660092446
Candidate: 0x74, Correlation: -0.22449961964469559
Candidate: 0x69, Correlation: -0.22365265135376824
