Candidate: 0xab, Correlation: -0.6240599389625369
Candidate: 0x8b, Correlation: -0.6078630961978705
Candidate: 0x2b, Correlation: -0.5939142053010459
Candidate: 0xeb, Correlation: -0.5798491919843072
Candidate: 0x4b, Correlation: -0.5793463195273204
Candidate: 0xb, Correlation: -0.5731794926023511
Candidate: 0xcb, Correlation: -0.5729559793009614
Candidate: 0x6b, Correlation: -0.5705543676770453
Candidate: 0x5b, Correlation: -0.4272856464497953
Candidate: 0x3b, Correlation: -0.41544918041528867
Candidate: 0x9b, Correlation: -0.4029273597858133
Candidate: 0xdb, Correlation: -0.4026568732055439
Candidate: 0xbb, Correlation: -0.3998148877533491
Candidate: 0x1b, Correlation: -0.3961004647071341
Candidate: 0x7b, Correlation: -0.39226302307949906
Candidate: 0xfb, Correlation: -0.3851820178030508
Candidate: 0x93, Correlation: -0.34831946169969125
Candidate: 0xb3, Correlation: -0.3386352710812618
Candidate: 0x55, Correlation: -0.3197410255956328
Candidate: 0x9a, Correlation: -0.31222484692923425
Candidate: 0x13, Correlation: -0.3102822138754186
Candidate: 0x35, Correlation: -0.3100892582392782
Candidate: 0x4d, Correlation: -0.3100786408529373
Candidate: 0xd3, Correlation: -0.3082569258425308
Candidate: 0x73, Correlation: -0.30392579578561185
Candidate: 0xfc, Correlation: -0.3035531229242488
Candidate: 0x49, Correlation: -0.302656510689412
Candidate: 0xf3, Correlation: -0.3018768112804264
Candidate: 0x4f, Correlation: -0.30050936785036414
Candidate: 0x33, Correlation: -0.3000267348338378
Candidate: 0xfa, Correlation: -0.29986733412709
Candidate: 0x43, Correlation: -0.29618831272127766
Candidate: 0xaf, Correlation: -0.28888615427480685
Candidate: 0x4c, Correlation: -0.288639450048357
Candidate: 0x53, Correlation: -0.28821644230891835
Candidate: 0x47, Correlation: -0.285711617621305
Candidate: 0xda, Correlation: -0.28503141292840645
Candidate: 0x4a, Correlation: -0.2816004678615393
Candidate: 0x9c, Correlation: -0.27759618032619815
Candidate: 0x2d, Correlation: -0.27573256657879636
Candidate: 0xa2, Correlation: -0.27471029182006296
Candidate: 0xc3, Correlation: -0.2727868720354881
Candidate: 0x8f, Correlation: -0.27218267024087156
Candidate: 0xba, Correlation: -0.2720188976281227
Candidate: 0x45, Correlation: -0.2702156792879009
Candidate: 0x83, Correlation: -0.2697194053686436
Candidate: 0xd5, Correlation: -0.2669624569391364
Candidate: 0xbc, Correlation: -0.2649364103474419
Candidate: 0xb5, Correlation: -0.26457177118915787
Candidate: 0xdc, Correlation: -0.2614273643922667
Candidate: 0x1a, Correlation: -0.26017650832174427
Candidate: 0x75, Correlation: -0.25570806373161337
Candidate: 0xf5, Correlation: -0.2545592449103883
Candidate: 0x2f, Correlation: -0.2544727461152193
Candidate: 0xa3, Correlation: -0.2513445579276066
Candidate: 0x3, Correlation: -0.25105700369736
Candidate: 0xcd, Correlation: -0.2483493101766313
Candidate: 0x6d, Correlation: -0.24563792044885616
Candidate: 0xef, Correlation: -0.24506067144743027
Candidate: 0xa0, Correlation: -0.24286478731973707
Candidate: 0x9e, Correlation: -0.24280198331826167
Candidate: 0xcf, Correlation: -0.24087855193276564
Candidate: 0x15, Correlation: -0.23882506344465143
Candidate: 0x6f, Correlation: -0.2376251798140906
Candidate: 0xf, Correlation: -0.2350651665377826
Candidate: 0xed, Correlation: -0.2345252298282585
Candidate: 0x7c, Correlation: -0.23173495009878925
Candidate: 0xa, Correlation: -0.23032057130094202
Candidate: 0x63, Correlation: -0.22833521918315
Candidate: 0xad, Correlation: -0.22757177038443951
Candidate: 0x7a, Correlation: -0.22543371796922837
Candidate: 0x95, Correlation: -0.22411668910134588
Candidate: 0x65, Correlation: -0.22258072149457878
Candidate: 0xe3, Correlation: -0.21929536922596532
Candidate: 0x25, Correlation: -0.21900780698260514
Candidate: 0x23, Correlation: -0.21881241530517323
Candidate: 0x37, Correlation: -0.21874050573364284
Candidate: 0x1c, Correlation: -0.21872328198122207
Candidate: 0x8a, Correlation: -0.2154757840318241
Candidate: 0xd, Correlation: -0.2145064959381833
Candidate: 0x4e, Correlation: -0.21446823511264893
Candidate: 0xaa, Correlation: -0.2139293498675107
Candidate: 0x57, Correlation: -0.21168782801272187
Candidate: 0xc, Correlation: -0.21134849682234216
Candidate: 0x27, Correlation: -0.21133415579792816
Candidate: 0x48, Correlation: -0.20965869503540804
Candidate: 0xac, Correlation: -0.2093548583955809
Candidate: 0x8c, Correlation: -0.20827987028546974
Candidate: 0xc5, Correlation: -0.20684804309686947
Candidate: 0xa7, Correlation: -0.20520916232249858
Candidate: 0xa6, Correlation: -0.20451868348503552
Candidate: 0x67, Correlation: -0.20375331235890787
Candidate: 0x99, Correlation: -0.20325008576965212
Candidate: 0xea, Correlation: -0.20134891033552368
Candidate: 0x22, Correlation: -0.1987137460952011
Candidate: 0xe5, Correlation: -0.19739872105444903
Candidate: 0x8d, Correlation: -0.19641945982612702
Candidate: 0xc7, Correlation: -0.19361204996586368
Candidate: 0xa5, Correlation: -0.1924674690129824
Candidate: 0xe7, Correlation: -0.18779657253667614
Candidate: 0x98, Correlation: -0.18380024024882524
Candidate: 0xf9, Correlation: -0.18300494195139033
Candidate: 0xa1, Correlation: -0.1820298158787486
Candidate: 0x51, Correlation: -0.18196231367850732
Candidate: 0x87, Correlation: -0.18060335928689414
Candidate: 0xb2, Correlation: -0.1806022523372823
