Candidate: 0xfa, Correlation: -0.7373345968112839
Candidate: 0xa8, Correlation: -0.6982896290819678
Candidate: 0xf2, Correlation: -0.6532510061963009
Candidate: 0xc8, Correlation: -0.5836445286763461
Candidate: 0xfc, Correlation: -0.5662391049162381
Candidate: 0xda, Correlation: -0.5565781287678525
Candidate: 0xfe, Correlation: -0.5509109255340715
Candidate: 0xb0, Correlation: -0.5470040701767365
Candidate: 0x7a, Correlation: -0.5459006765646839
Candidate: 0x98, Correlation: -0.5394770953108892
Candidate: 0xa, Correlation: -0.5340197563090545
Candidate: 0xe8, Correlation: -0.5276448846524951
Candidate: 0xba, Correlation: -0.525972330603918
Candidate: 0x28, Correlation: -0.5244115565832741
Candidate: 0xa9, Correlation: -0.508629668206264
Candidate: 0xfb, Correlation: -0.507431091479886
Candidate: 0xa4, Correlation: -0.49357628633615586
Candidate: 0xa6, Correlation: -0.489343188260421
Candidate: 0xd2, Correlation: -0.47097259623054316
Candidate: 0xf4, Correlation: -0.46867969844193474
Candidate: 0x72, Correlation: -0.4610959268330234
Candidate: 0xf6, Correlation: -0.45938990264881613
Candidate: 0x2, Correlation: -0.4466373919625454
Candidate: 0xb2, Correlation: -0.43846239131626374
Candidate: 0xd0, Correlation: -0.43490633177518123
Candidate: 0xb8, Correlation: -0.4311783109286005
Candidate: 0xf3, Correlation: -0.41935015119583746
Candidate: 0x8, Correlation: -0.4180989918597958
Candidate: 0x48, Correlation: -0.41020284475419033
Candidate: 0xd8, Correlation: -0.4066004533187151
Candidate: 0xc9, Correlation: -0.3974847783716095
Candidate: 0xa0, Correlation: -0.38949687640348984
Candidate: 0xc4, Correlation: -0.384319430924993
Candidate: 0xdc, Correlation: -0.377366789380644
Candidate: 0x0, Correlation: -0.3760830638640168
Candidate: 0xf0, Correlation: -0.3733293918865277
Candidate: 0xc6, Correlation: -0.3727834637904184
Candidate: 0x7c, Correlation: -0.3714829652598963
Candidate: 0xde, Correlation: -0.3702106764540853
Candidate: 0xd9, Correlation: -0.3688297064001538
Candidate: 0x30, Correlation: -0.36768940158466173
Candidate: 0xbc, Correlation: -0.36642412549219994
Candidate: 0x5a, Correlation: -0.3651203224765864
Candidate: 0x7e, Correlation: -0.36367797522525863
Candidate: 0x18, Correlation: -0.35709393505930215
Candidate: 0xc, Correlation: -0.35668236685131666
Candidate: 0xb1, Correlation: -0.3553168658914273
Candidate: 0x68, Correlation: -0.35054024954986324
Candidate: 0xea, Correlation: -0.35049782235017785
Candidate: 0x9a, Correlation: -0.3504398894041026
Candidate: 0x99, Correlation: -0.34925027337159614
Candidate: 0xa7, Correlation: -0.3486870188170926
Candidate: 0xbe, Correlation: -0.3437828181717741
Candidate: 0x3a, Correlation: -0.34292451935548734
Candidate: 0xe, Correlation: -0.3428829128184319
Candidate: 0x8a, Correlation: -0.3425669046691631
Candidate: 0xe9, Correlation: -0.3425450196463313
Candidate: 0xcc, Correlation: -0.342264742875331
Candidate: 0xd4, Correlation: -0.3391444817990133
Candidate: 0x94, Correlation: -0.33620958291757896
Candidate: 0xac, Correlation: -0.33572683727380664
Candidate: 0x29, Correlation: -0.3345111088793359
Candidate: 0x96, Correlation: -0.33201155181518127
Candidate: 0xc0, Correlation: -0.32942525272787815
Candidate: 0xfd, Correlation: -0.3289686629878617
Candidate: 0xca, Correlation: -0.3268546328643138
