Candidate: 0xcc, Correlation: -0.80703110714454
Candidate: 0x5, Correlation: -0.7512207732174301
Candidate: 0xfd, Correlation: -0.7318431593590287
Candidate: 0xd8, Correlation: -0.708801483035885
Candidate: 0xc, Correlation: -0.6342377787944301
Candidate: 0xac, Correlation: -0.6270250840377009
Candidate: 0xda, Correlation: -0.6201722247290659
Candidate: 0xce, Correlation: -0.6165639291013972
Candidate: 0xd4, Correlation: -0.614840647805625
Candidate: 0xbc, Correlation: -0.6078857399783203
Candidate: 0xd0, Correlation: -0.5997171668590902
Candidate: 0xb7, Correlation: -0.5955393659871797
Candidate: 0xb3, Correlation: -0.586429660500076
Candidate: 0x3, Correlation: -0.5802143169656566
Candidate: 0x4c, Correlation: -0.5773666133101377
Candidate: 0xcb, Correlation: -0.5715131599823714
Candidate: 0xfb, Correlation: -0.5637137833554965
Candidate: 0xd7, Correlation: -0.5590789826135661
Candidate: 0xe5, Correlation: -0.552841787415733
Candidate: 0x6, Correlation: -0.5502700054671412
Candidate: 0xb8, Correlation: -0.5354834376351436
Candidate: 0x9, Correlation: -0.534015622166747
Candidate: 0x85, Correlation: -0.5325065877825695
Candidate: 0xdd, Correlation: -0.5307678169761217
Candidate: 0xfe, Correlation: -0.5306401488153083
Candidate: 0xc8, Correlation: -0.5302121030525969
Candidate: 0x15, Correlation: -0.5276345873670509
Candidate: 0xd3, Correlation: -0.5195632252195563
Candidate: 0xd6, Correlation: -0.5163879162388443
Candidate: 0x7d, Correlation: -0.5162383112333646
Candidate: 0x1, Correlation: -0.5123274632103396
Candidate: 0xc5, Correlation: -0.5090460556581381
Candidate: 0xb9, Correlation: -0.5088430897233992
Candidate: 0xd, Correlation: -0.5038286019883829
Candidate: 0xb5, Correlation: -0.4979923448940146
Candidate: 0xbd, Correlation: -0.48633668323520124
Candidate: 0x18, Correlation: -0.47338659008021955
Candidate: 0xb4, Correlation: -0.4645935560372748
Candidate: 0xd9, Correlation: -0.4640204994286792
Candidate: 0xec, Correlation: -0.4584969775610374
Candidate: 0xe, Correlation: -0.4473428233618617
Candidate: 0xba, Correlation: -0.44555445431609914
Candidate: 0x14, Correlation: -0.4399869778231892
Candidate: 0xae, Correlation: -0.4386588003790003
Candidate: 0xca, Correlation: -0.4372453131577769
Candidate: 0xfc, Correlation: -0.43151192783239206
Candidate: 0xaf, Correlation: -0.4308202831347181
Candidate: 0x10, Correlation: -0.43044820048546983
Candidate: 0xd5, Correlation: -0.42922895835646235
Candidate: 0xd2, Correlation: -0.4290485328267899
