Candidate: 0x2c, Correlation: -0.6240173026889951
Candidate: 0x28, Correlation: -0.6176044430029314
Candidate: 0xc4, Correlation: -0.6144324577323019
Candidate: 0xc0, Correlation: -0.6113452302726803
Candidate: 0x4c, Correlation: -0.5801070300271046
Candidate: 0x48, Correlation: -0.5781853124457784
Candidate: 0xcc, Correlation: -0.54248368056938
Candidate: 0x24, Correlation: -0.5413513787732931
Candidate: 0xc8, Correlation: -0.5410304858873887
Candidate: 0xd0, Correlation: -0.5360823479621691
Candidate: 0x20, Correlation: -0.5333359308387545
Candidate: 0x44, Correlation: -0.5279312053400622
Candidate: 0x40, Correlation: -0.5212219595004374
Candidate: 0xec, Correlation: -0.5148501188631427
Candidate: 0xe8, Correlation: -0.5114332369105284
Candidate: 0x84, Correlation: -0.4985962822893683
Candidate: 0x80, Correlation: -0.49793087341334613
Candidate: 0x8, Correlation: -0.4744479750056201
Candidate: 0xc, Correlation: -0.4742899941738275
Candidate: 0xc2, Correlation: -0.46854474736624896
Candidate: 0xa4, Correlation: -0.45538261750346254
Candidate: 0xd4, Correlation: -0.4547243351839233
Candidate: 0xa0, Correlation: -0.44758335927251164
Candidate: 0xe4, Correlation: -0.4301184572670424
Candidate: 0x88, Correlation: -0.42924106398777667
Candidate: 0x8c, Correlation: -0.4287480912525873
Candidate: 0x12, Correlation: -0.4266939638933369
Candidate: 0xe0, Correlation: -0.42513658495614365
Candidate: 0x3c, Correlation: -0.42363727713657356
Candidate: 0xb0, Correlation: -0.4222863208434512
Candidate: 0x38, Correlation: -0.41675810075001357
Candidate: 0xc6, Correlation: -0.4140516534298777
Candidate: 0xbf, Correlation: -0.4115279231815438
Candidate: 0xd8, Correlation: -0.3980935926145357
Candidate: 0x4, Correlation: -0.39121119453041625
Candidate: 0x50, Correlation: -0.39084058625398904
Candidate: 0x0, Correlation: -0.38923780663992585
Candidate: 0xd2, Correlation: -0.38817596120666586
Candidate: 0x2e, Correlation: -0.3855997983292156
Candidate: 0xac, Correlation: -0.3838487866236999
Candidate: 0x5c, Correlation: -0.3799760829662876
Candidate: 0xdc, Correlation: -0.37965918457852466
Candidate: 0x2a, Correlation: -0.37853396150499224
Candidate: 0xa8, Correlation: -0.37771633295438056
Candidate: 0x58, Correlation: -0.37645790984625976
Candidate: 0x54, Correlation: -0.37504407547977325
Candidate: 0x52, Correlation: -0.3668078714649801
Candidate: 0x90, Correlation: -0.365682900431812
Candidate: 0x11, Correlation: -0.36278363652905693
Candidate: 0xc3, Correlation: -0.36276609647880015
Candidate: 0xcf, Correlation: -0.3546544401309366
Candidate: 0x46, Correlation: -0.35193465116836864
Candidate: 0x2b, Correlation: -0.35173766361849995
Candidate: 0x60, Correlation: -0.3517336563247795
Candidate: 0x92, Correlation: -0.3512161386122313
Candidate: 0x27, Correlation: -0.34678940874381
Candidate: 0x2, Correlation: -0.3461001934182278
Candidate: 0xb4, Correlation: -0.34562043784485197
Candidate: 0xca, Correlation: -0.3454653265018521
Candidate: 0xf2, Correlation: -0.3438652560529964
Candidate: 0x42, Correlation: -0.3437336911101969
Candidate: 0x34, Correlation: -0.3422197360630678
Candidate: 0x4e, Correlation: -0.3421401393262139
Candidate: 0x10, Correlation: -0.34070108983317593
Candidate: 0x70, Correlation: -0.34033941842741394
Candidate: 0xa2, Correlation: -0.3397909676888186
Candidate: 0x4a, Correlation: -0.3380994663114809
Candidate: 0x64, Correlation: -0.3373824977792501
Candidate: 0xce, Correlation: -0.3364373673346882
Candidate: 0x30, Correlation: -0.3346848768093569
Candidate: 0x94, Correlation: -0.33460554593076036
Candidate: 0x82, Correlation: -0.333079241878247
Candidate: 0x43, Correlation: -0.31743523437291116
Candidate: 0x72, Correlation: -0.31685894358227595
Candidate: 0x62, Correlation: -0.31525190453406493
Candidate: 0x3f, Correlation: -0.3111225496513013
Candidate: 0xb2, Correlation: -0.3106418528917971
Candidate: 0xfc, Correlation: -0.3106212132218153
Candidate: 0x4b, Correlation: -0.3105756608706342
Candidate: 0x26, Correlation: -0.3082902705660082
Candidate: 0x47, Correlation: -0.3081692629945432
Candidate: 0xf8, Correlation: -0.3067844307207507
Candidate: 0x51, Correlation: -0.30266781967678785
Candidate: 0x22, Correlation: -0.30075384924563847
Candidate: 0x86, Correlation: -0.2965752692087715
Candidate: 0xc1, Correlation: -0.2909419625671567
Candidate: 0xf1, Correlation: -0.2877667631757364
Candidate: 0x32, Correlation: -0.2857158077147126
Candidate: 0xcb, Correlation: -0.2854702077043957
Candidate: 0x91, Correlation: -0.28465818156038897
Candidate: 0x1, Correlation: -0.28382875957102743
Candidate: 0xc7, Correlation: -0.28102249852967504
Candidate: 0xd3, Correlation: -0.2761231477438587
Candidate: 0xd6, Correlation: -0.2760677620643157
Candidate: 0xf, Correlation: -0.2759971454170738
Candidate: 0xc5, Correlation: -0.27477467772909764
Candidate: 0x85, Correlation: -0.27446463657658243
Candidate: 0xee, Correlation: -0.27381006343047987
Candidate: 0xe2, Correlation: -0.27207183921446526
Candidate: 0x23, Correlation: -0.27130851542698653
Candidate: 0x1c, Correlation: -0.2698634718507779
Candidate: 0xea, Correlation: -0.2692366088026493
Candidate: 0x18, Correlation: -0.26817044600755957
Candidate: 0x7f, Correlation: -0.26776686632301927
Candidate: 0x6c, Correlation: -0.26712528897052734
Candidate: 0x1f, Correlation: -0.2657873901012866
Candidate: 0x98, Correlation: -0.2642072819007412
Candidate: 0x68, Correlation: -0.2638917472830484
Candidate: 0x9c, Correlation: -0.26334983110916
Candidate: 0xb8, Correlation: -0.2621228596313149
Candidate: 0x9f, Correlation: -0.25978920060649197
Candidate: 0xf0, Correlation: -0.25758363067087003
Candidate: 0x81, Correlation: -0.25552497542439084
Candidate: 0xa6, Correlation: -0.25485123026034423
Candidate: 0xda, Correlation: -0.2529413180955587
Candidate: 0xf6, Correlation: -0.24774524867848166
Candidate: 0x74, Correlation: -0.24345385575511325
Candidate: 0x83, Correlation: -0.24309219247293165
Candidate: 0xaf, Correlation: -0.2426590548162615
Candidate: 0xeb, Correlation: -0.24123599599642484
Candidate: 0x78, Correlation: -0.24043845759102248
Candidate: 0xe7, Correlation: -0.23806132469829194
Candidate: 0xfa, Correlation: -0.23671752957294456
Candidate: 0x16, Correlation: -0.23589027463934653
Candidate: 0x76, Correlation: -0.2334486199089403
Candidate: 0xe, Correlation: -0.23294815402484814
Candidate: 0xa, Correlation: -0.2303592173288177
Candidate: 0xe1, Correlation: -0.22922389533079657
Candidate: 0x8a, Correlation: -0.2285176657000563
Candidate: 0xf4, Correlation: -0.22780134182096823
Candidate: 0x66, Correlation: -0.22641625126264558
Candidate: 0x96, Correlation: -0.22608790029061462
Candidate: 0x8e, Correlation: -0.22595544307561555
Candidate: 0xd1, Correlation: -0.225537329225332
Candidate: 0xa3, Correlation: -0.22277843503765496
Candidate: 0x9a, Correlation: -0.22228419758730453
Candidate: 0x41, Correlation: -0.22213059443241437
Candidate: 0x7a, Correlation: -0.22171168504446181
Candidate: 0x1a, Correlation: -0.22154877812658197
Candidate: 0x31, Correlation: -0.22048390227154366
Candidate: 0x6a, Correlation: -0.22011694857855812
Candidate: 0xbc, Correlation: -0.21941519567744208
Candidate: 0xb6, Correlation: -0.21900769115581642
Candidate: 0xaa, Correlation: -0.21849429140047535
Candidate: 0x4f, Correlation: -0.2154670953844953
Candidate: 0xd5, Correlation: -0.21489098767785364
Candidate: 0xfd, Correlation: -0.21413296988660493
Candidate: 0xde, Correlation: -0.21157102842118547
Candidate: 0xba, Correlation: -0.21097729805551585
Candidate: 0x5, Correlation: -0.20952407988796373
Candidate: 0x45, Correlation: -0.20404344087518766
Candidate: 0xf5, Correlation: -0.20267352960844423
Candidate: 0xb, Correlation: -0.2017012976716306
Candidate: 0x8f, Correlation: -0.20154021548631684
Candidate: 0x71, Correlation: -0.20101248032836955
Candidate: 0x7, Correlation: -0.20008731625368664
Candidate: 0xff, Correlation: -0.19606227328531414
Candidate: 0xdd, Correlation: -0.19462715015995002
Candidate: 0xe6, Correlation: -0.1944161910306526
Candidate: 0x56, Correlation: -0.194354347147053
Candidate: 0xd9, Correlation: -0.19405921549637617
Candidate: 0xef, Correlation: -0.19266916908135062
Candidate: 0xf9, Correlation: -0.1914321105493241
Candidate: 0xd7, Correlation: -0.19099812186334986
Candidate: 0xcd, Correlation: -0.19067808324320398
Candidate: 0xc9, Correlation: -0.18987654837660226
Candidate: 0x5a, Correlation: -0.18916527043915016
Candidate: 0x7d, Correlation: -0.1885553552825207
Candidate: 0x14, Correlation: -0.18833739628991736
Candidate: 0x15, Correlation: -0.18682665032983878
Candidate: 0x8d, Correlation: -0.184436415537482
Candidate: 0x95, Correlation: -0.18396980262865112
Candidate: 0xae, Correlation: -0.18166741012059134
Candidate: 0x3e, Correlation: -0.18027557304130581
Candidate: 0x19, Correlation: -0.17671952348504083
Candidate: 0xed, Correlation: -0.17540495363717648
Candidate: 0x3a, Correlation: -0.1750787967275338
Candidate: 0x3d, Correlation: -0.1709074722048028
Candidate: 0x6, Correlation: -0.17060588695394893
Candidate: 0x8b, Correlation: -0.17042295452866413
Candidate: 0xa1, Correlation: -0.16919144304655556
Candidate: 0xb3, Correlation: -0.16731144050536115
Candidate: 0x87, Correlation: -0.16682839657594742
Candidate: 0x89, Correlation: -0.16380459475310824
Candidate: 0x53, Correlation: -0.1603963024036873
Candidate: 0xe3, Correlation: -0.159886558055054
Candidate: 0x49, Correlation: -0.15963311171246675
Candidate: 0x1d, Correlation: -0.15760714800769968
Candidate: 0xdf, Correlation: -0.1562177812721121
Candidate: 0x9e, Correlation: -0.1561745798859268
Candidate: 0xa7, Correlation: -0.15340085778467613
Candidate: 0xfe, Correlation: -0.15036500564810296
Candidate: 0x6d, Correlation: -0.15036008643412216
Candidate: 0x36, Correlation: -0.14977732325017026
Candidate: 0x3b, Correlation: -0.1488533668098861
Candidate: 0xdb, Correlation: -0.14806350370110336
Candidate: 0x7c, Correlation: -0.14758072208263365
Candidate: 0x79, Correlation: -0.1474153832377768
Candidate: 0x3, Correlation: -0.1465934812555816
Candidate: 0xbd, Correlation: -0.14650243987502562
