Candidate: 0xa4, Correlation: -0.6637344891446305
Candidate: 0xaa, Correlation: -0.6552552978491343
Candidate: 0xa2, Correlation: -0.6311334721051846
Candidate: 0xc4, Correlation: -0.5532964748050214
Candidate: 0x94, Correlation: -0.5188049160277636
Candidate: 0xac, Correlation: -0.5105240576430172
Candidate: 0x64, Correlation: -0.49410989609606437
Candidate: 0xa6, Correlation: -0.49162265119199167
Candidate: 0xca, Correlation: -0.4852201346383799
Candidate: 0xa5, Correlation: -0.4848708650950684
Candidate: 0x24, Correlation: -0.4803533724254752
Candidate: 0x9a, Correlation: -0.47556921830168275
Candidate: 0x6a, Correlation: -0.470719644977239
Candidate: 0xa0, Correlation: -0.46873833585893177
Candidate: 0x9e, Correlation: -0.4655709878244582
Candidate: 0xc2, Correlation: -0.46164776002915625
Candidate: 0x2a, Correlation: -0.4535527349819697
Candidate: 0x92, Correlation: -0.45155130919449815
Candidate: 0x62, Correlation: -0.4435073382028496
Candidate: 0xab, Correlation: -0.4368913614904426
Candidate: 0x22, Correlation: -0.43046329715930437
Candidate: 0xb4, Correlation: -0.4168603761121715
Candidate: 0xa3, Correlation: -0.4130560434211713
Candidate: 0xcc, Correlation: -0.40412339188433305
Candidate: 0x84, Correlation: -0.3884931841851096
Candidate: 0xc5, Correlation: -0.3779952558951543
Candidate: 0x44, Correlation: -0.3726867588686323
Candidate: 0x9c, Correlation: -0.36902276256177163
Candidate: 0xc0, Correlation: -0.36690966486467874
Candidate: 0x46, Correlation: -0.35911226038352717
Candidate: 0x47, Correlation: -0.35598301454280395
Candidate: 0xb8, Correlation: -0.34944653558574407
Candidate: 0x54, Correlation: -0.3423782056294656
Candidate: 0x48, Correlation: -0.3404477250033636
Candidate: 0x6c, Correlation: -0.339327714017902
Candidate: 0x95, Correlation: -0.3375346980074016
Candidate: 0x14, Correlation: -0.33667917704181904
Candidate: 0x90, Correlation: -0.3345558598783125
Candidate: 0x49, Correlation: -0.33444617183299036
Candidate: 0xad, Correlation: -0.3306073583311458
Candidate: 0xc6, Correlation: -0.3268139542652548
Candidate: 0x29, Correlation: -0.3265924230955625
Candidate: 0x2c, Correlation: -0.32424782043278366
Candidate: 0xa8, Correlation: -0.3221105616013595
Candidate: 0x96, Correlation: -0.31797987148774165
Candidate: 0xc7, Correlation: -0.31509590130926496
Candidate: 0xa9, Correlation: -0.31349908692643885
Candidate: 0xc9, Correlation: -0.31293588161154945
Candidate: 0x65, Correlation: -0.3126242632008614
Candidate: 0x66, Correlation: -0.310135171002835
Candidate: 0xbc, Correlation: -0.30940013225260204
Candidate: 0xba, Correlation: -0.3092976223865389
Candidate: 0xe4, Correlation: -0.30705688832349703
Candidate: 0x25, Correlation: -0.306305599190154
Candidate: 0x8a, Correlation: -0.3052376590351063
Candidate: 0xbe, Correlation: -0.3015248238032856
Candidate: 0xc8, Correlation: -0.3010585496656251
Candidate: 0x60, Correlation: -0.29780580420607944
Candidate: 0x26, Correlation: -0.29681131909704217
Candidate: 0x98, Correlation: -0.2951643390483782
Candidate: 0xa1, Correlation: -0.29217666887492566
Candidate: 0x8e, Correlation: -0.292139485491441
Candidate: 0xb0, Correlation: -0.2907662588746995
Candidate: 0xb6, Correlation: -0.29042424357394364
Candidate: 0x20, Correlation: -0.28894979787080577
Candidate: 0x4a, Correlation: -0.2881480880179312
Candidate: 0x5a, Correlation: -0.28746964390090934
Candidate: 0x27, Correlation: -0.286420031963776
Candidate: 0xb2, Correlation: -0.2850101829328448
Candidate: 0xa7, Correlation: -0.28318810677330286
Candidate: 0x5e, Correlation: -0.28243651352135324
Candidate: 0x82, Correlation: -0.2787379834771348
Candidate: 0x1a, Correlation: -0.27716982976041205
Candidate: 0x28, Correlation: -0.27273533953693624
Candidate: 0x1e, Correlation: -0.2717441448777642
Candidate: 0xcb, Correlation: -0.2708807685908893
Candidate: 0xea, Correlation: -0.26781768747707047
Candidate: 0xb9, Correlation: -0.26477478074009003
Candidate: 0x42, Correlation: -0.2644729546810812
Candidate: 0x52, Correlation: -0.26112410194260044
Candidate: 0x9b, Correlation: -0.2585277370077337
Candidate: 0x6, Correlation: -0.25740591534595547
Candidate: 0x9f, Correlation: -0.25734780366862725
Candidate: 0x39, Correlation: -0.2554245093028362
Candidate: 0x86, Correlation: -0.25505341570920537
Candidate: 0x4b, Correlation: -0.2542792281653603
Candidate: 0x19, Correlation: -0.25343522372834193
Candidate: 0x12, Correlation: -0.25302964069562567
Candidate: 0x6b, Correlation: -0.25058646878729257
Candidate: 0x7, Correlation: -0.24974837034795486
Candidate: 0x4c, Correlation: -0.24963124862145003
Candidate: 0xc3, Correlation: -0.2466472045654979
Candidate: 0x41, Correlation: -0.2451753258272035
Candidate: 0x74, Correlation: -0.24427795726897703
Candidate: 0x4d, Correlation: -0.2441323862119216
Candidate: 0x21, Correlation: -0.24391249574440713
Candidate: 0x3f, Correlation: -0.24371499128156016
Candidate: 0xe2, Correlation: -0.24211211431424803
Candidate: 0x76, Correlation: -0.24134759546648835
Candidate: 0x2b, Correlation: -0.24055637679398859
Candidate: 0x99, Correlation: -0.23975269659972043
Candidate: 0x8, Correlation: -0.2394919275951093
Candidate: 0x38, Correlation: -0.23853515640245632
Candidate: 0x34, Correlation: -0.23617435321964622
Candidate: 0xb5, Correlation: -0.2339578783667006
Candidate: 0x93, Correlation: -0.23392507330602622
Candidate: 0x8c, Correlation: -0.2338421347639556
Candidate: 0xf7, Correlation: -0.2338187052202576
Candidate: 0x3e, Correlation: -0.23159427293309248
Candidate: 0xc1, Correlation: -0.23138098951282676
Candidate: 0xae, Correlation: -0.2307764060218848
Candidate: 0x9, Correlation: -0.2297685896120264
Candidate: 0x1f, Correlation: -0.22846513350846562
Candidate: 0xe9, Correlation: -0.22623172670262112
Candidate: 0xcd, Correlation: -0.22421605532442207
Candidate: 0x63, Correlation: -0.22398607666377818
Candidate: 0x36, Correlation: -0.22305925705497956
Candidate: 0xf6, Correlation: -0.2208815468316409
Candidate: 0xbd, Correlation: -0.22010789984628334
Candidate: 0x7a, Correlation: -0.21949598930506883
Candidate: 0x89, Correlation: -0.2184140481539033
Candidate: 0x37, Correlation: -0.21695910291437157
Candidate: 0x23, Correlation: -0.21626182799411184
Candidate: 0x69, Correlation: -0.21558708028270626
Candidate: 0xf9, Correlation: -0.21533339948538066
Candidate: 0xfb, Correlation: -0.2133382331506534
Candidate: 0x87, Correlation: -0.21102771731744233
Candidate: 0x85, Correlation: -0.20965811446249
Candidate: 0x78, Correlation: -0.20857046972513973
Candidate: 0xb1, Correlation: -0.20677719030877145
Candidate: 0xbf, Correlation: -0.20537486804081378
Candidate: 0xf8, Correlation: -0.20462695570487077
Candidate: 0xfa, Correlation: -0.20450147489955806
Candidate: 0x4, Correlation: -0.20306024421225707
Candidate: 0x88, Correlation: -0.20114819663008182
Candidate: 0xa, Correlation: -0.20104125813531593
Candidate: 0x45, Correlation: -0.20096731065480136
Candidate: 0x80, Correlation: -0.19868534540115307
Candidate: 0x3c, Correlation: -0.19653253516614816
Candidate: 0xfd, Correlation: -0.19455971478886147
Candidate: 0x7e, Correlation: -0.19363480159138105
Candidate: 0x3a, Correlation: -0.19343723151769873
Candidate: 0x5c, Correlation: -0.19284130572498318
Candidate: 0xc, Correlation: -0.1910750533554207
Candidate: 0xb, Correlation: -0.19103310070600507
Candidate: 0xff, Correlation: -0.18976198718099846
Candidate: 0xe6, Correlation: -0.18960169468794097
Candidate: 0x5d, Correlation: -0.18908514392097298
Candidate: 0x40, Correlation: -0.18891587646071803
