Candidate: 0x29, Correlation: -0.7947607228858279
Candidate: 0xa9, Correlation: -0.7539867625283895
Candidate: 0x69, Correlation: -0.6740325543791751
Candidate: 0xe9, Correlation: -0.669423521751113
Candidate: 0x89, Correlation: -0.6035427793102461
Candidate: 0xc9, Correlation: -0.5976369670817846
Candidate: 0x9, Correlation: -0.5958726902616698
Candidate: 0x49, Correlation: -0.5835062459121255
Candidate: 0x27, Correlation: -0.4783416500952357
Candidate: 0x2b, Correlation: -0.45235249727326127
Candidate: 0x19, Correlation: -0.42774381565361586
Candidate: 0x39, Correlation: -0.42480747620618103
Candidate: 0x31, Correlation: -0.42111655179175145
Candidate: 0x2d, Correlation: -0.4195552001098558
Candidate: 0x99, Correlation: -0.4144828578854665
Candidate: 0xb9, Correlation: -0.4101577772189581
Candidate: 0x25, Correlation: -0.4083342020367743
Candidate: 0x28, Correlation: -0.4028441488795902
Candidate: 0x21, Correlation: -0.39765269516681667
Candidate: 0x2a, Correlation: -0.39293210500314896
Candidate: 0xd9, Correlation: -0.38926686115346265
Candidate: 0x59, Correlation: -0.3793306868597621
Candidate: 0xf9, Correlation: -0.3776458272179788
Candidate: 0x79, Correlation: -0.3766127678843754
Candidate: 0xb1, Correlation: -0.35955937438858887
Candidate: 0xa1, Correlation: -0.3556453227526833
Candidate: 0xa5, Correlation: -0.346080617733352
Candidate: 0xaa, Correlation: -0.3429598908023
Candidate: 0xa8, Correlation: -0.33472584738476974
Candidate: 0xad, Correlation: -0.33283697440795956
Candidate: 0xa7, Correlation: -0.33179303370108415
Candidate: 0xab, Correlation: -0.32532501532029556
Candidate: 0xe1, Correlation: -0.31385988431178186
Candidate: 0x2f, Correlation: -0.3073954444582174
Candidate: 0x23, Correlation: -0.30319737723145346
Candidate: 0x61, Correlation: -0.30180557057454815
Candidate: 0x71, Correlation: -0.3007428035000809
Candidate: 0xf1, Correlation: -0.3003813912789904
Candidate: 0x91, Correlation: -0.27949833427058396
Candidate: 0xd1, Correlation: -0.27877061529106667
Candidate: 0x26, Correlation: -0.273765467711563
Candidate: 0x1, Correlation: -0.2726755235707855
Candidate: 0xe7, Correlation: -0.27112381840370026
Candidate: 0x81, Correlation: -0.2696692436030282
Candidate: 0x35, Correlation: -0.2675575068171953
Candidate: 0xc1, Correlation: -0.2669748919615062
Candidate: 0x67, Correlation: -0.26484273368353056
Candidate: 0x11, Correlation: -0.26449809034932903
