Candidate: 0xa7, Correlation: -0.33089831075103177
Candidate: 0x27, Correlation: -0.32580660318027826
Candidate: 0x67, Correlation: -0.3202547527443656
Candidate: 0x37, Correlation: -0.3199059947568109
Candidate: 0xb7, Correlation: -0.3193057388624605
Candidate: 0x47, Correlation: -0.31361818883642917
Candidate: 0x57, Correlation: -0.3047703501858021
Candidate: 0x77, Correlation: -0.30229368888586705
Candidate: 0x87, Correlation: -0.295769534432858
Candidate: 0xc7, Correlation: -0.2956131669243437
Candidate: 0x97, Correlation: -0.29530263868632917
Candidate: 0x17, Correlation: -0.29086410394482876
Candidate: 0xe7, Correlation: -0.2878047350407946
Candidate: 0x7, Correlation: -0.28403574373219204
Candidate: 0xd7, Correlation: -0.2800572141330291
Candidate: 0xf7, Correlation: -0.27333140966949265
Candidate: 0x73, Correlation: -0.2722273306116315
Candidate: 0xf3, Correlation: -0.26580093285376066
Candidate: 0x7b, Correlation: -0.2526250786511295
Candidate: 0x3, Correlation: -0.2524064712333344
Candidate: 0xfb, Correlation: -0.2512930350042843
Candidate: 0xf, Correlation: -0.24486319852397753
Candidate: 0x1f, Correlation: -0.24030208443144555
Candidate: 0xb, Correlation: -0.23881523526181794
Candidate: 0xe3, Correlation: -0.23855833458292014
Candidate: 0x75, Correlation: -0.23375000749853134
Candidate: 0xcf, Correlation: -0.23137484886517648
Candidate: 0x6f, Correlation: -0.2311968188514335
Candidate: 0xb5, Correlation: -0.22738058770342126
Candidate: 0xf5, Correlation: -0.22557320708549872
Candidate: 0xef, Correlation: -0.22553443225495595
Candidate: 0x35, Correlation: -0.22465363700092758
Candidate: 0xeb, Correlation: -0.22191450460620538
Candidate: 0xdf, Correlation: -0.21917517154374047
Candidate: 0x13, Correlation: -0.21882467596893063
Candidate: 0xf1, Correlation: -0.21744340688580294
Candidate: 0x6b, Correlation: -0.21383775600959093
Candidate: 0xff, Correlation: -0.21128045980519858
Candidate: 0xf9, Correlation: -0.21010092373267927
Candidate: 0x7f, Correlation: -0.20656175319290374
Candidate: 0x71, Correlation: -0.2049641856134776
Candidate: 0x83, Correlation: -0.20326140499183812
Candidate: 0xed, Correlation: -0.2025415827193039
Candidate: 0x33, Correlation: -0.2021520246153993
Candidate: 0xfd, Correlation: -0.2011799818895469
Candidate: 0x2f, Correlation: -0.20117105252738673
Candidate: 0x1, Correlation: -0.2009390386851047
Candidate: 0xb3, Correlation: -0.1998548446176251
Candidate: 0x56, Correlation: -0.19919750056701208
Candidate: 0x79, Correlation: -0.1987884922848124
Candidate: 0x4f, Correlation: -0.19849934825258359
Candidate: 0x6d, Correlation: -0.1983820463501369
Candidate: 0xdb, Correlation: -0.19603988344655585
Candidate: 0x96, Correlation: -0.19570913191517528
Candidate: 0xb9, Correlation: -0.19542414488375848
Candidate: 0x81, Correlation: -0.19434494821950046
Candidate: 0x39, Correlation: -0.19413734291983312
Candidate: 0xbb, Correlation: -0.192169669474186
Candidate: 0xbf, Correlation: -0.19070563801538962
Candidate: 0x3b, Correlation: -0.18996538859947712
Candidate: 0x7d, Correlation: -0.1893426263162337
Candidate: 0x9f, Correlation: -0.18722378327753558
Candidate: 0x98, Correlation: -0.1866701473562037
Candidate: 0xf6, Correlation: -0.18440366498424018
Candidate: 0x55, Correlation: -0.18330604402967854
Candidate: 0x58, Correlation: -0.18250108727458944
Candidate: 0x3f, Correlation: -0.18204644801056005
Candidate: 0xd3, Correlation: -0.180789138148041
Candidate: 0x23, Correlation: -0.18030306626000897
Candidate: 0x1b, Correlation: -0.17891144819405516
Candidate: 0x63, Correlation: -0.17767539499083898
Candidate: 0xaf, Correlation: -0.1771876985413137
Candidate: 0xe8, Correlation: -0.17349105131513606
Candidate: 0x76, Correlation: -0.17304970318425603
Candidate: 0xd5, Correlation: -0.17228160050328542
Candidate: 0x34, Correlation: -0.17022677340899425
Candidate: 0x32, Correlation: -0.17017002095617184
Candidate: 0xe6, Correlation: -0.16794681632859754
Candidate: 0xf8, Correlation: -0.1677186037623778
Candidate: 0xb2, Correlation: -0.16764005900296233
Candidate: 0xcb, Correlation: -0.16595486870474002
Candidate: 0xe9, Correlation: -0.1655209389874113
Candidate: 0xb4, Correlation: -0.16473871232597506
Candidate: 0x8f, Correlation: -0.16470020333391955
Candidate: 0x6, Correlation: -0.16378683473417635
Candidate: 0x8, Correlation: -0.16359618371769052
Candidate: 0x95, Correlation: -0.16336936543171168
Candidate: 0x3a, Correlation: -0.16126745838283263
Candidate: 0x69, Correlation: -0.1604460832222072
Candidate: 0x8b, Correlation: -0.1603525651330643
Candidate: 0x5f, Correlation: -0.1602290008768677
Candidate: 0x5, Correlation: -0.16009304082393977
Candidate: 0x72, Correlation: -0.1581100596451097
Candidate: 0x3c, Correlation: -0.157910051885411
Candidate: 0xbd, Correlation: -0.15626404358305387
Candidate: 0x74, Correlation: -0.1558672524098948
Candidate: 0x38, Correlation: -0.15506058426451708
Candidate: 0x3d, Correlation: -0.15364146968512707
Candidate: 0xe5, Correlation: -0.1535713491415947
Candidate: 0x59, Correlation: -0.15313736891582416
Candidate: 0x53, Correlation: -0.15266881307835115
Candidate: 0x66, Correlation: -0.15225334805131394
Candidate: 0x2b, Correlation: -0.15126669879247864
Candidate: 0x43, Correlation: -0.15113943381215458
Candidate: 0x4b, Correlation: -0.150918762876243
Candidate: 0xba, Correlation: -0.15021123547358634
Candidate: 0xb8, Correlation: -0.15004280969645048
Candidate: 0x86, Correlation: -0.14965522200507653
Candidate: 0x99, Correlation: -0.1496095694123377
Candidate: 0xc3, Correlation: -0.14939278693851632
Candidate: 0x15, Correlation: -0.14917119394326087
Candidate: 0x78, Correlation: -0.14878186977258054
Candidate: 0xab, Correlation: -0.14858324938112735
Candidate: 0x85, Correlation: -0.14811267370161946
Candidate: 0x9b, Correlation: -0.14703930974800794
Candidate: 0xf4, Correlation: -0.14655564864830498
Candidate: 0x36, Correlation: -0.146319012439209
Candidate: 0xd6, Correlation: -0.1452537327825541
Candidate: 0xb1, Correlation: -0.14515027264817446
Candidate: 0xc8, Correlation: -0.14506069208183794
Candidate: 0x93, Correlation: -0.14472755563252024
Candidate: 0xbc, Correlation: -0.14448448619368845
Candidate: 0x16, Correlation: -0.14342709638169604
Candidate: 0xb6, Correlation: -0.1432817222334388
Candidate: 0xa8, Correlation: -0.1414970707878809
Candidate: 0x31, Correlation: -0.1412209153880187
Candidate: 0xa3, Correlation: -0.1406864615937553
Candidate: 0x65, Correlation: -0.14039466973912845
Candidate: 0x4d, Correlation: -0.14037989240591298
Candidate: 0x5b, Correlation: -0.14032692882168826
Candidate: 0xfa, Correlation: -0.14014279756095463
Candidate: 0x88, Correlation: -0.13990977608719765
Candidate: 0x7a, Correlation: -0.13935424166711616
