Candidate: 0xe9, Correlation: -0.37136157332706315
Candidate: 0xeb, Correlation: -0.3468838531957879
Candidate: 0xe3, Correlation: -0.33629749489045246
Candidate: 0xef, Correlation: -0.32144119564408546
Candidate: 0xe7, Correlation: -0.3183514053389591
Candidate: 0xf3, Correlation: -0.3135960568915257
Candidate: 0xe5, Correlation: -0.3115902830019507
Candidate: 0xdd, Correlation: -0.3109411788227754
Candidate: 0xf5, Correlation: -0.3026504746858996
Candidate: 0xdf, Correlation: -0.2999139319198537
Candidate: 0xed, Correlation: -0.29818219439563787
Candidate: 0x6b, Correlation: -0.2963366500711485
Candidate: 0xea, Correlation: -0.29527664889008604
Candidate: 0x69, Correlation: -0.29464179946266117
Candidate: 0xdb, Correlation: -0.2910926095086811
Candidate: 0xd5, Correlation: -0.29023751748618093
Candidate: 0xe8, Correlation: -0.2901142629218799
Candidate: 0x63, Correlation: -0.2893431351469263
Candidate: 0xa9, Correlation: -0.2887316638939948
Candidate: 0xfd, Correlation: -0.2824645717325837
Candidate: 0x67, Correlation: -0.2777681853693173
Candidate: 0xc9, Correlation: -0.2764714661091982
Candidate: 0x6f, Correlation: -0.2761846945577614
Candidate: 0x29, Correlation: -0.2761721023114401
Candidate: 0xe6, Correlation: -0.2723737849624666
Candidate: 0x73, Correlation: -0.2692480322807821
Candidate: 0x9, Correlation: -0.2641156985617239
Candidate: 0xec, Correlation: -0.26301280885947687
Candidate: 0xf7, Correlation: -0.2579985545057515
Candidate: 0x2a, Correlation: -0.2569206392475707
Candidate: 0x5f, Correlation: -0.2513590878938594
Candidate: 0xde, Correlation: -0.25090768808112873
Candidate: 0xd9, Correlation: -0.25070539496961647
Candidate: 0xe1, Correlation: -0.24969948065681913
Candidate: 0xf9, Correlation: -0.24537395596036932
Candidate: 0xaa, Correlation: -0.24451390829014313
Candidate: 0xcd, Correlation: -0.24448659517988455
Candidate: 0xfb, Correlation: -0.243921514439029
Candidate: 0x5, Correlation: -0.24388076470860542
Candidate: 0x5b, Correlation: -0.24121918311745155
Candidate: 0x6a, Correlation: -0.24027976987394328
Candidate: 0xf1, Correlation: -0.2373159899963332
Candidate: 0xee, Correlation: -0.23604863584619387
Candidate: 0x68, Correlation: -0.23536006156471387
Candidate: 0x6c, Correlation: -0.23339092848598894
Candidate: 0x89, Correlation: -0.23332993347140088
Candidate: 0x28, Correlation: -0.232178550438579
Candidate: 0xd6, Correlation: -0.23052739318705462
Candidate: 0xf6, Correlation: -0.23029981385995948
Candidate: 0x49, Correlation: -0.2294406130559493
Candidate: 0x66, Correlation: -0.22889393532595437
Candidate: 0xd7, Correlation: -0.22444607091567959
Candidate: 0xa8, Correlation: -0.2239126314774011
Candidate: 0xe4, Correlation: -0.22321145205766918
Candidate: 0x77, Correlation: -0.2204694896732636
Candidate: 0xf4, Correlation: -0.21959338787705468
Candidate: 0xd1, Correlation: -0.2188292226534346
Candidate: 0x1, Correlation: -0.21862733965009407
Candidate: 0xc5, Correlation: -0.21854482986246765
Candidate: 0x39, Correlation: -0.2170584319096665
Candidate: 0xb9, Correlation: -0.21642149570052727
Candidate: 0xc1, Correlation: -0.2162837845223778
Candidate: 0x2b, Correlation: -0.21611440101418333
Candidate: 0x6e, Correlation: -0.21554001408566043
Candidate: 0x11, Correlation: -0.21459360845135333
Candidate: 0xdc, Correlation: -0.21411206515895873
Candidate: 0xfe, Correlation: -0.21151597567739905
Candidate: 0x7b, Correlation: -0.21026755129297772
Candidate: 0x19, Correlation: -0.20820825545148464
Candidate: 0x27, Correlation: -0.2060454374946851
Candidate: 0xd4, Correlation: -0.205434965707875
Candidate: 0xab, Correlation: -0.20476460085674927
Candidate: 0xd3, Correlation: -0.20320457350116813
Candidate: 0x4a, Correlation: -0.20113515781584618
Candidate: 0xd, Correlation: -0.2011134103098792
Candidate: 0xca, Correlation: -0.1986061942464043
Candidate: 0xa6, Correlation: -0.19847959560881182
Candidate: 0xa7, Correlation: -0.1965848193945931
Candidate: 0x21, Correlation: -0.1964821691326334
Candidate: 0x59, Correlation: -0.19644363605411252
Candidate: 0x64, Correlation: -0.19619145569843258
Candidate: 0x99, Correlation: -0.1957259040262678
Candidate: 0x15, Correlation: -0.1937330967812038
Candidate: 0xce, Correlation: -0.19329427973374289
Candidate: 0x79, Correlation: -0.1929236068036618
Candidate: 0x26, Correlation: -0.1923178541472874
Candidate: 0xc8, Correlation: -0.1916701085141703
Candidate: 0xbd, Correlation: -0.18999095981323516
Candidate: 0xfc, Correlation: -0.18970782759521837
Candidate: 0x48, Correlation: -0.18819652320714314
Candidate: 0xff, Correlation: -0.1854388129453317
Candidate: 0xac, Correlation: -0.1844687442230548
Candidate: 0x57, Correlation: -0.18431475663005786
Candidate: 0xa4, Correlation: -0.18194499654557847
Candidate: 0x7a, Correlation: -0.18159688890089482
Candidate: 0xa, Correlation: -0.18025651961321593
Candidate: 0xe2, Correlation: -0.17938275608057064
Candidate: 0x8a, Correlation: -0.17871321852965513
Candidate: 0x2c, Correlation: -0.17779024832140644
Candidate: 0xa1, Correlation: -0.17676981589978522
Candidate: 0xae, Correlation: -0.17660480108733076
Candidate: 0x41, Correlation: -0.17645146485339014
Candidate: 0x45, Correlation: -0.17616800303645172
Candidate: 0xb1, Correlation: -0.17183974041577546
Candidate: 0x85, Correlation: -0.17112524203308047
Candidate: 0x55, Correlation: -0.17112441958320374
Candidate: 0x8, Correlation: -0.1706155504628952
Candidate: 0x4d, Correlation: -0.1697911280646489
Candidate: 0x88, Correlation: -0.16674196375777706
Candidate: 0x47, Correlation: -0.1655364201864078
Candidate: 0x91, Correlation: -0.16541488432019855
Candidate: 0x5d, Correlation: -0.1650720554001342
Candidate: 0x70, Correlation: -0.16459861180077862
Candidate: 0x8d, Correlation: -0.16422299821275665
Candidate: 0x3a, Correlation: -0.163810721518026
Candidate: 0x78, Correlation: -0.16351368606557706
Candidate: 0xba, Correlation: -0.16293420804149084
Candidate: 0x53, Correlation: -0.16236825737620103
Candidate: 0x4b, Correlation: -0.1622660981314904
Candidate: 0x24, Correlation: -0.16226202754610997
Candidate: 0x7f, Correlation: -0.16222297208291026
Candidate: 0xf0, Correlation: -0.16067761601743635
Candidate: 0x2e, Correlation: -0.16001080279094942
Candidate: 0x6, Correlation: -0.15964634405392067
Candidate: 0x61, Correlation: -0.159203395076436
