Candidate: 0xd, Correlation: -0.5778145921298597
Candidate: 0x8d, Correlation: -0.41884923087970094
Candidate: 0xcd, Correlation: -0.38080320484489444
Candidate: 0x4d, Correlation: -0.3653068355741564
Candidate: 0x5, Correlation: -0.31978546891652126
Candidate: 0xc, Correlation: -0.3145291509352281
Candidate: 0xe, Correlation: -0.31255428597561535
Candidate: 0xed, Correlation: -0.30838277367317335
Candidate: 0x2d, Correlation: -0.30663012113813487
Candidate: 0x15, Correlation: -0.30184542911636997
Candidate: 0xb, Correlation: -0.2869271619663727
Candidate: 0xfd, Correlation: -0.283704787969113
Candidate: 0xf, Correlation: -0.27606048939659833
Candidate: 0x1d, Correlation: -0.2747764172524929
Candidate: 0x9, Correlation: -0.26623465283585684
Candidate: 0x11, Correlation: -0.2651455106963009
Candidate: 0xad, Correlation: -0.23838318522699362
Candidate: 0x6d, Correlation: -0.23620236372558887
Candidate: 0x85, Correlation: -0.1891363497958809
Candidate: 0xdd, Correlation: -0.18622985631482733
Candidate: 0x3d, Correlation: -0.17842147607161515
Candidate: 0x25, Correlation: -0.17431425500856107
Candidate: 0x95, Correlation: -0.17426225278480026
Candidate: 0x7d, Correlation: -0.17151317086273996
Candidate: 0x8e, Correlation: -0.16900704238702374
Candidate: 0xa, Correlation: -0.16861770155038316
Candidate: 0xf5, Correlation: -0.16652935378618522
Candidate: 0x8c, Correlation: -0.16546481308176877
Candidate: 0x9d, Correlation: -0.16472014748960523
Candidate: 0xd5, Correlation: -0.16015407647102514
Candidate: 0x10, Correlation: -0.15277385338471497
Candidate: 0xbd, Correlation: -0.15265426706939833
Candidate: 0x45, Correlation: -0.15157433941436063
Candidate: 0xc5, Correlation: -0.15032260071979564
Candidate: 0x5d, Correlation: -0.14781770573875483
Candidate: 0x7, Correlation: -0.14543287713654268
Candidate: 0x13, Correlation: -0.13671828069969152
Candidate: 0x8b, Correlation: -0.13666310926914862
Candidate: 0xce, Correlation: -0.13431689640212632
Candidate: 0x91, Correlation: -0.13415153695942544
Candidate: 0x55, Correlation: -0.13158733754420626
Candidate: 0x8f, Correlation: -0.1291376948451693
Candidate: 0xe5, Correlation: -0.129030228660645
Candidate: 0x89, Correlation: -0.1275958247446652
Candidate: 0xcc, Correlation: -0.1253596907912897
Candidate: 0x1, Correlation: -0.12361991887255776
Candidate: 0x4e, Correlation: -0.12034005370806958
Candidate: 0x4c, Correlation: -0.11550369678359172
Candidate: 0x6, Correlation: -0.11393835989098154
Candidate: 0x14, Correlation: -0.11356583296792974
Candidate: 0x19, Correlation: -0.11271275455080658
Candidate: 0x35, Correlation: -0.11115105299208913
Candidate: 0x12, Correlation: -0.10318462201355294
Candidate: 0xd1, Correlation: -0.10132543690424796
Candidate: 0xcb, Correlation: -0.097996009680883
Candidate: 0xcf, Correlation: -0.09636536183905299
Candidate: 0x4, Correlation: -0.09577732067768097
Candidate: 0x8, Correlation: -0.09159736302068729
Candidate: 0xc9, Correlation: -0.0892433504410063
Candidate: 0x49, Correlation: -0.08899645049856897
