Candidate: 0x6c, Correlation: -0.528221781076052
Candidate: 0xec, Correlation: -0.3215996911215788
Candidate: 0x2c, Correlation: -0.3195762363161355
Candidate: 0xac, Correlation: -0.30779143082015437
Candidate: 0x68, Correlation: -0.3033297880671977
Candidate: 0x6d, Correlation: -0.3004103178754289
Candidate: 0x6b, Correlation: -0.299130345507002
Candidate: 0x74, Correlation: -0.2894633190002378
Candidate: 0x6a, Correlation: -0.28524148111119874
Candidate: 0x6e, Correlation: -0.284096122264781
Candidate: 0x64, Correlation: -0.2836913980697723
Candidate: 0x8c, Correlation: -0.2825299220313164
Candidate: 0x4c, Correlation: -0.2804574533334758
Candidate: 0x70, Correlation: -0.27831884321615646
Candidate: 0x7c, Correlation: -0.2670159531166015
Candidate: 0x5c, Correlation: -0.26292222863879755
Candidate: 0x65, Correlation: -0.22447943432895148
Candidate: 0x63, Correlation: -0.2192991381881196
Candidate: 0x7b, Correlation: -0.21667912998060426
Candidate: 0x73, Correlation: -0.21627922641793929
Candidate: 0x5d, Correlation: -0.21332398426096943
Candidate: 0x7d, Correlation: -0.21086751674751605
Candidate: 0x5b, Correlation: -0.21062524891424145
Candidate: 0x69, Correlation: -0.20558841618018084
Candidate: 0x75, Correlation: -0.2004844171396046
Candidate: 0xc, Correlation: -0.18967373157963294
Candidate: 0x67, Correlation: -0.18172953688042578
Candidate: 0x55, Correlation: -0.18126707104918774
Candidate: 0x79, Correlation: -0.17929493099601018
Candidate: 0x53, Correlation: -0.17885852991095327
Candidate: 0x6f, Correlation: -0.17424104780468025
Candidate: 0x71, Correlation: -0.17406723040264657
Candidate: 0x66, Correlation: -0.1732457858918383
Candidate: 0x78, Correlation: -0.17299767840751926
Candidate: 0x54, Correlation: -0.1724403976871114
Candidate: 0x84, Correlation: -0.17092238448336736
Candidate: 0x77, Correlation: -0.16875984257336535
Candidate: 0xcc, Correlation: -0.16730145725244072
Candidate: 0x83, Correlation: -0.16641907499751668
Candidate: 0x5e, Correlation: -0.16578796807548551
Candidate: 0x76, Correlation: -0.16425333340747875
Candidate: 0x61, Correlation: -0.16381461749520088
Candidate: 0x72, Correlation: -0.16297954276027884
Candidate: 0x5a, Correlation: -0.16174162154750354
Candidate: 0x3c, Correlation: -0.1616313682710085
Candidate: 0x60, Correlation: -0.15850094470615017
Candidate: 0x62, Correlation: -0.15673760447137433
Candidate: 0x7a, Correlation: -0.15556580963026082
Candidate: 0x9c, Correlation: -0.1535247972877461
Candidate: 0x85, Correlation: -0.15198481277642703
Candidate: 0x59, Correlation: -0.15121223209686424
Candidate: 0x89, Correlation: -0.14653417190347323
Candidate: 0x7e, Correlation: -0.14649733616785762
Candidate: 0x81, Correlation: -0.14640721072644686
Candidate: 0x5f, Correlation: -0.1456205890767373
Candidate: 0x8b, Correlation: -0.14507007680642084
