Candidate: 0xf7, Correlation: -0.689714262500023
Candidate: 0x0, Correlation: -0.4987743577496396
Candidate: 0x77, Correlation: -0.4818036623020711
Candidate: 0xb7, Correlation: -0.4187885314993021
Candidate: 0x37, Correlation: -0.4077427967931778
Candidate: 0xf3, Correlation: -0.3779268089386291
Candidate: 0xd7, Correlation: -0.37208552444297327
Candidate: 0xf5, Correlation: -0.37104554155501845
Candidate: 0xf6, Correlation: -0.3640096589173262
Candidate: 0xff, Correlation: -0.3637189730546264
Candidate: 0xf8, Correlation: -0.36112830522099115
Candidate: 0x7, Correlation: -0.3605211854740786
Candidate: 0xfb, Correlation: -0.3604660422131817
Candidate: 0x17, Correlation: -0.3594251895701769
Candidate: 0xf9, Correlation: -0.35145947903071256
Candidate: 0xe7, Correlation: -0.3502633579174414
Candidate: 0xef, Correlation: -0.3468670557442549
Candidate: 0x1, Correlation: -0.321165562469508
Candidate: 0xfe, Correlation: -0.31196070962815237
Candidate: 0x22, Correlation: -0.301920916917218
Candidate: 0x8, Correlation: -0.2992900737606474
Candidate: 0xa2, Correlation: -0.2965663233241793
Candidate: 0x2, Correlation: -0.2930528658598725
Candidate: 0x4a, Correlation: -0.2887560355141426
Candidate: 0x4, Correlation: -0.2876921015856042
Candidate: 0x24, Correlation: -0.28391536108465654
Candidate: 0x44, Correlation: -0.2819453097975159
Candidate: 0x42, Correlation: -0.27863662813326323
Candidate: 0xfc, Correlation: -0.27160246075965966
Candidate: 0x97, Correlation: -0.27018738584868834
Candidate: 0xa4, Correlation: -0.269016402221861
Candidate: 0x57, Correlation: -0.259603056709307
Candidate: 0x2a, Correlation: -0.25820359652113706
Candidate: 0x62, Correlation: -0.2549922326985397
Candidate: 0xe0, Correlation: -0.25162081692593563
Candidate: 0x8a, Correlation: -0.2506145572983435
Candidate: 0x20, Correlation: -0.25048571730773156
Candidate: 0x92, Correlation: -0.2497088750451176
Candidate: 0x52, Correlation: -0.24769048822896053
Candidate: 0x46, Correlation: -0.24551086144009343
Candidate: 0xf0, Correlation: -0.24499156620298365
Candidate: 0xc0, Correlation: -0.241234553752389
Candidate: 0x40, Correlation: -0.23929879675106971
Candidate: 0x80, Correlation: -0.2368972780737835
Candidate: 0x10, Correlation: -0.23423562589788782
Candidate: 0x3, Correlation: -0.23421589182847208
Candidate: 0x26, Correlation: -0.23174696426257874
Candidate: 0xf4, Correlation: -0.2308103816996611
Candidate: 0xc7, Correlation: -0.2302187448913066
Candidate: 0x48, Correlation: -0.22144320471096712
Candidate: 0x64, Correlation: -0.22126793717897844
Candidate: 0xfd, Correlation: -0.22083594333750833
Candidate: 0x6, Correlation: -0.21472407219341164
Candidate: 0x27, Correlation: -0.21460279160525433
Candidate: 0xaa, Correlation: -0.21264505595899127
Candidate: 0x87, Correlation: -0.2121553029495515
Candidate: 0x4c, Correlation: -0.21171290833284773
Candidate: 0xa6, Correlation: -0.20994004311515008
Candidate: 0x84, Correlation: -0.2087368862743577
Candidate: 0xf, Correlation: -0.2087269936059538
Candidate: 0x82, Correlation: -0.20713929153803368
Candidate: 0xdf, Correlation: -0.2065452095532704
Candidate: 0x67, Correlation: -0.1986342597217417
Candidate: 0x28, Correlation: -0.19796219700012457
Candidate: 0x9, Correlation: -0.19454954299977706
Candidate: 0xf1, Correlation: -0.1929335312023625
Candidate: 0xfa, Correlation: -0.19167235832938653
Candidate: 0x9a, Correlation: -0.1914278006652849
Candidate: 0x7f, Correlation: -0.1897106735028251
Candidate: 0x86, Correlation: -0.18954320582084236
Candidate: 0x94, Correlation: -0.18934496528230496
Candidate: 0x23, Correlation: -0.18891929922918266
Candidate: 0x5, Correlation: -0.188161588852677
Candidate: 0x12, Correlation: -0.18632258489701628
Candidate: 0xeb, Correlation: -0.1861612606556402
Candidate: 0xc2, Correlation: -0.18417583299562426
Candidate: 0x79, Correlation: -0.18319395864147445
Candidate: 0x8c, Correlation: -0.18275897732663599
Candidate: 0x73, Correlation: -0.18228736577848123
Candidate: 0xe9, Correlation: -0.18198060058870935
Candidate: 0xca, Correlation: -0.18188773448584017
Candidate: 0x4e, Correlation: -0.18081589515815816
Candidate: 0xa3, Correlation: -0.18068290005127977
Candidate: 0xc4, Correlation: -0.18041564336878685
Candidate: 0x47, Correlation: -0.18021319319855106
Candidate: 0x54, Correlation: -0.17563416664725437
Candidate: 0xa7, Correlation: -0.17529104905328438
Candidate: 0xbf, Correlation: -0.17500129364775255
Candidate: 0xe8, Correlation: -0.17468252355682987
Candidate: 0x43, Correlation: -0.1743617108696975
Candidate: 0x6f, Correlation: -0.17326600963721392
Candidate: 0x78, Correlation: -0.17123896917729645
Candidate: 0x18, Correlation: -0.1711841324113113
Candidate: 0x75, Correlation: -0.17026894684481547
Candidate: 0x88, Correlation: -0.17013619915403225
Candidate: 0x7b, Correlation: -0.16957640150385617
Candidate: 0xe, Correlation: -0.16838775691514515
Candidate: 0x76, Correlation: -0.16770807143836503
Candidate: 0x8e, Correlation: -0.16681077378893208
Candidate: 0xa0, Correlation: -0.16595467160368813
Candidate: 0x1a, Correlation: -0.1658512948363058
Candidate: 0x11, Correlation: -0.16437121369770658
Candidate: 0x2c, Correlation: -0.16193107580131666
Candidate: 0xb, Correlation: -0.1619205678914322
Candidate: 0xa8, Correlation: -0.16178846808334893
Candidate: 0x19, Correlation: -0.1617773203526065
Candidate: 0x5a, Correlation: -0.15985204941274975
Candidate: 0xee, Correlation: -0.1596198051813452
Candidate: 0xa, Correlation: -0.15777747586505939
Candidate: 0x32, Correlation: -0.15371956899482012
Candidate: 0xf2, Correlation: -0.1514705224364607
Candidate: 0x66, Correlation: -0.1497344968988645
Candidate: 0x9e, Correlation: -0.14901528197530325
Candidate: 0x4b, Correlation: -0.1487724938603824
Candidate: 0xd, Correlation: -0.1481281084254257
Candidate: 0x50, Correlation: -0.14795198826415798
Candidate: 0xed, Correlation: -0.1466752395526127
Candidate: 0x2f, Correlation: -0.14600729254228986
Candidate: 0x3f, Correlation: -0.1435756337228232
Candidate: 0xec, Correlation: -0.14355281064740158
Candidate: 0x90, Correlation: -0.14264793889447355
Candidate: 0x6a, Correlation: -0.14245201897542203
Candidate: 0x1e, Correlation: -0.14178967700324482
Candidate: 0x99, Correlation: -0.14145545494766879
Candidate: 0xc, Correlation: -0.1404971234799078
Candidate: 0xc6, Correlation: -0.1400428482473307
Candidate: 0x98, Correlation: -0.13943034985453073
Candidate: 0x1f, Correlation: -0.1388197512143974
Candidate: 0xcf, Correlation: -0.13832124977128643
Candidate: 0x14, Correlation: -0.13778055292557181
Candidate: 0xe6, Correlation: -0.13542248271876506
Candidate: 0xe3, Correlation: -0.13441919930202523
Candidate: 0x13, Correlation: -0.13436871154926056
Candidate: 0xe5, Correlation: -0.13264000241613375
Candidate: 0x63, Correlation: -0.13259501318730033
Candidate: 0xaf, Correlation: -0.132528546512207
Candidate: 0xe1, Correlation: -0.1309845152507384
Candidate: 0x9c, Correlation: -0.129761591960099
Candidate: 0x89, Correlation: -0.1289406439642994
Candidate: 0x3b, Correlation: -0.12752535239044469
Candidate: 0xd2, Correlation: -0.12750873208130956
Candidate: 0xbb, Correlation: -0.12706259320656033
Candidate: 0xd8, Correlation: -0.12624068071873987
Candidate: 0x60, Correlation: -0.12572519715122865
Candidate: 0x33, Correlation: -0.12558539916046382
Candidate: 0x96, Correlation: -0.123001661554354
Candidate: 0xd9, Correlation: -0.12257261391004237
Candidate: 0xdb, Correlation: -0.12198434040071127
Candidate: 0xb3, Correlation: -0.12198169488622565
Candidate: 0x15, Correlation: -0.12190664298816668
Candidate: 0x2e, Correlation: -0.12072601147991201
Candidate: 0xea, Correlation: -0.12015462854640216
Candidate: 0x93, Correlation: -0.1198566105922499
Candidate: 0x8b, Correlation: -0.11890879967833827
Candidate: 0x16, Correlation: -0.11796291807501505
Candidate: 0xcc, Correlation: -0.11747553955131931
Candidate: 0x1c, Correlation: -0.11659031725977505
Candidate: 0x30, Correlation: -0.11568332327838411
Candidate: 0xe2, Correlation: -0.11418615021767252
Candidate: 0x5f, Correlation: -0.11244332530965373
Candidate: 0xc8, Correlation: -0.11229713363382086
Candidate: 0x5e, Correlation: -0.11180483310038825
Candidate: 0xe4, Correlation: -0.11178881475210052
Candidate: 0x38, Correlation: -0.1117833586501876
Candidate: 0x69, Correlation: -0.11167150455466367
Candidate: 0x39, Correlation: -0.11031950214541192
Candidate: 0xd0, Correlation: -0.11027650649747649
Candidate: 0xac, Correlation: -0.10936762742558416
Candidate: 0x1b, Correlation: -0.10921874897323805
Candidate: 0x8f, Correlation: -0.10893901260857272
Candidate: 0x2b, Correlation: -0.10837314692206175
Candidate: 0x53, Correlation: -0.1078967194871152
Candidate: 0xd4, Correlation: -0.10705770536680326
Candidate: 0x9f, Correlation: -0.10608919246158252
Candidate: 0x34, Correlation: -0.10562444706609077
Candidate: 0xd3, Correlation: -0.10524023653719708
Candidate: 0xb8, Correlation: -0.10485381611649613
Candidate: 0x21, Correlation: -0.10463949788195284
Candidate: 0x6b, Correlation: -0.1041441990653027
Candidate: 0x5b, Correlation: -0.1036245508598096
