Candidate: 0xe9, Correlation: -0.6502406485437315
Candidate: 0x69, Correlation: -0.4791987580820012
Candidate: 0xa9, Correlation: -0.40093836531423493
Candidate: 0x29, Correlation: -0.3892786328785021
Candidate: 0xeb, Correlation: -0.36371568974552426
Candidate: 0xea, Correlation: -0.3635964281392415
Candidate: 0xe7, Correlation: -0.35065738393685475
Candidate: 0xd9, Correlation: -0.3491259599209578
Candidate: 0xc9, Correlation: -0.34643446630002606
Candidate: 0xf9, Correlation: -0.3358366503081183
Candidate: 0xe5, Correlation: -0.33308400585411196
Candidate: 0xe8, Correlation: -0.3326966864256726
Candidate: 0x9, Correlation: -0.32657405304796483
Candidate: 0xed, Correlation: -0.32539743232135476
Candidate: 0xe1, Correlation: -0.3234692606782122
Candidate: 0xf1, Correlation: -0.31473024008475176
Candidate: 0x15, Correlation: -0.3043689769814067
Candidate: 0xff, Correlation: -0.3027652230073436
Candidate: 0xef, Correlation: -0.2763343851219124
Candidate: 0xf7, Correlation: -0.27466992174930005
Candidate: 0xfb, Correlation: -0.2729945032210561
Candidate: 0x14, Correlation: -0.26819620257931176
Candidate: 0x11, Correlation: -0.26442887448934455
Candidate: 0x5, Correlation: -0.2603677400496906
Candidate: 0xf, Correlation: -0.2602209563849236
Candidate: 0x95, Correlation: -0.25755377551639974
Candidate: 0x7, Correlation: -0.2562964032214252
Candidate: 0x49, Correlation: -0.25469747570501866
Candidate: 0x3, Correlation: -0.25078548427613545
Candidate: 0xfe, Correlation: -0.25055039106747956
Candidate: 0x25, Correlation: -0.24919882872331584
Candidate: 0x89, Correlation: -0.24423977045522027
Candidate: 0xf3, Correlation: -0.23997078230545307
Candidate: 0xee, Correlation: -0.23914216394522358
Candidate: 0x45, Correlation: -0.2325812867138588
Candidate: 0xfd, Correlation: -0.2308498602242785
Candidate: 0xb, Correlation: -0.2273153723263414
Candidate: 0x17, Correlation: -0.22510594728715608
Candidate: 0x10, Correlation: -0.22485768209601253
Candidate: 0x1, Correlation: -0.2243867123650121
Candidate: 0x94, Correlation: -0.2233033555773494
Candidate: 0x91, Correlation: -0.22212303706823947
Candidate: 0xc5, Correlation: -0.22159279570507112
Candidate: 0x59, Correlation: -0.2210968509787225
Candidate: 0x21, Correlation: -0.21767133153165233
Candidate: 0xb9, Correlation: -0.21729470154298808
Candidate: 0x24, Correlation: -0.21697218240583094
Candidate: 0xe, Correlation: -0.2153677010097309
Candidate: 0xdf, Correlation: -0.21278824791961917
Candidate: 0x85, Correlation: -0.21226239678931902
Candidate: 0x9f, Correlation: -0.21125590205575653
Candidate: 0x4, Correlation: -0.20831751136912513
Candidate: 0x79, Correlation: -0.20592987334467236
Candidate: 0x13, Correlation: -0.20585953252660452
Candidate: 0x7f, Correlation: -0.2054517583623483
Candidate: 0xd7, Correlation: -0.20370594399916325
Candidate: 0x19, Correlation: -0.20126666136751534
Candidate: 0xcf, Correlation: -0.20080868233102492
Candidate: 0xe3, Correlation: -0.2004109658471294
Candidate: 0x6b, Correlation: -0.1998018274256082
Candidate: 0x6a, Correlation: -0.1994462174976012
Candidate: 0x1b, Correlation: -0.1966506337115057
Candidate: 0xdb, Correlation: -0.19638464444364606
Candidate: 0x1f, Correlation: -0.19534891150053613
Candidate: 0xa5, Correlation: -0.19365606734754331
Candidate: 0x44, Correlation: -0.19316011439484948
Candidate: 0x2f, Correlation: -0.19276937678272787
Candidate: 0xe6, Correlation: -0.1925645105483833
Candidate: 0x3f, Correlation: -0.19093472624713154
Candidate: 0xf6, Correlation: -0.19051601150733005
Candidate: 0x6f, Correlation: -0.19037646460386476
Candidate: 0x12, Correlation: -0.19034792232695671
Candidate: 0x5f, Correlation: -0.18983470897397983
Candidate: 0xd, Correlation: -0.18955329356277076
Candidate: 0x20, Correlation: -0.18725476701262112
Candidate: 0xbf, Correlation: -0.18712630475520908
Candidate: 0x67, Correlation: -0.18676867914101788
Candidate: 0xec, Correlation: -0.18463035203132702
Candidate: 0x27, Correlation: -0.17994420757249904
Candidate: 0x9b, Correlation: -0.17971002124309923
Candidate: 0xf5, Correlation: -0.1794664337460076
Candidate: 0x6, Correlation: -0.1792526926571055
Candidate: 0xa3, Correlation: -0.17889095755092257
Candidate: 0x90, Correlation: -0.1786662376716683
Candidate: 0xdd, Correlation: -0.17831179530669747
Candidate: 0x7b, Correlation: -0.17717585228855007
Candidate: 0x77, Correlation: -0.17709953130369926
Candidate: 0xbb, Correlation: -0.17709779980880508
Candidate: 0xc4, Correlation: -0.17502281543572673
Candidate: 0x8f, Correlation: -0.17434658206065454
Candidate: 0xfc, Correlation: -0.17379522810393075
Candidate: 0x39, Correlation: -0.17341162586808156
Candidate: 0x99, Correlation: -0.1732428057651491
Candidate: 0xd1, Correlation: -0.1729120041405343
Candidate: 0x6d, Correlation: -0.1708968911487771
Candidate: 0x0, Correlation: -0.17086144758635377
Candidate: 0x71, Correlation: -0.16956941062037192
Candidate: 0xfa, Correlation: -0.1691230033951895
Candidate: 0x3b, Correlation: -0.16911461452385834
Candidate: 0x61, Correlation: -0.1690567380707428
Candidate: 0xaf, Correlation: -0.16869651654893908
Candidate: 0x35, Correlation: -0.16792684567299776
Candidate: 0x68, Correlation: -0.167362957694192
Candidate: 0x41, Correlation: -0.16725121996662862
Candidate: 0x65, Correlation: -0.16670954643413433
Candidate: 0xa1, Correlation: -0.1657103454611767
Candidate: 0x2, Correlation: -0.16491565465640579
Candidate: 0x5b, Correlation: -0.16458881842472795
Candidate: 0xa4, Correlation: -0.1625489187685444
Candidate: 0xc7, Correlation: -0.1622381914516417
Candidate: 0x37, Correlation: -0.1620073577159324
Candidate: 0x4f, Correlation: -0.16188218258060708
Candidate: 0xd3, Correlation: -0.1603457846440657
Candidate: 0x87, Correlation: -0.15992047212131583
Candidate: 0x23, Correlation: -0.15920910592153859
Candidate: 0xd5, Correlation: -0.15788748553719795
Candidate: 0x84, Correlation: -0.15631645889386628
Candidate: 0xf8, Correlation: -0.15510312546690583
Candidate: 0xb7, Correlation: -0.15438825733757192
Candidate: 0x63, Correlation: -0.15292305097176226
Candidate: 0xc1, Correlation: -0.1528995124494198
Candidate: 0x83, Correlation: -0.15260081717203813
Candidate: 0x97, Correlation: -0.15125949660489443
Candidate: 0x33, Correlation: -0.15057433055624758
Candidate: 0x2b, Correlation: -0.14979871600218395
Candidate: 0x31, Correlation: -0.14979357769450707
Candidate: 0x73, Correlation: -0.14673702596681842
Candidate: 0xf2, Correlation: -0.14672706752498357
Candidate: 0x51, Correlation: -0.14665116437979522
Candidate: 0x55, Correlation: -0.14609098175226692
Candidate: 0x92, Correlation: -0.14555941203262285
Candidate: 0x43, Correlation: -0.14538671935257705
Candidate: 0xb5, Correlation: -0.14521925981576167
Candidate: 0xa7, Correlation: -0.1429169257586816
Candidate: 0xab, Correlation: -0.1420829072361488
Candidate: 0xc3, Correlation: -0.14198258144175657
Candidate: 0x57, Correlation: -0.1416897887131434
Candidate: 0xce, Correlation: -0.14131770508176822
Candidate: 0x22, Correlation: -0.14107477625121395
Candidate: 0xf0, Correlation: -0.14076006258964796
Candidate: 0xcb, Correlation: -0.1406808740415225
Candidate: 0x34, Correlation: -0.1406378687291521
Candidate: 0x18, Correlation: -0.13829935913038516
Candidate: 0x47, Correlation: -0.13659678152616278
Candidate: 0xb1, Correlation: -0.13653053430178935
Candidate: 0x2e, Correlation: -0.13490953304344344
Candidate: 0x8d, Correlation: -0.13427100714966106
Candidate: 0x8, Correlation: -0.1340344720069555
Candidate: 0x7d, Correlation: -0.13176622474874142
Candidate: 0xd4, Correlation: -0.13063709963215342
Candidate: 0x1d, Correlation: -0.1299090215163629
Candidate: 0x16, Correlation: -0.12975902340061732
Candidate: 0xf4, Correlation: -0.12947295738195944
Candidate: 0x53, Correlation: -0.12822127197604993
Candidate: 0x8b, Correlation: -0.12727782859641212
Candidate: 0xde, Correlation: -0.12600062370240872
Candidate: 0xc, Correlation: -0.1243594805644766
Candidate: 0xa0, Correlation: -0.12400968680004666
Candidate: 0x54, Correlation: -0.12316996531718888
Candidate: 0xa, Correlation: -0.12307821013140426
Candidate: 0xaa, Correlation: -0.12242449878401107
Candidate: 0x30, Correlation: -0.12240744420326759
Candidate: 0x4b, Correlation: -0.12217198434581807
Candidate: 0x50, Correlation: -0.1218206936991879
Candidate: 0xd0, Correlation: -0.12161887997951161
Candidate: 0xd6, Correlation: -0.12138840706155724
Candidate: 0x8e, Correlation: -0.12118736937184585
Candidate: 0xb3, Correlation: -0.11982885088512064
Candidate: 0x40, Correlation: -0.119354409507797
Candidate: 0x6e, Correlation: -0.11862722915286143
Candidate: 0xae, Correlation: -0.11810502624396316
Candidate: 0x1e, Correlation: -0.11712017573879474
Candidate: 0xe2, Correlation: -0.11644416561845763
Candidate: 0xcd, Correlation: -0.11581337299506397
Candidate: 0xb4, Correlation: -0.11579996788628678
Candidate: 0x2d, Correlation: -0.11485706266931114
Candidate: 0x28, Correlation: -0.11384326025218151
Candidate: 0x7e, Correlation: -0.11260098459189011
Candidate: 0x81, Correlation: -0.11220314933859286
Candidate: 0x3d, Correlation: -0.11171304374542085
Candidate: 0x93, Correlation: -0.10955517276796102
Candidate: 0xbe, Correlation: -0.10948934349107851
Candidate: 0xad, Correlation: -0.10948921684524998
Candidate: 0x2a, Correlation: -0.1087919175068686
Candidate: 0xa8, Correlation: -0.10578674051260874
Candidate: 0x5d, Correlation: -0.1052383596518859
Candidate: 0xe4, Correlation: -0.10515381112836676
Candidate: 0x9c, Correlation: -0.10293870879840247
Candidate: 0xc0, Correlation: -0.10247832130357568
Candidate: 0xbd, Correlation: -0.10117425823213123
Candidate: 0x4d, Correlation: -0.09751569938300923
Candidate: 0xda, Correlation: -0.09747564174397783
Candidate: 0x75, Correlation: -0.0955654095116446
Candidate: 0xc6, Correlation: -0.0943323656646419
Candidate: 0x26, Correlation: -0.09341529537748414
Candidate: 0x42, Correlation: -0.09217686195887799
Candidate: 0x5c, Correlation: -0.08972074801061242
Candidate: 0x4e, Correlation: -0.08890041090386766
Candidate: 0x76, Correlation: -0.08835008851910134
Candidate: 0xa2, Correlation: -0.08674934620650017
Candidate: 0x3e, Correlation: -0.08606901785623172
Candidate: 0x1c, Correlation: -0.08599959383448713
Candidate: 0x60, Correlation: -0.08580767643415703
Candidate: 0xbc, Correlation: -0.08453787251932891
Candidate: 0x36, Correlation: -0.08438397562816086
Candidate: 0x80, Correlation: -0.08435586799431224
Candidate: 0xa6, Correlation: -0.08251714019636891
Candidate: 0xb6, Correlation: -0.08190782074853792
Candidate: 0xb0, Correlation: -0.08124968980869851
